Praha	Barcelona
Brussels	PeerBrussels_4
PeerBarcelona_1	PeerBasel_2
PeerBrussels_5	PeerMilan_14
PeerBasel_3	PeerGeneva_9
Zagreb	Vaduz
PeerBrussels_4	Vienna
Madrid	PeerMarseille_13
Athens	Vaduz
PeerFrankfurt_7	Ljubjana
Brussels	Praha
Strasbourg	Bratislava
PeerIstanbul_10	Marseille
Luxembourg	Dublin
Paris	Basel
PeerBrussels_6	PeerGeneva_8
PeerStrasbourg_15	Zurich
Istanbul	Rotterdam
Barcelona	Warsaw
PeerBasel_2	Warsaw
Frankfurt	Zurich
PeerAmsterdam_0	PeerMarseille_13
Athens	Geneva
Strasbourg	Geneva
PeerBrussels_5	Praha
Istanbul	Zurich
Strasbourg	PeerStrasbourg_15
Budapest	Bucharest
PeerBrussels_5	Lisbon
PeerBrussels_4	Sofia
Lyon	Kiev
Rotterdam	Sofia
Budapest	Lisbon
Kiev	Paris
Amsterdam	PeerFrankfurt_7
PeerMarseille_12	Vienna
Rotterdam	PeerBrussels_6
London	Vaduz
Zagreb	Dublin
Warsaw	PeerAmsterdam_0
PeerKiev_11	Bratislava
Zagreb	Budapest
Vienna	Geneva
Bucharest	Rotterdam
Stockholm	Frankfurt
PeerMarseille_13	Lyon
London	Madrid
PeerAmsterdam_0	Stockholm
Warsaw	Milan
Paris	PeerFrankfurt_7
