peerEssen_0	Neuss
Esslingen	Padova
Brescia	Geneve
Innsbruck	Strasbourg
Brescia	Malmo
Rimini	Dijon
Bucharest	Brindisi
Tours	Porto
Dresden	Leuven
Graz	Rennes
Madrid	Palermo
Barcelona	DenTTBosch
Nuremberg	Brussels
Schaffhausen	Borgomanero
Toulouse	Catania
Karlsruhe	Zug
Brussels	ReggioTTEmilia
Antwerp	Varese
Birmingham	Rome
StTTPollen	Evere
Piacenza	Biel_Bienne
Leuven	Manchester
Novara	NodeID73
Vicenza	Bari
Budapest	Turin
Ghent	Innsbruck
Hoofddorp	Porto
Pfaffikon	Mons
Utrecht	Stuttgart
Dusseldorf	Madrid
Amsterdam	Poitiers
Grenoble	Winterthur
Linz	Warsaw
Boblingen	Hamburg
Montpellier	Cuneo
Schaffhausen	Chiasso
Kolding	Geneve
Firenze	Barcelona
Bergamo	Charleroi
Anderlecht	Pfaffikon
Parma	Biella
Montpellier	Bern
Hilversum	Rostock
Boston	Varese
Biella	Lisbon
Malmo	Oslo
Nice	Poitiers
Vicenza	Brindisi
Neuss	Bari
Zurich	Rimini
