AnnTTArbor	Findlay
NorrisTTCity	SouthTTBoston
BayTTCity	Monticello
Spooner	BattleTTCreek
Lexington	Jennings
Southfield_Detroit	Vincennes
Bryan	Harrisburg
Conway	Pinson
Tallahassee	Culpeper
Collinsville	London
Demopolis	GreenwoodID641
Martin	Paoli
Greensburg	Elgin
Chester	Crane
Logansport	Childersburg
Burlington	Morrilton
Huntingdon	HuntingtonID730
Warsaw	Americus
Saginaw	Birmingham
NodeID390	Eufaula
Vicksburg	Zanesville
DanvilleID290	Albertville
Midland	Oneonta
ColumbiaID471	WestTTMemphis
JacksonID519	peerWarrensburg_0
NodeID634	LineTTLexington
NodeID343	Chandler
RedTTWing	Morristown
AlexandriaID749	Bristol
Harrisonville	FranklinID613
Estill	Biscoe
Milwaukee	Knoxville
FranklinID253	WestTTPoint
Forest	Pittsburgh
Flint	GreenvilleID685
ClarksvilleID402	Louisa
NodeID137	Princeton
Tunica	Muskegon
Lawrenceville	Macquoketa
Watersmeet	Rolla
Murray	NodeID69
Newaygo	Morganton
StevensTTPoint	Houston
Collierville	Eastlake
ScotlandTTNeck	Hattiesburg
OxfordID687	BayTTMinette
Woodville	Providence
Montgomery	NodeID632
Charlottesville	Carrollton
Newaygo	Brazil
