Noida	Margaretsville
Valencia	Chitradurg
Miami	Hadiagarh
Salzburg	Bharuch
Wuppertal	Minneapolis
Queretaro	Barcelona
RennesIDHG72	Birmingham
ManchesterIDHH99	NewTTYorkIDHG158
NewTTYork	Hoofddorp
BellowsTTFalls	WhiteTTPlains
Dusseldorf	SantaTTClara
Belgaum	Olean
Firenze	Marseille
NantesIDHG71	Dortmund
Grenoble	Palermo
SouthTTCanaan	Amsterdam
NewTTYork	Ostend
Nanded	Odessa
Panjim	Gothenburg
Moradabad	Potsdam
Jaunpur	Nyon
Avila	Bari
Strasbourg	Poiters
Granada	Balchik
BostonIDHG155	Evere
Mysore	MadridIDHG54
Ernakulam	Nagpur
Monza	Burgas
Ujjain	Indianapolis
Bhopal	Como
Malmo	Stuttgart
Madrid	Tallinn
Middleburgh	Coimbra
Greensboro	Cologne
Dhulia	Utrecht
NodeIDHG173	Montpellier
Deposit	Zaragoza
Nuremberg	Madrid
NodeIDHH95	Catania
Munster	Liege
Portland	Ovid
Albuquerque	Bilbao
Harriman	Lausanne
GrenobleIDHG91	Houston
Hamilton	ManchesterIDHG49
MalmoIDHG43	Cortland
Bremen	Bhandara
Agra	Winterthur
Jacksonville	Balchik
Pfaffikon	Tonk
