Herndon	Huntington
Franklin	LakeTTCity
FortTTMyers	Yemassee
StephensTTCity	Montgomery
Danville	Crestview
Chamersburg	Ocala
Birmingham	Martinsville
Marion	Blueridge
Leesburg	PeerFayetteville7
Burlington	Lexington
Dalton	HighTTPoint
Hawkinsville	Crestview
Blacksburg	Chamersburg
PanamaTTCity	Abingdon
LeesburgID143	Lexington
HighTTPoint	HickoryTTTavern
PeerAlbany0	Edinburg
Toccoa	Blacksburg
Durham	Christiansburg
Durham	Salisbury
Easley	JacksonvilleID5
Atlanta	GreenvilleID16
Blitchton	Kinston
Martinsburg	Danville
Aiken	Douglas
Sparta	LakeTTCity
Savannah	Spartanburg
HighTTPoint	Durham
Mobile	RockyTTMountID11
Willacoochee	Kingsport
Tifton	Lancaster
MyrtleTTBeach	Waycross
WinterTTPark	Carlisle
PeerChristiansburg5	Blitchton
Wytheville	Danville
PeerBlairsville2	Omega
Martinsburg	Baldwin
Columbia	YoungTTHarris
Hinesville	Lynchburg
Charlotte	Salisbury
Blitchton	Macon
Charlottesville	PeerChester4
LeesburgID143	Yemassee
Blueridge	Columbus
Tallahassee	Blitchton
Kinston	Martinsville
PeerKingsport9	HiltonTTHead
Walterboro	PeerDouglas6
NodeID84	PeerJacksonvilleID58
Charlottesville	Hinesville
