Herndon	Huntington
Franklin	LakeTTCity
FortTTMyers	Yemassee
StephensTTCity	Montgomery
Danville	Crestview
Chamersburg	Ocala
Birmingham	Martinsville
Marion	Blueridge
Leesburg	PeerFayetteville_7
Burlington	Lexington
Dalton	HighTTPoint
Hawkinsville	Crestview
Blacksburg	Chamersburg
PanamaTTCity	Abingdon
LeesburgID143	Lexington
HighTTPoint	HickoryTTTavern
PeerAlbany_0	Edinburg
Toccoa	Blacksburg
Durham	Christiansburg
Durham	Salisbury
Easley	JacksonvilleID5
Atlanta	GreenvilleID16
Blitchton	Kinston
Martinsburg	Danville
Aiken	Douglas
Sparta	LakeTTCity
Savannah	Spartanburg
HighTTPoint	Durham
Mobile	RockyTTMountID11
Willacoochee	Kingsport
Tifton	Lancaster
MyrtleTTBeach	Waycross
WinterTTPark	Carlisle
PeerChristiansburg_5	Blitchton
Wytheville	Danville
PeerBlairsville_2	Omega
Martinsburg	Baldwin
Columbia	YoungTTHarris
Hinesville	Lynchburg
Charlotte	Salisbury
Blitchton	Macon
Charlottesville	PeerChester_4
LeesburgID143	Yemassee
Blueridge	Columbus
Tallahassee	Blitchton
Kinston	Martinsville
PeerKingsport_9	HiltonTTHead
Walterboro	PeerDouglas_6
NodeID84	PeerJacksonvilleID5_8
Charlottesville	Hinesville
