srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
edge-16	edge-28	IpWildcardIpSpace{ipWildcard=90.0.140.0/24}	unsat	5545	111133	13454.0	13454.0	13454.0	13.454	13.454	13.454	725.0	Ethernet0	11547.0	25356.0
edge-35	edge-11	IpWildcardIpSpace{ipWildcard=90.0.55.0/24}	unsat	10644	211347	28278.0	28278.0	28278.0	28.277	28.277	28.277	764.0	Ethernet0	11547.0	25356.0
edge-18	edge-41	IpWildcardIpSpace{ipWildcard=90.0.205.0/24}	unsat	6881	174214	18690.0	18690.0	18690.0	18.689	18.689	18.689	713.0	Ethernet0	11547.0	25356.0
edge-48	edge-12	IpWildcardIpSpace{ipWildcard=90.0.60.0/24}	unsat	6892	170952	20226.0	20226.0	20226.0	20.225	20.225	20.225	682.0	Ethernet0	11547.0	25356.0
edge-49	edge-36	IpWildcardIpSpace{ipWildcard=90.0.180.0/24}	unsat	6547	190627	23115.0	23115.0	23115.0	23.114	23.114	23.114	701.0	Ethernet0	11547.0	25356.0
edge-14	edge-16	IpWildcardIpSpace{ipWildcard=90.0.80.0/24}	unsat	8460	157188	20409.0	20409.0	20409.0	20.408	20.408	20.408	682.0	Ethernet0	11547.0	25356.0
edge-11	edge-39	IpWildcardIpSpace{ipWildcard=90.0.195.0/24}	unsat	3661	73875	7843.0	7843.0	7843.0	7.842	7.842	7.842	673.0	Ethernet0	11547.0	25356.0
edge-35	edge-32	IpWildcardIpSpace{ipWildcard=90.0.160.0/24}	unsat	7234	158639	17251.0	17251.0	17251.0	17.25	17.25	17.25	673.0	Ethernet0	11547.0	25356.0
edge-31	edge-32	IpWildcardIpSpace{ipWildcard=90.0.160.0/24}	unsat	1921	89336	9044.0	9044.0	9044.0	9.043	9.043	9.043	691.0	Ethernet0	11547.0	25356.0
edge-22	edge-4	IpWildcardIpSpace{ipWildcard=90.0.20.0/24}	unsat	7516	126027	16000.0	16000.0	16000.0	15.999	15.999	15.999	691.0	Ethernet0	11547.0	25356.0
edge-48	edge-2	IpWildcardIpSpace{ipWildcard=90.0.10.0/24}	unsat	6519	235618	26897.0	26897.0	26897.0	26.896	26.896	26.896	654.0	Ethernet0	11547.0	25356.0
edge-11	edge-30	IpWildcardIpSpace{ipWildcard=90.0.150.0/24}	unsat	4791	106527	12874.0	12874.0	12874.0	12.873	12.873	12.873	695.0	Ethernet0	11547.0	25356.0
edge-36	edge-46	IpWildcardIpSpace{ipWildcard=90.0.230.0/24}	unsat	6559	144353	21228.0	21228.0	21228.0	21.227	21.227	21.227	711.0	Ethernet0	11547.0	25356.0
edge-3	edge-10	IpWildcardIpSpace{ipWildcard=90.0.50.0/24}	unsat	10369	279141	37784.0	37784.0	37784.0	37.784	37.784	37.784	724.0	Ethernet0	11547.0	25356.0
edge-13	edge-49	IpWildcardIpSpace{ipWildcard=90.0.245.0/24}	unsat	4387	75426	9357.0	9357.0	9357.0	9.357	9.357	9.357	706.0	Ethernet0	11547.0	25356.0
edge-28	edge-10	IpWildcardIpSpace{ipWildcard=90.0.50.0/24}	unsat	13208	276852	33231.0	33231.0	33231.0	33.229	33.229	33.229	807.0	Ethernet0	11547.0	25356.0
edge-1	edge-15	IpWildcardIpSpace{ipWildcard=90.0.75.0/24}	unsat	11168	276575	35883.0	35883.0	35883.0	35.882	35.882	35.882	733.0	Ethernet0	11547.0	25356.0
edge-43	edge-7	IpWildcardIpSpace{ipWildcard=90.0.35.0/24}	unsat	6779	118931	15013.0	15013.0	15013.0	15.013	15.013	15.013	679.0	Ethernet0	11547.0	25356.0
edge-35	edge-47	IpWildcardIpSpace{ipWildcard=90.0.235.0/24}	unsat	8808	181594	22051.0	22051.0	22051.0	22.05	22.05	22.05	599.0	Ethernet0	11547.0	25356.0
edge-28	edge-24	IpWildcardIpSpace{ipWildcard=90.0.120.0/24}	unsat	6598	118892	13743.0	13743.0	13743.0	13.742	13.742	13.742	609.0	Ethernet0	11547.0	25356.0
edge-15	edge-12	IpWildcardIpSpace{ipWildcard=90.0.60.0/24}	unsat	5489	130680	16514.0	16514.0	16514.0	16.513	16.513	16.513	650.0	Ethernet0	11547.0	25356.0
