srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
edge-29	edge-39	IpWildcardIpSpace{ipWildcard=90.0.234.0/24}	sat	0	1051	2214.0	2214.0	2214.0	2.213	2.213	2.213	1575.0	Ethernet0	19354.0	42403.0
edge-59	edge-4	IpWildcardIpSpace{ipWildcard=90.0.24.0/24}	sat	0	1051	2170.0	2170.0	2170.0	2.169	2.169	2.169	1298.0	Ethernet0	19354.0	42403.0
edge-3	edge-40	IpWildcardIpSpace{ipWildcard=90.0.240.0/24}	sat	0	1051	2282.0	2282.0	2282.0	2.281	2.281	2.281	1171.0	Ethernet0	19354.0	42403.0
edge-47	edge-46	IpWildcardIpSpace{ipWildcard=90.1.20.0/24}	sat	0	1051	2217.0	2217.0	2217.0	2.217	2.217	2.217	1076.0	Ethernet0	19354.0	42403.0
edge-0	edge-25	IpWildcardIpSpace{ipWildcard=90.0.150.0/24}	sat	0	1051	2236.0	2236.0	2236.0	2.235	2.235	2.235	1111.0	Ethernet0	19354.0	42403.0
edge-6	edge-49	IpWildcardIpSpace{ipWildcard=90.1.38.0/24}	sat	0	1051	2236.0	2236.0	2236.0	2.235	2.235	2.235	1036.0	Ethernet0	19354.0	42403.0
edge-32	edge-31	IpWildcardIpSpace{ipWildcard=90.0.186.0/24}	sat	0	1051	2242.0	2242.0	2242.0	2.242	2.242	2.242	1020.0	Ethernet0	19354.0	42403.0
edge-48	edge-68	IpWildcardIpSpace{ipWildcard=90.1.152.0/24}	sat	0	1051	2266.0	2266.0	2266.0	2.265	2.265	2.265	1035.0	Ethernet0	19354.0	42403.0
edge-42	edge-68	IpWildcardIpSpace{ipWildcard=90.1.152.0/24}	sat	0	1051	2253.0	2253.0	2253.0	2.252	2.252	2.252	1055.0	Ethernet0	19354.0	42403.0
edge-71	edge-21	IpWildcardIpSpace{ipWildcard=90.0.126.0/24}	sat	0	1051	2249.0	2249.0	2249.0	2.248	2.248	2.248	1369.0	Ethernet0	19354.0	42403.0
