srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
edge-93	edge-88	IpWildcardIpSpace{ipWildcard=90.2.104.0/24}	sat	69	454	690.0	690.0	690.0	0.688	0.688	0.688	2290.0	Ethernet0	21827.0	48246.0
edge-81	edge-84	IpWildcardIpSpace{ipWildcard=90.2.76.0/24}	sat	56	742	811.0	811.0	811.0	0.81	0.81	0.81	1659.0	Ethernet0	21827.0	48246.0
edge-5	edge-70	IpWildcardIpSpace{ipWildcard=90.1.234.0/24}	sat	86	952	819.0	819.0	819.0	0.819	0.819	0.819	1629.0	Ethernet0	21827.0	48246.0
edge-87	edge-93	IpWildcardIpSpace{ipWildcard=90.2.139.0/24}	sat	60	319	843.0	843.0	843.0	0.843	0.843	0.843	1597.0	Ethernet0	21827.0	48246.0
edge-33	edge-72	IpWildcardIpSpace{ipWildcard=90.1.248.0/24}	sat	56	439	685.0	685.0	685.0	0.685	0.685	0.685	1712.0	Ethernet0	21827.0	48246.0
edge-58	edge-93	IpWildcardIpSpace{ipWildcard=90.2.139.0/24}	sat	46	202	668.0	668.0	668.0	0.667	0.667	0.667	1733.0	Ethernet0	21827.0	48246.0
edge-28	edge-61	IpWildcardIpSpace{ipWildcard=90.1.171.0/24}	sat	89	810	686.0	686.0	686.0	0.685	0.685	0.685	1884.0	Ethernet0	21827.0	48246.0
edge-82	edge-22	IpWildcardIpSpace{ipWildcard=90.0.154.0/24}	sat	67	823	856.0	856.0	856.0	0.855	0.855	0.855	1611.0	Ethernet0	21827.0	48246.0
edge-61	edge-23	IpWildcardIpSpace{ipWildcard=90.0.161.0/24}	sat	79	756	684.0	684.0	684.0	0.683	0.683	0.683	1741.0	Ethernet0	21827.0	48246.0
edge-2	edge-85	IpWildcardIpSpace{ipWildcard=90.2.83.0/24}	sat	86	637	823.0	823.0	823.0	0.823	0.823	0.823	1633.0	Ethernet0	21827.0	48246.0
edge-78	edge-38	IpWildcardIpSpace{ipWildcard=90.1.10.0/24}	sat	56	467	737.0	737.0	737.0	0.736	0.736	0.736	1601.0	Ethernet0	21827.0	48246.0
edge-73	edge-44	IpWildcardIpSpace{ipWildcard=90.1.52.0/24}	sat	79	387	669.0	669.0	669.0	0.668	0.668	0.668	2934.0	Ethernet0	21827.0	48246.0
edge-25	edge-42	IpWildcardIpSpace{ipWildcard=90.1.38.0/24}	sat	52	419	663.0	663.0	663.0	0.662	0.662	0.662	1490.0	Ethernet0	21827.0	48246.0
edge-90	edge-31	IpWildcardIpSpace{ipWildcard=90.0.217.0/24}	sat	48	540	714.0	714.0	714.0	0.714	0.714	0.714	1352.0	Ethernet0	21827.0	48246.0
edge-35	edge-63	IpWildcardIpSpace{ipWildcard=90.1.185.0/24}	sat	75	554	722.0	722.0	722.0	0.722	0.722	0.722	1514.0	Ethernet0	21827.0	48246.0
edge-82	edge-41	IpWildcardIpSpace{ipWildcard=90.1.31.0/24}	sat	83	463	675.0	675.0	675.0	0.674	0.674	0.674	1492.0	Ethernet0	21827.0	48246.0
edge-6	edge-71	IpWildcardIpSpace{ipWildcard=90.1.241.0/24}	sat	89	610	665.0	665.0	665.0	0.665	0.665	0.665	1490.0	Ethernet0	21827.0	48246.0
edge-58	edge-37	IpWildcardIpSpace{ipWildcard=90.1.3.0/24}	sat	72	340	660.0	660.0	660.0	0.659	0.659	0.659	1322.0	Ethernet0	21827.0	48246.0
edge-48	edge-54	IpWildcardIpSpace{ipWildcard=90.1.122.0/24}	sat	96	467	676.0	676.0	676.0	0.676	0.676	0.676	1369.0	Ethernet0	21827.0	48246.0
edge-50	edge-91	IpWildcardIpSpace{ipWildcard=90.2.125.0/24}	sat	76	453	661.0	661.0	661.0	0.66	0.66	0.66	1326.0	Ethernet0	21827.0	48246.0
edge-65	edge-76	IpWildcardIpSpace{ipWildcard=90.2.20.0/24}	sat	72	594	679.0	679.0	679.0	0.678	0.678	0.678	1487.0	Ethernet0	21827.0	48246.0
edge-13	edge-16	IpWildcardIpSpace{ipWildcard=90.0.112.0/24}	sat	81	914	683.0	683.0	683.0	0.683	0.683	0.683	1492.0	Ethernet0	21827.0	48246.0
edge-32	edge-55	IpWildcardIpSpace{ipWildcard=90.1.129.0/24}	sat	64	376	671.0	671.0	671.0	0.67	0.67	0.67	1311.0	Ethernet0	21827.0	48246.0
edge-95	edge-61	IpWildcardIpSpace{ipWildcard=90.1.171.0/24}	sat	88	560	675.0	675.0	675.0	0.675	0.675	0.675	1316.0	Ethernet0	21827.0	48246.0
edge-18	edge-44	IpWildcardIpSpace{ipWildcard=90.1.52.0/24}	sat	33	292	663.0	663.0	663.0	0.663	0.663	0.663	1328.0	Ethernet0	21827.0	48246.0
edge-9	edge-7	IpWildcardIpSpace{ipWildcard=90.0.49.0/24}	sat	67	726	686.0	686.0	686.0	0.685	0.685	0.685	1333.0	Ethernet0	21827.0	48246.0
edge-75	edge-24	IpWildcardIpSpace{ipWildcard=90.0.168.0/24}	sat	76	579	687.0	687.0	687.0	0.686	0.686	0.686	1341.0	Ethernet0	21827.0	48246.0
edge-51	edge-10	IpWildcardIpSpace{ipWildcard=90.0.70.0/24}	sat	88	710	679.0	679.0	679.0	0.678	0.678	0.678	1525.0	Ethernet0	21827.0	48246.0
edge-73	edge-88	IpWildcardIpSpace{ipWildcard=90.2.104.0/24}	sat	90	554	679.0	679.0	679.0	0.679	0.679	0.679	1400.0	Ethernet0	21827.0	48246.0
