srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
edge-69	edge-87	IpWildcardIpSpace{ipWildcard=90.2.184.0/24}	sat	1	49	853.0	853.0	853.0	0.852	0.852	0.852	2839.0	Ethernet0	31190.0	68765.0
edge-77	edge-62	IpWildcardIpSpace{ipWildcard=90.1.240.0/24}	sat	2	73	881.0	881.0	881.0	0.88	0.88	0.88	2538.0	Ethernet0	31190.0	68765.0
edge-102	edge-78	IpWildcardIpSpace{ipWildcard=90.2.112.0/24}	sat	4	87	917.0	917.0	917.0	0.916	0.916	0.916	2349.0	Ethernet0	31190.0	68765.0
edge-119	edge-66	IpWildcardIpSpace{ipWildcard=90.2.16.0/24}	sat	5	97	978.0	978.0	978.0	0.977	0.977	0.977	2178.0	Ethernet0	31190.0	68765.0
edge-1	edge-9	IpWildcardIpSpace{ipWildcard=90.0.72.0/24}	sat	3	82	932.0	932.0	932.0	0.931	0.931	0.931	2185.0	Ethernet0	31190.0	68765.0
edge-12	edge-2	IpWildcardIpSpace{ipWildcard=90.0.16.0/24}	sat	1	49	864.0	864.0	864.0	0.863	0.863	0.863	3889.0	Ethernet0	31190.0	68765.0
edge-29	edge-85	IpWildcardIpSpace{ipWildcard=90.2.168.0/24}	sat	5	104	881.0	881.0	881.0	0.88	0.88	0.88	2165.0	Ethernet0	31190.0	68765.0
edge-98	edge-76	IpWildcardIpSpace{ipWildcard=90.2.96.0/24}	sat	2	73	800.0	800.0	800.0	0.799	0.799	0.799	4154.0	Ethernet0	31190.0	68765.0
edge-40	edge-111	IpWildcardIpSpace{ipWildcard=90.3.120.0/24}	sat	2	73	888.0	888.0	888.0	0.887	0.887	0.887	1884.0	Ethernet0	31190.0	68765.0
edge-19	edge-98	IpWildcardIpSpace{ipWildcard=90.3.16.0/24}	sat	1	48	879.0	879.0	879.0	0.878	0.878	0.878	1869.0	Ethernet0	31190.0	68765.0
edge-2	edge-37	IpWildcardIpSpace{ipWildcard=90.1.40.0/24}	sat	5	77	889.0	889.0	889.0	0.888	0.888	0.888	1867.0	Ethernet0	31190.0	68765.0
edge-116	edge-73	IpWildcardIpSpace{ipWildcard=90.2.72.0/24}	sat	4	87	882.0	882.0	882.0	0.88	0.88	0.88	2129.0	Ethernet0	31190.0	68765.0
edge-44	edge-120	IpWildcardIpSpace{ipWildcard=90.3.192.0/24}	sat	2	74	878.0	878.0	878.0	0.877	0.877	0.877	1869.0	Ethernet0	31190.0	68765.0
edge-93	edge-33	IpWildcardIpSpace{ipWildcard=90.1.8.0/24}	sat	8	86	873.0	873.0	873.0	0.872	0.872	0.872	1872.0	Ethernet0	31190.0	68765.0
edge-64	edge-37	IpWildcardIpSpace{ipWildcard=90.1.40.0/24}	sat	5	77	877.0	877.0	877.0	0.876	0.876	0.876	1877.0	Ethernet0	31190.0	68765.0
edge-73	edge-22	IpWildcardIpSpace{ipWildcard=90.0.176.0/24}	sat	5	82	884.0	884.0	884.0	0.882	0.882	0.882	1892.0	Ethernet0	31190.0	68765.0
edge-97	edge-87	IpWildcardIpSpace{ipWildcard=90.2.184.0/24}	sat	6	81	886.0	886.0	886.0	0.885	0.885	0.885	1876.0	Ethernet0	31190.0	68765.0
edge-38	edge-30	IpWildcardIpSpace{ipWildcard=90.0.240.0/24}	sat	2	74	887.0	887.0	887.0	0.886	0.886	0.886	1885.0	Ethernet0	31190.0	68765.0
edge-107	edge-105	IpWildcardIpSpace{ipWildcard=90.3.72.0/24}	sat	4	89	878.0	878.0	878.0	0.878	0.878	0.878	1862.0	Ethernet0	31190.0	68765.0
edge-71	edge-58	IpWildcardIpSpace{ipWildcard=90.1.208.0/24}	sat	2	73	863.0	863.0	863.0	0.863	0.863	0.863	1914.0	Ethernet0	31190.0	68765.0
edge-23	edge-52	IpWildcardIpSpace{ipWildcard=90.1.160.0/24}	sat	2	73	871.0	871.0	871.0	0.87	0.87	0.87	1915.0	Ethernet0	31190.0	68765.0
edge-60	edge-82	IpWildcardIpSpace{ipWildcard=90.2.144.0/24}	sat	4	87	874.0	874.0	874.0	0.873	0.873	0.873	2129.0	Ethernet0	31190.0	68765.0
edge-45	edge-15	IpWildcardIpSpace{ipWildcard=90.0.120.0/24}	sat	5	85	872.0	872.0	872.0	0.871	0.871	0.871	2213.0	Ethernet0	31190.0	68765.0
edge-1	edge-81	IpWildcardIpSpace{ipWildcard=90.2.136.0/24}	sat	2	74	831.0	831.0	831.0	0.83	0.83	0.83	4215.0	Ethernet0	31190.0	68765.0
edge-96	edge-105	IpWildcardIpSpace{ipWildcard=90.3.72.0/24}	sat	4	89	871.0	871.0	871.0	0.87	0.87	0.87	1879.0	Ethernet0	31190.0	68765.0
edge-126	edge-124	IpWildcardIpSpace{ipWildcard=90.3.224.0/24}	sat	4	88	890.0	890.0	890.0	0.888	0.888	0.888	1906.0	Ethernet0	31190.0	68765.0
edge-73	edge-59	IpWildcardIpSpace{ipWildcard=90.1.216.0/24}	sat	2	73	887.0	887.0	887.0	0.886	0.886	0.886	1964.0	Ethernet0	31190.0	68765.0
edge-7	edge-14	IpWildcardIpSpace{ipWildcard=90.0.112.0/24}	sat	4	88	890.0	890.0	890.0	0.889	0.889	0.889	1916.0	Ethernet0	31190.0	68765.0
edge-32	edge-89	IpWildcardIpSpace{ipWildcard=90.2.200.0/24}	sat	2	73	874.0	874.0	874.0	0.873	0.873	0.873	1883.0	Ethernet0	31190.0	68765.0
edge-43	edge-112	IpWildcardIpSpace{ipWildcard=90.3.128.0/24}	sat	4	88	874.0	874.0	874.0	0.874	0.874	0.874	2170.0	Ethernet0	31190.0	68765.0
edge-97	edge-41	IpWildcardIpSpace{ipWildcard=90.1.72.0/24}	sat	4	87	875.0	875.0	875.0	0.875	0.875	0.875	1861.0	Ethernet0	31190.0	68765.0
edge-114	edge-50	IpWildcardIpSpace{ipWildcard=90.1.144.0/24}	sat	2	73	882.0	882.0	882.0	0.881	0.881	0.881	2174.0	Ethernet0	31190.0	68765.0
edge-6	edge-104	IpWildcardIpSpace{ipWildcard=90.3.64.0/24}	sat	1	49	872.0	872.0	872.0	0.872	0.872	0.872	2129.0	Ethernet0	31190.0	68765.0
edge-122	edge-92	IpWildcardIpSpace{ipWildcard=90.2.224.0/24}	sat	4	81	896.0	896.0	896.0	0.895	0.895	0.895	2154.0	Ethernet0	31190.0	68765.0
edge-36	edge-119	IpWildcardIpSpace{ipWildcard=90.3.184.0/24}	sat	1	49	889.0	889.0	889.0	0.888	0.888	0.888	2125.0	Ethernet0	31190.0	68765.0
edge-8	edge-60	IpWildcardIpSpace{ipWildcard=90.1.224.0/24}	sat	4	88	1011.0	1011.0	1011.0	1.011	1.011	1.011	1947.0	Ethernet0	31190.0	68765.0
edge-96	edge-85	IpWildcardIpSpace{ipWildcard=90.2.168.0/24}	sat	5	104	1062.0	1062.0	1062.0	1.062	1.062	1.062	1932.0	Ethernet0	31190.0	68765.0
edge-52	edge-88	IpWildcardIpSpace{ipWildcard=90.2.192.0/24}	sat	4	87	1080.0	1080.0	1080.0	1.079	1.079	1.079	1950.0	Ethernet0	31190.0	68765.0
edge-26	edge-54	IpWildcardIpSpace{ipWildcard=90.1.176.0/24}	sat	4	87	1085.0	1085.0	1085.0	1.084	1.084	1.084	1936.0	Ethernet0	31190.0	68765.0
edge-39	edge-16	IpWildcardIpSpace{ipWildcard=90.0.128.0/24}	sat	4	87	1082.0	1082.0	1082.0	1.082	1.082	1.082	2197.0	Ethernet0	31190.0	68765.0
edge-69	edge-75	IpWildcardIpSpace{ipWildcard=90.2.88.0/24}	sat	2	73	1076.0	1076.0	1076.0	1.075	1.075	1.075	2188.0	Ethernet0	31190.0	68765.0
edge-109	edge-41	IpWildcardIpSpace{ipWildcard=90.1.72.0/24}	sat	4	87	1089.0	1089.0	1089.0	1.087	1.087	1.087	2193.0	Ethernet0	31190.0	68765.0
edge-116	edge-110	IpWildcardIpSpace{ipWildcard=90.3.112.0/24}	sat	2	74	1080.0	1080.0	1080.0	1.079	1.079	1.079	2199.0	Ethernet0	31190.0	68765.0
edge-22	edge-83	IpWildcardIpSpace{ipWildcard=90.2.152.0/24}	sat	4	87	1041.0	1041.0	1041.0	1.04	1.04	1.04	3714.0	Ethernet0	31190.0	68765.0
edge-50	edge-83	IpWildcardIpSpace{ipWildcard=90.2.152.0/24}	sat	4	87	1014.0	1014.0	1014.0	1.013	1.013	1.013	2258.0	Ethernet0	31190.0	68765.0
edge-52	edge-91	IpWildcardIpSpace{ipWildcard=90.2.216.0/24}	sat	5	98	1071.0	1071.0	1071.0	1.071	1.071	1.071	1941.0	Ethernet0	31190.0	68765.0
edge-23	edge-16	IpWildcardIpSpace{ipWildcard=90.0.128.0/24}	sat	4	87	1083.0	1083.0	1083.0	1.081	1.081	1.081	2191.0	Ethernet0	31190.0	68765.0
edge-78	edge-18	IpWildcardIpSpace{ipWildcard=90.0.144.0/24}	sat	4	87	1070.0	1070.0	1070.0	1.069	1.069	1.069	1943.0	Ethernet0	31190.0	68765.0
edge-119	edge-126	IpWildcardIpSpace{ipWildcard=90.3.240.0/24}	sat	4	87	1078.0	1078.0	1078.0	1.077	1.077	1.077	1958.0	Ethernet0	31190.0	68765.0
edge-48	edge-76	IpWildcardIpSpace{ipWildcard=90.2.96.0/24}	sat	2	73	995.0	995.0	995.0	0.994	0.994	0.994	4476.0	Ethernet0	31190.0	68765.0
