srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
edge-69	edge-87	IpWildcardIpSpace{ipWildcard=90.2.184.0/24}	sat	1	49	1094.0	1094.0	1094.0	1.092	1.092	1.092	2930.0	Ethernet0	31830.0	70174.0
edge-77	edge-62	IpWildcardIpSpace{ipWildcard=90.1.240.0/24}	sat	4	88	1306.0	1306.0	1306.0	1.305	1.305	1.305	2303.0	Ethernet0	31830.0	70174.0
edge-102	edge-78	IpWildcardIpSpace{ipWildcard=90.2.112.0/24}	sat	4	88	1313.0	1313.0	1313.0	1.312	1.312	1.312	2208.0	Ethernet0	31830.0	70174.0
edge-119	edge-66	IpWildcardIpSpace{ipWildcard=90.2.16.0/24}	sat	4	87	1353.0	1353.0	1353.0	1.352	1.352	1.352	2152.0	Ethernet0	31830.0	70174.0
edge-1	edge-9	IpWildcardIpSpace{ipWildcard=90.0.72.0/24}	sat	5	106	1251.0	1251.0	1251.0	1.251	1.251	1.251	2683.0	Ethernet0	31830.0	70174.0
edge-12	edge-2	IpWildcardIpSpace{ipWildcard=90.0.16.0/24}	sat	4	88	1287.0	1287.0	1287.0	1.286	1.286	1.286	1962.0	Ethernet0	31830.0	70174.0
edge-29	edge-85	IpWildcardIpSpace{ipWildcard=90.2.168.0/24}	sat	5	109	1254.0	1254.0	1254.0	1.253	1.253	1.253	2175.0	Ethernet0	31830.0	70174.0
edge-98	edge-76	IpWildcardIpSpace{ipWildcard=90.2.96.0/24}	sat	4	87	1246.0	1246.0	1246.0	1.245	1.245	1.245	1867.0	Ethernet0	31830.0	70174.0
edge-40	edge-111	IpWildcardIpSpace{ipWildcard=90.3.120.0/24}	sat	4	88	1261.0	1261.0	1261.0	1.26	1.26	1.26	1851.0	Ethernet0	31830.0	70174.0
edge-19	edge-98	IpWildcardIpSpace{ipWildcard=90.3.16.0/24}	sat	1	48	1243.0	1243.0	1243.0	1.242	1.242	1.242	2192.0	Ethernet0	31830.0	70174.0
edge-2	edge-37	IpWildcardIpSpace{ipWildcard=90.1.40.0/24}	sat	2	73	1243.0	1243.0	1243.0	1.242	1.242	1.242	1856.0	Ethernet0	31830.0	70174.0
edge-116	edge-73	IpWildcardIpSpace{ipWildcard=90.2.72.0/24}	sat	4	87	1247.0	1247.0	1247.0	1.245	1.245	1.245	2117.0	Ethernet0	31830.0	70174.0
