srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
edge-69	edge-87	IpWildcardIpSpace{ipWildcard=90.2.184.0/24}	unsat	151921	10661702	1198976.0	1198976.0	1198976.0	1198.973	1198.973	1198.973	3905.0	Ethernet0	44118.0	96351.0
edge-77	edge-62	IpWildcardIpSpace{ipWildcard=90.1.240.0/24}	unsat	147168	8777861	856896.0	856896.0	856896.0	856.895	856.895	856.895	3415.0	Ethernet0	44118.0	96351.0
edge-102	edge-78	IpWildcardIpSpace{ipWildcard=90.2.112.0/24}	unsat	208850	14336777	1528948.0	1528948.0	1528948.0	1528.947	1528.947	1528.947	2920.0	Ethernet0	44118.0	96351.0
edge-119	edge-66	IpWildcardIpSpace{ipWildcard=90.2.16.0/24}	unsat	152948	10203105	1172440.0	1172440.0	1172440.0	1172.439	1172.439	1172.439	2982.0	Ethernet0	44118.0	96351.0
edge-1	edge-9	IpWildcardIpSpace{ipWildcard=90.0.72.0/24}	unsat	213816	19858511	2371352.0	2371352.0	2371352.0	2371.352	2371.352	2371.352	2894.0	Ethernet0	44118.0	96351.0
edge-12	edge-2	IpWildcardIpSpace{ipWildcard=90.0.16.0/24}	unsat	186572	17923631	2046407.0	2046407.0	2046407.0	2046.406	2046.406	2046.406	2852.0	Ethernet0	44118.0	96351.0
edge-29	edge-85	IpWildcardIpSpace{ipWildcard=90.2.168.0/24}	unsat	166425	11701096	1342422.0	1342422.0	1342422.0	1342.422	1342.422	1342.422	2487.0	Ethernet0	44118.0	96351.0
edge-98	edge-76	IpWildcardIpSpace{ipWildcard=90.2.96.0/24}	unsat	201604	14529386	1454722.0	1454722.0	1454722.0	1454.722	1454.722	1454.722	2475.0	Ethernet0	44118.0	96351.0
edge-40	edge-111	IpWildcardIpSpace{ipWildcard=90.3.120.0/24}	unsat	142470	10218853	960832.0	960832.0	960832.0	960.831	960.831	960.831	2500.0	Ethernet0	44118.0	96351.0
edge-19	edge-98	IpWildcardIpSpace{ipWildcard=90.3.16.0/24}	unsat	99032	7844030	1009750.0	1009750.0	1009750.0	1009.749	1009.749	1009.749	2493.0	Ethernet0	44118.0	96351.0
edge-2	edge-37	IpWildcardIpSpace{ipWildcard=90.1.40.0/24}	unsat	172003	13413806	1521857.0	1521857.0	1521857.0	1521.857	1521.857	1521.857	3272.0	Ethernet0	44118.0	96351.0
edge-116	edge-73	IpWildcardIpSpace{ipWildcard=90.2.72.0/24}	unsat	119600	8153625	1170114.0	1170114.0	1170114.0	1170.113	1170.113	1170.113	2774.0	Ethernet0	44118.0	96351.0
edge-44	edge-120	IpWildcardIpSpace{ipWildcard=90.3.192.0/24}	unsat	137355	11040619	1192803.0	1192803.0	1192803.0	1192.803	1192.803	1192.803	2480.0	Ethernet0	44118.0	96351.0
edge-93	edge-33	IpWildcardIpSpace{ipWildcard=90.1.8.0/24}	unsat	151960	12325903	1458656.0	1458656.0	1458656.0	1458.655	1458.655	1458.655	2488.0	Ethernet0	44118.0	96351.0
