srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
edge-8	edge-72	IpWildcardIpSpace{ipWildcard=90.2.208.0/24}	unsat	70	3247	2665.0	2665.0	2665.0	2.664	2.664	2.664	7088.0	Ethernet0	60122.0	132030.0
edge-89	edge-121	IpWildcardIpSpace{ipWildcard=90.4.186.0/24}	unsat	155	5459	2357.0	2357.0	2357.0	2.357	2.357	2.357	5257.0	Ethernet0	60122.0	132030.0
edge-163	edge-179	IpWildcardIpSpace{ipWildcard=90.6.254.0/24}	unsat	71	3495	2513.0	2513.0	2513.0	2.512	2.512	2.512	4610.0	Ethernet0	60122.0	132030.0
edge-199	edge-176	IpWildcardIpSpace{ipWildcard=90.6.224.0/24}	unsat	45	3170	2962.0	2962.0	2962.0	2.961	2.961	2.961	4513.0	Ethernet0	60122.0	132030.0
edge-143	edge-160	IpWildcardIpSpace{ipWildcard=90.6.64.0/24}	unsat	230	1253	2466.0	2466.0	2466.0	2.465	2.465	2.465	4514.0	Ethernet0	60122.0	132030.0
edge-56	edge-120	IpWildcardIpSpace{ipWildcard=90.4.176.0/24}	unsat	40	526	2418.0	2418.0	2418.0	2.417	2.417	2.417	3830.0	Ethernet0	60122.0	132030.0
edge-15	edge-11	IpWildcardIpSpace{ipWildcard=90.0.110.0/24}	unsat	257	1098	2450.0	2450.0	2450.0	2.449	2.449	2.449	3795.0	Ethernet0	60122.0	132030.0
edge-89	edge-133	IpWildcardIpSpace{ipWildcard=90.5.50.0/24}	unsat	49	772	2396.0	2396.0	2396.0	2.395	2.395	2.395	5692.0	Ethernet0	60122.0	132030.0
edge-102	edge-183	IpWildcardIpSpace{ipWildcard=90.7.38.0/24}	unsat	118	1345	2419.0	2419.0	2419.0	2.418	2.418	2.418	6081.0	Ethernet0	60122.0	132030.0
edge-121	edge-43	IpWildcardIpSpace{ipWildcard=90.1.174.0/24}	unsat	33	336	2451.0	2451.0	2451.0	2.45	2.45	2.45	3959.0	Ethernet0	60122.0	132030.0
edge-65	edge-69	IpWildcardIpSpace{ipWildcard=90.2.178.0/24}	unsat	188	875	2573.0	2573.0	2573.0	2.572	2.572	2.572	3909.0	Ethernet0	60122.0	132030.0
edge-62	edge-49	IpWildcardIpSpace{ipWildcard=90.1.234.0/24}	unsat	79	1207	2383.0	2383.0	2383.0	2.382	2.382	2.382	3793.0	Ethernet0	60122.0	132030.0
edge-177	edge-97	IpWildcardIpSpace{ipWildcard=90.3.202.0/24}	unsat	36	355	2391.0	2391.0	2391.0	2.391	2.391	2.391	3934.0	Ethernet0	60122.0	132030.0
edge-1	edge-151	IpWildcardIpSpace{ipWildcard=90.5.230.0/24}	unsat	38	358	2421.0	2421.0	2421.0	2.42	2.42	2.42	4334.0	Ethernet0	60122.0	132030.0
edge-119	edge-32	IpWildcardIpSpace{ipWildcard=90.1.64.0/24}	unsat	36	728	2410.0	2410.0	2410.0	2.409	2.409	2.409	3811.0	Ethernet0	60122.0	132030.0
edge-28	edge-109	IpWildcardIpSpace{ipWildcard=90.4.66.0/24}	unsat	33	337	2422.0	2422.0	2422.0	2.422	2.422	2.422	3794.0	Ethernet0	60122.0	132030.0
edge-184	edge-188	IpWildcardIpSpace{ipWildcard=90.7.88.0/24}	unsat	181	764	2464.0	2464.0	2464.0	2.464	2.464	2.464	4223.0	Ethernet0	60122.0	132030.0
edge-151	edge-39	IpWildcardIpSpace{ipWildcard=90.1.134.0/24}	unsat	33	526	2399.0	2399.0	2399.0	2.398	2.398	2.398	3782.0	Ethernet0	60122.0	132030.0
edge-140	edge-122	IpWildcardIpSpace{ipWildcard=90.4.196.0/24}	unsat	34	341	2407.0	2407.0	2407.0	2.406	2.406	2.406	3796.0	Ethernet0	60122.0	132030.0
edge-59	edge-81	IpWildcardIpSpace{ipWildcard=90.3.42.0/24}	unsat	40	729	2442.0	2442.0	2442.0	2.441	2.441	2.441	3818.0	Ethernet0	60122.0	132030.0
edge-173	edge-83	IpWildcardIpSpace{ipWildcard=90.3.62.0/24}	unsat	39	638	2437.0	2437.0	2437.0	2.436	2.436	2.436	3813.0	Ethernet0	60122.0	132030.0
