srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
edge-17	edge-0	IpWildcardIpSpace{ipWildcard=90.0.0.0/24}	sat	87	1409	270.0	270.0	270.0	0.269	0.269	0.269	126.0	Ethernet0	2803.0	6196.0
edge-1	edge-13	IpWildcardIpSpace{ipWildcard=90.0.39.0/24}	sat	206	4451	506.0	506.0	506.0	0.506	0.506	0.506	131.0	Ethernet0	2803.0	6196.0
edge-4	edge-12	IpWildcardIpSpace{ipWildcard=90.0.36.0/24}	sat	253	4630	506.0	506.0	506.0	0.505	0.505	0.505	123.0	Ethernet0	2803.0	6196.0
edge-6	edge-10	IpWildcardIpSpace{ipWildcard=90.0.30.0/24}	sat	353	2525	482.0	482.0	482.0	0.481	0.481	0.481	130.0	Ethernet0	2803.0	6196.0
edge-14	edge-2	IpWildcardIpSpace{ipWildcard=90.0.6.0/24}	sat	186	2763	390.0	390.0	390.0	0.388	0.388	0.388	142.0	Ethernet0	2803.0	6196.0
edge-9	edge-7	IpWildcardIpSpace{ipWildcard=90.0.21.0/24}	sat	132	2351	352.0	352.0	352.0	0.352	0.352	0.352	121.0	Ethernet0	2803.0	6196.0
edge-7	edge-6	IpWildcardIpSpace{ipWildcard=90.0.18.0/24}	sat	160	3452	361.0	361.0	361.0	0.361	0.361	0.361	118.0	Ethernet0	2803.0	6196.0
edge-16	edge-14	IpWildcardIpSpace{ipWildcard=90.0.42.0/24}	sat	154	1963	366.0	366.0	366.0	0.365	0.365	0.365	120.0	Ethernet0	2803.0	6196.0
edge-5	edge-7	IpWildcardIpSpace{ipWildcard=90.0.21.0/24}	sat	161	2301	351.0	351.0	351.0	0.35	0.35	0.35	117.0	Ethernet0	2803.0	6196.0
edge-1	edge-17	IpWildcardIpSpace{ipWildcard=90.0.51.0/24}	sat	208	4563	533.0	533.0	533.0	0.532	0.532	0.532	117.0	Ethernet0	2803.0	6196.0
edge-13	edge-15	IpWildcardIpSpace{ipWildcard=90.0.45.0/24}	sat	202	3301	451.0	451.0	451.0	0.45	0.45	0.45	114.0	Ethernet0	2803.0	6196.0
edge-7	edge-5	IpWildcardIpSpace{ipWildcard=90.0.15.0/24}	sat	131	3458	366.0	366.0	366.0	0.365	0.365	0.365	139.0	Ethernet0	2803.0	6196.0
edge-6	edge-12	IpWildcardIpSpace{ipWildcard=90.0.36.0/24}	sat	335	5150	555.0	555.0	555.0	0.555	0.555	0.555	132.0	Ethernet0	2803.0	6196.0
edge-14	edge-17	IpWildcardIpSpace{ipWildcard=90.0.51.0/24}	sat	504	4119	653.0	653.0	653.0	0.652	0.652	0.652	130.0	Ethernet0	2803.0	6196.0
edge-15	edge-17	IpWildcardIpSpace{ipWildcard=90.0.51.0/24}	sat	89	1674	269.0	269.0	269.0	0.268	0.268	0.268	123.0	Ethernet0	2803.0	6196.0
edge-11	edge-13	IpWildcardIpSpace{ipWildcard=90.0.39.0/24}	sat	95	1863	241.0	241.0	241.0	0.241	0.241	0.241	128.0	Ethernet0	2803.0	6196.0
edge-16	edge-3	IpWildcardIpSpace{ipWildcard=90.0.9.0/24}	sat	247	2694	418.0	418.0	418.0	0.418	0.418	0.418	120.0	Ethernet0	2803.0	6196.0
edge-0	edge-7	IpWildcardIpSpace{ipWildcard=90.0.21.0/24}	sat	111	1509	353.0	353.0	353.0	0.353	0.353	0.353	120.0	Ethernet0	2803.0	6196.0
edge-13	edge-7	IpWildcardIpSpace{ipWildcard=90.0.21.0/24}	sat	209	5217	574.0	574.0	574.0	0.573	0.573	0.573	122.0	Ethernet0	2803.0	6196.0
edge-11	edge-4	IpWildcardIpSpace{ipWildcard=90.0.12.0/24}	sat	85	1508	235.0	235.0	235.0	0.234	0.234	0.234	113.0	Ethernet0	2803.0	6196.0
edge-15	edge-10	IpWildcardIpSpace{ipWildcard=90.0.30.0/24}	sat	133	2220	381.0	381.0	381.0	0.381	0.381	0.381	119.0	Ethernet0	2803.0	6196.0
edge-3	edge-2	IpWildcardIpSpace{ipWildcard=90.0.6.0/24}	sat	215	4076	468.0	468.0	468.0	0.468	0.468	0.468	118.0	Ethernet0	2803.0	6196.0
edge-17	edge-6	IpWildcardIpSpace{ipWildcard=90.0.18.0/24}	sat	135	2374	324.0	324.0	324.0	0.323	0.323	0.323	123.0	Ethernet0	2803.0	6196.0
edge-0	edge-15	IpWildcardIpSpace{ipWildcard=90.0.45.0/24}	sat	132	1473	298.0	298.0	298.0	0.297	0.297	0.297	124.0	Ethernet0	2803.0	6196.0
edge-2	edge-14	IpWildcardIpSpace{ipWildcard=90.0.42.0/24}	sat	385	6192	726.0	726.0	726.0	0.725	0.725	0.725	121.0	Ethernet0	2803.0	6196.0
edge-16	edge-5	IpWildcardIpSpace{ipWildcard=90.0.15.0/24}	sat	130	2548	313.0	313.0	313.0	0.312	0.312	0.312	127.0	Ethernet0	2803.0	6196.0
edge-16	edge-2	IpWildcardIpSpace{ipWildcard=90.0.6.0/24}	sat	120	2078	319.0	319.0	319.0	0.318	0.318	0.318	117.0	Ethernet0	2803.0	6196.0
edge-5	edge-1	IpWildcardIpSpace{ipWildcard=90.0.3.0/24}	sat	154	2225	337.0	337.0	337.0	0.336	0.336	0.336	112.0	Ethernet0	2803.0	6196.0
edge-2	edge-10	IpWildcardIpSpace{ipWildcard=90.0.30.0/24}	sat	135	2482	351.0	351.0	351.0	0.35	0.35	0.35	119.0	Ethernet0	2803.0	6196.0
edge-0	edge-16	IpWildcardIpSpace{ipWildcard=90.0.48.0/24}	sat	139	2366	351.0	351.0	351.0	0.351	0.351	0.351	116.0	Ethernet0	2803.0	6196.0
edge-3	edge-0	IpWildcardIpSpace{ipWildcard=90.0.0.0/24}	sat	220	3889	448.0	448.0	448.0	0.448	0.448	0.448	119.0	Ethernet0	2803.0	6196.0
edge-9	edge-11	IpWildcardIpSpace{ipWildcard=90.0.33.0/24}	sat	217	3710	426.0	426.0	426.0	0.426	0.426	0.426	120.0	Ethernet0	2803.0	6196.0
edge-12	edge-6	IpWildcardIpSpace{ipWildcard=90.0.18.0/24}	sat	226	3736	494.0	494.0	494.0	0.494	0.494	0.494	117.0	Ethernet0	2803.0	6196.0
edge-12	edge-5	IpWildcardIpSpace{ipWildcard=90.0.15.0/24}	sat	65	2074	242.0	242.0	242.0	0.242	0.242	0.242	122.0	Ethernet0	2803.0	6196.0
edge-14	edge-12	IpWildcardIpSpace{ipWildcard=90.0.36.0/24}	sat	116	1953	263.0	263.0	263.0	0.263	0.263	0.263	125.0	Ethernet0	2803.0	6196.0
edge-2	edge-7	IpWildcardIpSpace{ipWildcard=90.0.21.0/24}	sat	201	2740	428.0	428.0	428.0	0.427	0.427	0.427	121.0	Ethernet0	2803.0	6196.0
edge-1	edge-9	IpWildcardIpSpace{ipWildcard=90.0.27.0/24}	sat	112	3259	390.0	390.0	390.0	0.389	0.389	0.389	112.0	Ethernet0	2803.0	6196.0
edge-10	edge-14	IpWildcardIpSpace{ipWildcard=90.0.42.0/24}	sat	222	4726	490.0	490.0	490.0	0.489	0.489	0.489	113.0	Ethernet0	2803.0	6196.0
edge-0	edge-17	IpWildcardIpSpace{ipWildcard=90.0.51.0/24}	sat	123	3754	391.0	391.0	391.0	0.39	0.39	0.39	114.0	Ethernet0	2803.0	6196.0
edge-13	edge-4	IpWildcardIpSpace{ipWildcard=90.0.12.0/24}	sat	67	1426	239.0	239.0	239.0	0.238	0.238	0.238	121.0	Ethernet0	2803.0	6196.0
edge-9	edge-16	IpWildcardIpSpace{ipWildcard=90.0.48.0/24}	sat	525	4110	688.0	688.0	688.0	0.687	0.687	0.687	114.0	Ethernet0	2803.0	6196.0
edge-10	edge-1	IpWildcardIpSpace{ipWildcard=90.0.3.0/24}	sat	170	2591	350.0	350.0	350.0	0.349	0.349	0.349	114.0	Ethernet0	2803.0	6196.0
edge-15	edge-11	IpWildcardIpSpace{ipWildcard=90.0.33.0/24}	sat	227	3309	410.0	410.0	410.0	0.41	0.41	0.41	114.0	Ethernet0	2803.0	6196.0
edge-10	edge-9	IpWildcardIpSpace{ipWildcard=90.0.27.0/24}	sat	118	1767	271.0	271.0	271.0	0.27	0.27	0.27	116.0	Ethernet0	2803.0	6196.0
edge-4	edge-8	IpWildcardIpSpace{ipWildcard=90.0.24.0/24}	sat	190	3611	402.0	402.0	402.0	0.402	0.402	0.402	115.0	Ethernet0	2803.0	6196.0
edge-14	edge-4	IpWildcardIpSpace{ipWildcard=90.0.12.0/24}	sat	83	1499	235.0	235.0	235.0	0.235	0.235	0.235	113.0	Ethernet0	2803.0	6196.0
edge-11	edge-2	IpWildcardIpSpace{ipWildcard=90.0.6.0/24}	sat	90	2054	261.0	261.0	261.0	0.261	0.261	0.261	112.0	Ethernet0	2803.0	6196.0
edge-17	edge-10	IpWildcardIpSpace{ipWildcard=90.0.30.0/24}	sat	118	3539	464.0	464.0	464.0	0.463	0.463	0.463	114.0	Ethernet0	2803.0	6196.0
edge-6	edge-1	IpWildcardIpSpace{ipWildcard=90.0.3.0/24}	sat	196	3165	438.0	438.0	438.0	0.438	0.438	0.438	116.0	Ethernet0	2803.0	6196.0
edge-5	edge-9	IpWildcardIpSpace{ipWildcard=90.0.27.0/24}	sat	193	2679	347.0	347.0	347.0	0.346	0.346	0.346	113.0	Ethernet0	2803.0	6196.0
