srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
edge-14	edge-24	IpWildcardIpSpace{ipWildcard=90.0.96.0/24}	unsat	27	59	131.0	131.0	131.0	0.13	0.13	0.13	269.0	Ethernet0	4646.0	10398.0
edge-19	edge-27	IpWildcardIpSpace{ipWildcard=90.0.108.0/24}	unsat	23	88	132.0	132.0	132.0	0.131	0.131	0.131	248.0	Ethernet0	4646.0	10398.0
edge-7	edge-8	IpWildcardIpSpace{ipWildcard=90.0.32.0/24}	unsat	19	70	129.0	129.0	129.0	0.129	0.129	0.129	247.0	Ethernet0	4646.0	10398.0
edge-10	edge-22	IpWildcardIpSpace{ipWildcard=90.0.88.0/24}	unsat	23	112	127.0	127.0	127.0	0.126	0.126	0.126	236.0	Ethernet0	4646.0	10398.0
edge-15	edge-21	IpWildcardIpSpace{ipWildcard=90.0.84.0/24}	unsat	35	82	127.0	127.0	127.0	0.126	0.126	0.126	230.0	Ethernet0	4646.0	10398.0
edge-24	edge-9	IpWildcardIpSpace{ipWildcard=90.0.36.0/24}	unsat	24	56	135.0	135.0	135.0	0.134	0.134	0.134	225.0	Ethernet0	4646.0	10398.0
edge-12	edge-4	IpWildcardIpSpace{ipWildcard=90.0.16.0/24}	unsat	23	57	127.0	127.0	127.0	0.126	0.126	0.126	267.0	Ethernet0	4646.0	10398.0
edge-15	edge-13	IpWildcardIpSpace{ipWildcard=90.0.52.0/24}	unsat	34	153	131.0	131.0	131.0	0.13	0.13	0.13	225.0	Ethernet0	4646.0	10398.0
edge-19	edge-2	IpWildcardIpSpace{ipWildcard=90.0.8.0/24}	unsat	43	98	129.0	129.0	129.0	0.129	0.129	0.129	226.0	Ethernet0	4646.0	10398.0
edge-22	edge-30	IpWildcardIpSpace{ipWildcard=90.0.120.0/24}	unsat	31	53	127.0	127.0	127.0	0.126	0.126	0.126	259.0	Ethernet0	4646.0	10398.0
edge-1	edge-18	IpWildcardIpSpace{ipWildcard=90.0.72.0/24}	unsat	26	100	127.0	127.0	127.0	0.127	0.127	0.127	262.0	Ethernet0	4646.0	10398.0
edge-29	edge-4	IpWildcardIpSpace{ipWildcard=90.0.16.0/24}	unsat	33	91	128.0	128.0	128.0	0.127	0.127	0.127	259.0	Ethernet0	4646.0	10398.0
edge-27	edge-31	IpWildcardIpSpace{ipWildcard=90.0.124.0/24}	unsat	28	79	127.0	127.0	127.0	0.127	0.127	0.127	266.0	Ethernet0	4646.0	10398.0
edge-17	edge-28	IpWildcardIpSpace{ipWildcard=90.0.112.0/24}	unsat	22	49	131.0	131.0	131.0	0.13	0.13	0.13	216.0	Ethernet0	4646.0	10398.0
edge-7	edge-31	IpWildcardIpSpace{ipWildcard=90.0.124.0/24}	unsat	28	65	133.0	133.0	133.0	0.133	0.133	0.133	222.0	Ethernet0	4646.0	10398.0
edge-12	edge-16	IpWildcardIpSpace{ipWildcard=90.0.64.0/24}	unsat	36	126	127.0	127.0	127.0	0.126	0.126	0.126	221.0	Ethernet0	4646.0	10398.0
edge-18	edge-14	IpWildcardIpSpace{ipWildcard=90.0.56.0/24}	unsat	32	87	131.0	131.0	131.0	0.131	0.131	0.131	222.0	Ethernet0	4646.0	10398.0
edge-26	edge-7	IpWildcardIpSpace{ipWildcard=90.0.28.0/24}	unsat	26	68	132.0	132.0	132.0	0.131	0.131	0.131	216.0	Ethernet0	4646.0	10398.0
edge-9	edge-0	IpWildcardIpSpace{ipWildcard=90.0.0.0/24}	unsat	37	99	126.0	126.0	126.0	0.126	0.126	0.126	219.0	Ethernet0	4646.0	10398.0
edge-0	edge-11	IpWildcardIpSpace{ipWildcard=90.0.44.0/24}	unsat	24	64	130.0	130.0	130.0	0.129	0.129	0.129	230.0	Ethernet0	4646.0	10398.0
edge-26	edge-1	IpWildcardIpSpace{ipWildcard=90.0.4.0/24}	unsat	37	96	132.0	132.0	132.0	0.132	0.132	0.132	220.0	Ethernet0	4646.0	10398.0
edge-21	edge-17	IpWildcardIpSpace{ipWildcard=90.0.68.0/24}	unsat	26	84	127.0	127.0	127.0	0.126	0.126	0.126	335.0	Ethernet0	4646.0	10398.0
edge-15	edge-31	IpWildcardIpSpace{ipWildcard=90.0.124.0/24}	unsat	24	87	127.0	127.0	127.0	0.127	0.127	0.127	220.0	Ethernet0	4646.0	10398.0
edge-6	edge-29	IpWildcardIpSpace{ipWildcard=90.0.116.0/24}	unsat	26	78	145.0	145.0	145.0	0.144	0.144	0.144	221.0	Ethernet0	4646.0	10398.0
edge-13	edge-5	IpWildcardIpSpace{ipWildcard=90.0.20.0/24}	unsat	26	73	131.0	131.0	131.0	0.13	0.13	0.13	219.0	Ethernet0	4646.0	10398.0
edge-12	edge-5	IpWildcardIpSpace{ipWildcard=90.0.20.0/24}	unsat	18	70	128.0	128.0	128.0	0.127	0.127	0.127	249.0	Ethernet0	4646.0	10398.0
edge-26	edge-9	IpWildcardIpSpace{ipWildcard=90.0.36.0/24}	unsat	30	96	128.0	128.0	128.0	0.127	0.127	0.127	219.0	Ethernet0	4646.0	10398.0
edge-25	edge-6	IpWildcardIpSpace{ipWildcard=90.0.24.0/24}	unsat	25	69	125.0	125.0	125.0	0.125	0.125	0.125	216.0	Ethernet0	4646.0	10398.0
edge-26	edge-14	IpWildcardIpSpace{ipWildcard=90.0.56.0/24}	unsat	38	108	131.0	131.0	131.0	0.131	0.131	0.131	288.0	Ethernet0	4646.0	10398.0
edge-25	edge-17	IpWildcardIpSpace{ipWildcard=90.0.68.0/24}	unsat	34	91	134.0	134.0	134.0	0.133	0.133	0.133	224.0	Ethernet0	4646.0	10398.0
edge-3	edge-25	IpWildcardIpSpace{ipWildcard=90.0.100.0/24}	unsat	23	101	135.0	135.0	135.0	0.134	0.134	0.134	251.0	Ethernet0	4646.0	10398.0
edge-24	edge-7	IpWildcardIpSpace{ipWildcard=90.0.28.0/24}	unsat	30	84	127.0	127.0	127.0	0.126	0.126	0.126	256.0	Ethernet0	4646.0	10398.0
edge-14	edge-27	IpWildcardIpSpace{ipWildcard=90.0.108.0/24}	unsat	31	87	125.0	125.0	125.0	0.124	0.124	0.124	252.0	Ethernet0	4646.0	10398.0
edge-9	edge-20	IpWildcardIpSpace{ipWildcard=90.0.80.0/24}	unsat	38	122	127.0	127.0	127.0	0.126	0.126	0.126	245.0	Ethernet0	4646.0	10398.0
edge-31	edge-28	IpWildcardIpSpace{ipWildcard=90.0.112.0/24}	unsat	38	123	126.0	126.0	126.0	0.126	0.126	0.126	233.0	Ethernet0	4646.0	10398.0
edge-4	edge-13	IpWildcardIpSpace{ipWildcard=90.0.52.0/24}	unsat	40	90	127.0	127.0	127.0	0.126	0.126	0.126	224.0	Ethernet0	4646.0	10398.0
edge-17	edge-12	IpWildcardIpSpace{ipWildcard=90.0.48.0/24}	unsat	30	71	128.0	128.0	128.0	0.127	0.127	0.127	231.0	Ethernet0	4646.0	10398.0
edge-19	edge-5	IpWildcardIpSpace{ipWildcard=90.0.20.0/24}	unsat	33	89	127.0	127.0	127.0	0.126	0.126	0.126	230.0	Ethernet0	4646.0	10398.0
edge-30	edge-8	IpWildcardIpSpace{ipWildcard=90.0.32.0/24}	unsat	26	68	132.0	132.0	132.0	0.131	0.131	0.131	242.0	Ethernet0	4646.0	10398.0
edge-25	edge-28	IpWildcardIpSpace{ipWildcard=90.0.112.0/24}	unsat	25	73	125.0	125.0	125.0	0.124	0.124	0.124	220.0	Ethernet0	4646.0	10398.0
edge-8	edge-21	IpWildcardIpSpace{ipWildcard=90.0.84.0/24}	unsat	27	71	125.0	125.0	125.0	0.123	0.123	0.123	234.0	Ethernet0	4646.0	10398.0
edge-9	edge-15	IpWildcardIpSpace{ipWildcard=90.0.60.0/24}	unsat	24	103	124.0	124.0	124.0	0.124	0.124	0.124	217.0	Ethernet0	4646.0	10398.0
edge-5	edge-23	IpWildcardIpSpace{ipWildcard=90.0.92.0/24}	unsat	24	63	125.0	125.0	125.0	0.124	0.124	0.124	211.0	Ethernet0	4646.0	10398.0
edge-10	edge-29	IpWildcardIpSpace{ipWildcard=90.0.116.0/24}	unsat	23	58	124.0	124.0	124.0	0.123	0.123	0.123	225.0	Ethernet0	4646.0	10398.0
edge-14	edge-19	IpWildcardIpSpace{ipWildcard=90.0.76.0/24}	unsat	25	86	124.0	124.0	124.0	0.124	0.124	0.124	213.0	Ethernet0	4646.0	10398.0
edge-31	edge-10	IpWildcardIpSpace{ipWildcard=90.0.40.0/24}	unsat	23	109	131.0	131.0	131.0	0.13	0.13	0.13	214.0	Ethernet0	4646.0	10398.0
edge-18	edge-16	IpWildcardIpSpace{ipWildcard=90.0.64.0/24}	unsat	34	147	130.0	130.0	130.0	0.129	0.129	0.129	220.0	Ethernet0	4646.0	10398.0
edge-4	edge-19	IpWildcardIpSpace{ipWildcard=90.0.76.0/24}	unsat	38	105	124.0	124.0	124.0	0.123	0.123	0.123	209.0	Ethernet0	4646.0	10398.0
edge-20	edge-23	IpWildcardIpSpace{ipWildcard=90.0.92.0/24}	unsat	46	173	127.0	127.0	127.0	0.126	0.126	0.126	209.0	Ethernet0	4646.0	10398.0
