srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
edge-16	edge-28	IpWildcardIpSpace{ipWildcard=90.0.140.0/24}	sat	4	2516	234.0	234.0	234.0	0.233	0.233	0.233	216.0	Ethernet0	4925.0	9910.0
edge-35	edge-11	IpWildcardIpSpace{ipWildcard=90.0.55.0/24}	sat	4	2515	233.0	233.0	233.0	0.231	0.231	0.231	200.0	Ethernet0	4925.0	9910.0
edge-18	edge-41	IpWildcardIpSpace{ipWildcard=90.0.205.0/24}	sat	4	2515	224.0	224.0	224.0	0.223	0.223	0.223	225.0	Ethernet0	4925.0	9910.0
edge-48	edge-12	IpWildcardIpSpace{ipWildcard=90.0.60.0/24}	sat	4	2515	234.0	234.0	234.0	0.233	0.233	0.233	249.0	Ethernet0	4925.0	9910.0
edge-49	edge-36	IpWildcardIpSpace{ipWildcard=90.0.180.0/24}	sat	4	2515	226.0	226.0	226.0	0.224	0.224	0.224	226.0	Ethernet0	4925.0	9910.0
edge-14	edge-16	IpWildcardIpSpace{ipWildcard=90.0.80.0/24}	sat	4	2515	276.0	276.0	276.0	0.275	0.275	0.275	235.0	Ethernet0	4925.0	9910.0
edge-11	edge-39	IpWildcardIpSpace{ipWildcard=90.0.195.0/24}	sat	4	2515	221.0	221.0	221.0	0.22	0.22	0.22	196.0	Ethernet0	4925.0	9910.0
edge-35	edge-32	IpWildcardIpSpace{ipWildcard=90.0.160.0/24}	sat	4	2515	221.0	221.0	221.0	0.221	0.221	0.221	220.0	Ethernet0	4925.0	9910.0
edge-31	edge-32	IpWildcardIpSpace{ipWildcard=90.0.160.0/24}	sat	4	2515	223.0	223.0	223.0	0.222	0.222	0.222	209.0	Ethernet0	4925.0	9910.0
edge-22	edge-4	IpWildcardIpSpace{ipWildcard=90.0.20.0/24}	sat	4	2515	230.0	230.0	230.0	0.229	0.229	0.229	215.0	Ethernet0	4925.0	9910.0
edge-48	edge-2	IpWildcardIpSpace{ipWildcard=90.0.10.0/24}	sat	4	2515	251.0	251.0	251.0	0.25	0.25	0.25	190.0	Ethernet0	4925.0	9910.0
edge-11	edge-30	IpWildcardIpSpace{ipWildcard=90.0.150.0/24}	sat	4	2515	231.0	231.0	231.0	0.231	0.231	0.231	178.0	Ethernet0	4925.0	9910.0
edge-36	edge-46	IpWildcardIpSpace{ipWildcard=90.0.230.0/24}	sat	4	2515	222.0	222.0	222.0	0.221	0.221	0.221	167.0	Ethernet0	4925.0	9910.0
edge-3	edge-10	IpWildcardIpSpace{ipWildcard=90.0.50.0/24}	sat	4	2515	227.0	227.0	227.0	0.225	0.225	0.225	194.0	Ethernet0	4925.0	9910.0
edge-13	edge-49	IpWildcardIpSpace{ipWildcard=90.0.245.0/24}	sat	4	2515	225.0	225.0	225.0	0.224	0.224	0.224	189.0	Ethernet0	4925.0	9910.0
edge-28	edge-10	IpWildcardIpSpace{ipWildcard=90.0.50.0/24}	sat	4	2515	220.0	220.0	220.0	0.22	0.22	0.22	771.0	Ethernet0	4925.0	9910.0
edge-1	edge-15	IpWildcardIpSpace{ipWildcard=90.0.75.0/24}	sat	4	2515	226.0	226.0	226.0	0.225	0.225	0.225	196.0	Ethernet0	4925.0	9910.0
edge-43	edge-7	IpWildcardIpSpace{ipWildcard=90.0.35.0/24}	sat	4	2515	223.0	223.0	223.0	0.222	0.222	0.222	195.0	Ethernet0	4925.0	9910.0
edge-35	edge-47	IpWildcardIpSpace{ipWildcard=90.0.235.0/24}	sat	4	2515	228.0	228.0	228.0	0.227	0.227	0.227	202.0	Ethernet0	4925.0	9910.0
edge-28	edge-24	IpWildcardIpSpace{ipWildcard=90.0.120.0/24}	sat	4	2515	221.0	221.0	221.0	0.22	0.22	0.22	182.0	Ethernet0	4925.0	9910.0
edge-15	edge-12	IpWildcardIpSpace{ipWildcard=90.0.60.0/24}	sat	4	2515	223.0	223.0	223.0	0.222	0.222	0.222	182.0	Ethernet0	4925.0	9910.0
edge-30	edge-29	IpWildcardIpSpace{ipWildcard=90.0.145.0/24}	sat	4	2515	224.0	224.0	224.0	0.223	0.223	0.223	167.0	Ethernet0	4925.0	9910.0
edge-9	edge-25	IpWildcardIpSpace{ipWildcard=90.0.125.0/24}	sat	4	2515	222.0	222.0	222.0	0.221	0.221	0.221	170.0	Ethernet0	4925.0	9910.0
edge-19	edge-33	IpWildcardIpSpace{ipWildcard=90.0.165.0/24}	sat	4	2515	221.0	221.0	221.0	0.22	0.22	0.22	166.0	Ethernet0	4925.0	9910.0
edge-29	edge-3	IpWildcardIpSpace{ipWildcard=90.0.15.0/24}	sat	4	2515	224.0	224.0	224.0	0.223	0.223	0.223	168.0	Ethernet0	4925.0	9910.0
edge-25	edge-23	IpWildcardIpSpace{ipWildcard=90.0.115.0/24}	sat	4	2516	226.0	226.0	226.0	0.226	0.226	0.226	164.0	Ethernet0	4925.0	9910.0
edge-4	edge-11	IpWildcardIpSpace{ipWildcard=90.0.55.0/24}	sat	4	2515	223.0	223.0	223.0	0.222	0.222	0.222	167.0	Ethernet0	4925.0	9910.0
edge-24	edge-7	IpWildcardIpSpace{ipWildcard=90.0.35.0/24}	sat	4	2515	225.0	225.0	225.0	0.224	0.224	0.224	175.0	Ethernet0	4925.0	9910.0
edge-1	edge-14	IpWildcardIpSpace{ipWildcard=90.0.70.0/24}	sat	4	2515	225.0	225.0	225.0	0.224	0.224	0.224	168.0	Ethernet0	4925.0	9910.0
edge-15	edge-46	IpWildcardIpSpace{ipWildcard=90.0.230.0/24}	sat	4	2515	223.0	223.0	223.0	0.222	0.222	0.222	166.0	Ethernet0	4925.0	9910.0
