srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
edge-29	edge-39	IpWildcardIpSpace{ipWildcard=90.0.234.0/24}	sat	17219	111206	11016.0	11016.0	11016.0	11.016	11.016	11.016	509.0	Ethernet0	8449.0	16920.0
edge-59	edge-4	IpWildcardIpSpace{ipWildcard=90.0.24.0/24}	sat	16341	112467	9988.0	9988.0	9988.0	9.988	9.988	9.988	398.0	Ethernet0	8449.0	16920.0
edge-3	edge-40	IpWildcardIpSpace{ipWildcard=90.0.240.0/24}	sat	18610	112069	11842.0	11842.0	11842.0	11.841	11.841	11.841	372.0	Ethernet0	8449.0	16920.0
edge-47	edge-46	IpWildcardIpSpace{ipWildcard=90.1.20.0/24}	sat	16835	112496	10594.0	10594.0	10594.0	10.593	10.593	10.593	447.0	Ethernet0	8449.0	16920.0
edge-0	edge-25	IpWildcardIpSpace{ipWildcard=90.0.150.0/24}	sat	20192	127290	12378.0	12378.0	12378.0	12.377	12.377	12.377	339.0	Ethernet0	8449.0	16920.0
edge-6	edge-49	IpWildcardIpSpace{ipWildcard=90.1.38.0/24}	sat	16222	113541	9706.0	9706.0	9706.0	9.705	9.705	9.705	320.0	Ethernet0	8449.0	16920.0
edge-32	edge-31	IpWildcardIpSpace{ipWildcard=90.0.186.0/24}	sat	19054	127334	11964.0	11964.0	11964.0	11.963	11.963	11.963	358.0	Ethernet0	8449.0	16920.0
edge-48	edge-68	IpWildcardIpSpace{ipWildcard=90.1.152.0/24}	sat	17643	113614	10609.0	10609.0	10609.0	10.608	10.608	10.608	364.0	Ethernet0	8449.0	16920.0
edge-42	edge-68	IpWildcardIpSpace{ipWildcard=90.1.152.0/24}	sat	21011	114155	12460.0	12460.0	12460.0	12.46	12.46	12.46	1655.0	Ethernet0	8449.0	16920.0
edge-71	edge-21	IpWildcardIpSpace{ipWildcard=90.0.126.0/24}	sat	15966	132231	10022.0	10022.0	10022.0	10.021	10.021	10.021	330.0	Ethernet0	8449.0	16920.0
edge-25	edge-42	IpWildcardIpSpace{ipWildcard=90.0.252.0/24}	sat	16330	107479	10065.0	10065.0	10065.0	10.064	10.064	10.064	327.0	Ethernet0	8449.0	16920.0
edge-19	edge-40	IpWildcardIpSpace{ipWildcard=90.0.240.0/24}	sat	16719	103336	10406.0	10406.0	10406.0	10.406	10.406	10.406	389.0	Ethernet0	8449.0	16920.0
edge-18	edge-42	IpWildcardIpSpace{ipWildcard=90.0.252.0/24}	sat	18750	105984	11400.0	11400.0	11400.0	11.399	11.399	11.399	339.0	Ethernet0	8449.0	16920.0
edge-5	edge-50	IpWildcardIpSpace{ipWildcard=90.1.44.0/24}	sat	16562	121033	10071.0	10071.0	10071.0	10.07	10.07	10.07	1508.0	Ethernet0	8449.0	16920.0
