srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
edge-150	edge-99	IpWildcardIpSpace{ipWildcard=90.3.123.0/24}	sat	4	13283	3029.0	3029.0	3029.0	3.028	3.028	3.028	1929.0	Ethernet0	25783.0	50661.0
edge-133	edge-78	IpWildcardIpSpace{ipWildcard=90.2.190.0/24}	sat	4	13283	2698.0	2698.0	2698.0	2.697	2.697	2.697	1271.0	Ethernet0	25783.0	50661.0
edge-8	edge-22	IpWildcardIpSpace{ipWildcard=90.0.198.0/24}	sat	4	13283	2749.0	2749.0	2749.0	2.749	2.749	2.749	1196.0	Ethernet0	25783.0	50661.0
edge-125	edge-116	IpWildcardIpSpace{ipWildcard=90.4.20.0/24}	sat	4	13283	2748.0	2748.0	2748.0	2.747	2.747	2.747	1214.0	Ethernet0	25783.0	50661.0
edge-76	edge-120	IpWildcardIpSpace{ipWildcard=90.4.56.0/24}	sat	4	13283	2721.0	2721.0	2721.0	2.72	2.72	2.72	1215.0	Ethernet0	25783.0	50661.0
edge-34	edge-75	IpWildcardIpSpace{ipWildcard=90.2.163.0/24}	sat	4	13283	2772.0	2772.0	2772.0	2.771	2.771	2.771	1107.0	Ethernet0	25783.0	50661.0
edge-112	edge-62	IpWildcardIpSpace{ipWildcard=90.2.46.0/24}	sat	4	13283	2761.0	2761.0	2761.0	2.761	2.761	2.761	1109.0	Ethernet0	25783.0	50661.0
edge-12	edge-97	IpWildcardIpSpace{ipWildcard=90.3.105.0/24}	sat	4	13283	2770.0	2770.0	2770.0	2.769	2.769	2.769	1095.0	Ethernet0	25783.0	50661.0
edge-30	edge-111	IpWildcardIpSpace{ipWildcard=90.3.231.0/24}	sat	4	13283	2742.0	2742.0	2742.0	2.741	2.741	2.741	1113.0	Ethernet0	25783.0	50661.0
edge-7	edge-8	IpWildcardIpSpace{ipWildcard=90.0.72.0/24}	sat	4	13283	2776.0	2776.0	2776.0	2.775	2.775	2.775	1184.0	Ethernet0	25783.0	50661.0
edge-118	edge-95	IpWildcardIpSpace{ipWildcard=90.3.87.0/24}	sat	4	13283	2776.0	2776.0	2776.0	2.775	2.775	2.775	1152.0	Ethernet0	25783.0	50661.0
edge-2	edge-67	IpWildcardIpSpace{ipWildcard=90.2.91.0/24}	sat	4	13283	2781.0	2781.0	2781.0	2.78	2.78	2.78	1186.0	Ethernet0	25783.0	50661.0
edge-17	edge-139	IpWildcardIpSpace{ipWildcard=90.4.227.0/24}	sat	4	13283	2775.0	2775.0	2775.0	2.774	2.774	2.774	1097.0	Ethernet0	25783.0	50661.0
edge-153	edge-135	IpWildcardIpSpace{ipWildcard=90.4.191.0/24}	sat	4	13283	2754.0	2754.0	2754.0	2.753	2.753	2.753	1108.0	Ethernet0	25783.0	50661.0
