srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
edge-6	edge-4	IpWildcardIpSpace{ipWildcard=90.0.8.0/24}	sat	0	72	57.0	57.0	57.0	0.056	0.056	0.056	64.0	Ethernet0	837.0	1777.0
edge-0	edge-3	IpWildcardIpSpace{ipWildcard=90.0.6.0/24}	sat	0	72	46.0	46.0	46.0	0.045	0.045	0.045	52.0	Ethernet0	837.0	1777.0
edge-5	edge-0	IpWildcardIpSpace{ipWildcard=90.0.0.0/24}	sat	0	72	46.0	46.0	46.0	0.046	0.046	0.046	48.0	Ethernet0	837.0	1777.0
edge-3	edge-7	IpWildcardIpSpace{ipWildcard=90.0.14.0/24}	sat	0	72	45.0	45.0	45.0	0.044	0.044	0.044	50.0	Ethernet0	837.0	1777.0
edge-1	edge-0	IpWildcardIpSpace{ipWildcard=90.0.0.0/24}	sat	0	72	44.0	44.0	44.0	0.043	0.043	0.043	46.0	Ethernet0	837.0	1777.0
edge-6	edge-5	IpWildcardIpSpace{ipWildcard=90.0.10.0/24}	sat	0	72	48.0	48.0	48.0	0.047	0.047	0.047	49.0	Ethernet0	837.0	1777.0
edge-7	edge-0	IpWildcardIpSpace{ipWildcard=90.0.0.0/24}	sat	0	72	45.0	45.0	45.0	0.044	0.044	0.044	61.0	Ethernet0	837.0	1777.0
edge-5	edge-6	IpWildcardIpSpace{ipWildcard=90.0.12.0/24}	sat	0	72	47.0	47.0	47.0	0.046	0.046	0.046	47.0	Ethernet0	837.0	1777.0
edge-4	edge-3	IpWildcardIpSpace{ipWildcard=90.0.6.0/24}	sat	0	72	46.0	46.0	46.0	0.045	0.045	0.045	47.0	Ethernet0	837.0	1777.0
edge-0	edge-1	IpWildcardIpSpace{ipWildcard=90.0.2.0/24}	sat	0	72	44.0	44.0	44.0	0.043	0.043	0.043	44.0	Ethernet0	837.0	1777.0
edge-5	edge-1	IpWildcardIpSpace{ipWildcard=90.0.2.0/24}	sat	0	72	44.0	44.0	44.0	0.043	0.043	0.043	45.0	Ethernet0	837.0	1777.0
edge-1	edge-6	IpWildcardIpSpace{ipWildcard=90.0.12.0/24}	sat	0	72	44.0	44.0	44.0	0.043	0.043	0.043	42.0	Ethernet0	837.0	1777.0
edge-2	edge-5	IpWildcardIpSpace{ipWildcard=90.0.10.0/24}	sat	0	72	43.0	43.0	43.0	0.043	0.043	0.043	44.0	Ethernet0	837.0	1777.0
edge-7	edge-6	IpWildcardIpSpace{ipWildcard=90.0.12.0/24}	sat	0	72	49.0	49.0	49.0	0.048	0.048	0.048	46.0	Ethernet0	837.0	1777.0
edge-6	edge-7	IpWildcardIpSpace{ipWildcard=90.0.14.0/24}	sat	0	72	44.0	44.0	44.0	0.043	0.043	0.043	42.0	Ethernet0	837.0	1777.0
