srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
edge-6	edge-4	IpWildcardIpSpace{ipWildcard=90.0.8.0/24}	unsat	206	3178	44.0	44.0	44.0	0.043	0.043	0.043	154.0	Ethernet0	513.0	1080.0
edge-0	edge-3	IpWildcardIpSpace{ipWildcard=90.0.6.0/24}	unsat	212	3428	44.0	44.0	44.0	0.043	0.043	0.043	37.0	Ethernet0	513.0	1080.0
edge-5	edge-0	IpWildcardIpSpace{ipWildcard=90.0.0.0/24}	unsat	319	3231	36.0	36.0	36.0	0.035	0.035	0.035	31.0	Ethernet0	513.0	1080.0
edge-3	edge-7	IpWildcardIpSpace{ipWildcard=90.0.14.0/24}	unsat	223	3383	34.0	34.0	34.0	0.033	0.033	0.033	29.0	Ethernet0	513.0	1080.0
edge-1	edge-0	IpWildcardIpSpace{ipWildcard=90.0.0.0/24}	unsat	255	2976	35.0	35.0	35.0	0.033	0.033	0.033	28.0	Ethernet0	513.0	1080.0
edge-6	edge-5	IpWildcardIpSpace{ipWildcard=90.0.10.0/24}	unsat	230	3166	34.0	34.0	34.0	0.033	0.033	0.033	30.0	Ethernet0	513.0	1080.0
edge-7	edge-0	IpWildcardIpSpace{ipWildcard=90.0.0.0/24}	unsat	320	3222	38.0	38.0	38.0	0.037	0.037	0.037	29.0	Ethernet0	513.0	1080.0
edge-5	edge-6	IpWildcardIpSpace{ipWildcard=90.0.12.0/24}	unsat	209	3199	32.0	32.0	32.0	0.032	0.032	0.032	27.0	Ethernet0	513.0	1080.0
edge-4	edge-3	IpWildcardIpSpace{ipWildcard=90.0.6.0/24}	unsat	216	3472	34.0	34.0	34.0	0.033	0.033	0.033	26.0	Ethernet0	513.0	1080.0
edge-0	edge-1	IpWildcardIpSpace{ipWildcard=90.0.2.0/24}	unsat	213	2443	31.0	31.0	31.0	0.03	0.03	0.03	27.0	Ethernet0	513.0	1080.0
edge-5	edge-1	IpWildcardIpSpace{ipWildcard=90.0.2.0/24}	unsat	231	2660	33.0	33.0	33.0	0.033	0.033	0.033	27.0	Ethernet0	513.0	1080.0
edge-1	edge-6	IpWildcardIpSpace{ipWildcard=90.0.12.0/24}	unsat	202	3183	32.0	32.0	32.0	0.032	0.032	0.032	25.0	Ethernet0	513.0	1080.0
edge-2	edge-5	IpWildcardIpSpace{ipWildcard=90.0.10.0/24}	unsat	225	3119	32.0	32.0	32.0	0.031	0.031	0.031	25.0	Ethernet0	513.0	1080.0
edge-7	edge-6	IpWildcardIpSpace{ipWildcard=90.0.12.0/24}	unsat	187	3444	32.0	32.0	32.0	0.032	0.032	0.032	26.0	Ethernet0	513.0	1080.0
edge-6	edge-7	IpWildcardIpSpace{ipWildcard=90.0.14.0/24}	unsat	185	3174	32.0	32.0	32.0	0.031	0.031	0.031	26.0	Ethernet0	513.0	1080.0
edge-1	edge-5	IpWildcardIpSpace{ipWildcard=90.0.10.0/24}	unsat	229	3262	33.0	33.0	33.0	0.033	0.033	0.033	26.0	Ethernet0	513.0	1080.0
edge-3	edge-0	IpWildcardIpSpace{ipWildcard=90.0.0.0/24}	unsat	322	3249	35.0	35.0	35.0	0.034	0.034	0.034	25.0	Ethernet0	513.0	1080.0
edge-4	edge-6	IpWildcardIpSpace{ipWildcard=90.0.12.0/24}	unsat	214	3530	36.0	36.0	36.0	0.035	0.035	0.035	28.0	Ethernet0	513.0	1080.0
edge-5	edge-7	IpWildcardIpSpace{ipWildcard=90.0.14.0/24}	unsat	199	3181	32.0	32.0	32.0	0.031	0.031	0.031	25.0	Ethernet0	513.0	1080.0
edge-6	edge-2	IpWildcardIpSpace{ipWildcard=90.0.4.0/24}	unsat	211	3340	35.0	35.0	35.0	0.034	0.034	0.034	29.0	Ethernet0	513.0	1080.0
edge-0	edge-7	IpWildcardIpSpace{ipWildcard=90.0.14.0/24}	unsat	214	3314	35.0	35.0	35.0	0.033	0.033	0.033	25.0	Ethernet0	513.0	1080.0
edge-7	edge-3	IpWildcardIpSpace{ipWildcard=90.0.6.0/24}	unsat	248	3627	35.0	35.0	35.0	0.034	0.034	0.034	26.0	Ethernet0	513.0	1080.0
edge-1	edge-3	IpWildcardIpSpace{ipWildcard=90.0.6.0/24}	unsat	211	3316	34.0	34.0	34.0	0.033	0.033	0.033	29.0	Ethernet0	513.0	1080.0
edge-3	edge-2	IpWildcardIpSpace{ipWildcard=90.0.4.0/24}	unsat	225	3565	35.0	35.0	35.0	0.034	0.034	0.034	30.0	Ethernet0	513.0	1080.0
edge-4	edge-7	IpWildcardIpSpace{ipWildcard=90.0.14.0/24}	unsat	199	3185	33.0	33.0	33.0	0.032	0.032	0.032	32.0	Ethernet0	513.0	1080.0
edge-7	edge-4	IpWildcardIpSpace{ipWildcard=90.0.8.0/24}	unsat	228	3094	31.0	31.0	31.0	0.031	0.031	0.031	28.0	Ethernet0	513.0	1080.0
edge-6	edge-0	IpWildcardIpSpace{ipWildcard=90.0.0.0/24}	unsat	319	3213	37.0	37.0	37.0	0.036	0.036	0.036	29.0	Ethernet0	513.0	1080.0
