srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
edge-6	edge-4	IpWildcardIpSpace{ipWildcard=90.0.8.0/24}	unsat	175	847	31.0	31.0	31.0	0.03	0.03	0.03	53.0	Ethernet0	513.0	1080.0
edge-0	edge-3	IpWildcardIpSpace{ipWildcard=90.0.6.0/24}	unsat	184	748	37.0	37.0	37.0	0.036	0.036	0.036	38.0	Ethernet0	513.0	1080.0
edge-5	edge-0	IpWildcardIpSpace{ipWildcard=90.0.0.0/24}	unsat	192	658	28.0	28.0	28.0	0.027	0.027	0.027	33.0	Ethernet0	513.0	1080.0
edge-3	edge-7	IpWildcardIpSpace{ipWildcard=90.0.14.0/24}	unsat	174	743	29.0	29.0	29.0	0.028	0.028	0.028	29.0	Ethernet0	513.0	1080.0
edge-1	edge-0	IpWildcardIpSpace{ipWildcard=90.0.0.0/24}	unsat	164	788	30.0	30.0	30.0	0.029	0.029	0.029	30.0	Ethernet0	513.0	1080.0
edge-6	edge-5	IpWildcardIpSpace{ipWildcard=90.0.10.0/24}	unsat	183	717	29.0	29.0	29.0	0.028	0.028	0.028	29.0	Ethernet0	513.0	1080.0
edge-7	edge-0	IpWildcardIpSpace{ipWildcard=90.0.0.0/24}	unsat	125	400	30.0	30.0	30.0	0.029	0.029	0.029	37.0	Ethernet0	513.0	1080.0
edge-5	edge-6	IpWildcardIpSpace{ipWildcard=90.0.12.0/24}	unsat	215	722	30.0	30.0	30.0	0.03	0.03	0.03	26.0	Ethernet0	513.0	1080.0
edge-4	edge-3	IpWildcardIpSpace{ipWildcard=90.0.6.0/24}	unsat	157	609	27.0	27.0	27.0	0.026	0.026	0.026	27.0	Ethernet0	513.0	1080.0
edge-0	edge-1	IpWildcardIpSpace{ipWildcard=90.0.2.0/24}	unsat	147	715	29.0	29.0	29.0	0.028	0.028	0.028	27.0	Ethernet0	513.0	1080.0
edge-5	edge-1	IpWildcardIpSpace{ipWildcard=90.0.2.0/24}	unsat	187	799	29.0	29.0	29.0	0.028	0.028	0.028	27.0	Ethernet0	513.0	1080.0
edge-1	edge-6	IpWildcardIpSpace{ipWildcard=90.0.12.0/24}	unsat	159	667	27.0	27.0	27.0	0.026	0.026	0.026	25.0	Ethernet0	513.0	1080.0
edge-2	edge-5	IpWildcardIpSpace{ipWildcard=90.0.10.0/24}	unsat	159	780	28.0	28.0	28.0	0.027	0.027	0.027	26.0	Ethernet0	513.0	1080.0
edge-7	edge-6	IpWildcardIpSpace{ipWildcard=90.0.12.0/24}	unsat	177	789	28.0	28.0	28.0	0.028	0.028	0.028	26.0	Ethernet0	513.0	1080.0
