srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
edge-17	edge-0	IpWildcardIpSpace{ipWildcard=90.0.0.0/24}	sat	26578	68122	12347.0	12347.0	12347.0	12.346	12.346	12.346	135.0	Ethernet0	2536.0	5392.0
edge-1	edge-13	IpWildcardIpSpace{ipWildcard=90.0.39.0/24}	sat	21465	61277	8994.0	8994.0	8994.0	8.994	8.994	8.994	154.0	Ethernet0	2536.0	5392.0
edge-4	edge-12	IpWildcardIpSpace{ipWildcard=90.0.36.0/24}	sat	38193	92019	18700.0	18700.0	18700.0	18.699	18.699	18.699	129.0	Ethernet0	2536.0	5392.0
edge-6	edge-10	IpWildcardIpSpace{ipWildcard=90.0.30.0/24}	sat	60898	133587	30073.0	30073.0	30073.0	30.072	30.072	30.072	137.0	Ethernet0	2536.0	5392.0
edge-14	edge-2	IpWildcardIpSpace{ipWildcard=90.0.6.0/24}	sat	24522	67924	11323.0	11323.0	11323.0	11.323	11.323	11.323	124.0	Ethernet0	2536.0	5392.0
edge-9	edge-7	IpWildcardIpSpace{ipWildcard=90.0.21.0/24}	sat	42169	103506	18987.0	18987.0	18987.0	18.987	18.987	18.987	120.0	Ethernet0	2536.0	5392.0
edge-7	edge-6	IpWildcardIpSpace{ipWildcard=90.0.18.0/24}	sat	32513	82237	15523.0	15523.0	15523.0	15.523	15.523	15.523	127.0	Ethernet0	2536.0	5392.0
edge-16	edge-14	IpWildcardIpSpace{ipWildcard=90.0.42.0/24}	sat	63391	138255	32394.0	32394.0	32394.0	32.394	32.394	32.394	168.0	Ethernet0	2536.0	5392.0
edge-5	edge-7	IpWildcardIpSpace{ipWildcard=90.0.21.0/24}	sat	82576	177814	39261.0	39261.0	39261.0	39.26	39.26	39.26	126.0	Ethernet0	2536.0	5392.0
edge-1	edge-17	IpWildcardIpSpace{ipWildcard=90.0.51.0/24}	sat	78164	173822	36333.0	36333.0	36333.0	36.332	36.332	36.332	139.0	Ethernet0	2536.0	5392.0
edge-13	edge-15	IpWildcardIpSpace{ipWildcard=90.0.45.0/24}	sat	38059	103166	15840.0	15840.0	15840.0	15.839	15.839	15.839	123.0	Ethernet0	2536.0	5392.0
edge-7	edge-5	IpWildcardIpSpace{ipWildcard=90.0.15.0/24}	sat	28385	75769	13300.0	13300.0	13300.0	13.3	13.3	13.3	152.0	Ethernet0	2536.0	5392.0
edge-6	edge-12	IpWildcardIpSpace{ipWildcard=90.0.36.0/24}	sat	27788	82075	12431.0	12431.0	12431.0	12.429	12.429	12.429	144.0	Ethernet0	2536.0	5392.0
edge-14	edge-17	IpWildcardIpSpace{ipWildcard=90.0.51.0/24}	sat	29255	77631	13151.0	13151.0	13151.0	13.151	13.151	13.151	645.0	Ethernet0	2536.0	5392.0
edge-15	edge-17	IpWildcardIpSpace{ipWildcard=90.0.51.0/24}	sat	24153	70905	10681.0	10681.0	10681.0	10.68	10.68	10.68	141.0	Ethernet0	2536.0	5392.0
edge-11	edge-13	IpWildcardIpSpace{ipWildcard=90.0.39.0/24}	sat	65513	150105	30765.0	30765.0	30765.0	30.765	30.765	30.765	139.0	Ethernet0	2536.0	5392.0
edge-16	edge-3	IpWildcardIpSpace{ipWildcard=90.0.9.0/24}	sat	57747	143165	28181.0	28181.0	28181.0	28.181	28.181	28.181	138.0	Ethernet0	2536.0	5392.0
edge-0	edge-7	IpWildcardIpSpace{ipWildcard=90.0.21.0/24}	sat	54697	127312	25653.0	25653.0	25653.0	25.652	25.652	25.652	117.0	Ethernet0	2536.0	5392.0
edge-13	edge-7	IpWildcardIpSpace{ipWildcard=90.0.21.0/24}	sat	93787	196047	44338.0	44338.0	44338.0	44.337	44.337	44.337	143.0	Ethernet0	2536.0	5392.0
edge-11	edge-4	IpWildcardIpSpace{ipWildcard=90.0.12.0/24}	sat	74146	162410	35241.0	35241.0	35241.0	35.241	35.241	35.241	135.0	Ethernet0	2536.0	5392.0
edge-15	edge-10	IpWildcardIpSpace{ipWildcard=90.0.30.0/24}	sat	35301	86544	16402.0	16402.0	16402.0	16.402	16.402	16.402	155.0	Ethernet0	2536.0	5392.0
edge-3	edge-2	IpWildcardIpSpace{ipWildcard=90.0.6.0/24}	sat	75020	162920	38243.0	38243.0	38243.0	38.242	38.242	38.242	132.0	Ethernet0	2536.0	5392.0
edge-17	edge-6	IpWildcardIpSpace{ipWildcard=90.0.18.0/24}	sat	16888	54293	7147.0	7147.0	7147.0	7.145	7.145	7.145	142.0	Ethernet0	2536.0	5392.0
edge-0	edge-15	IpWildcardIpSpace{ipWildcard=90.0.45.0/24}	sat	22545	66365	9588.0	9588.0	9588.0	9.588	9.588	9.588	140.0	Ethernet0	2536.0	5392.0
edge-2	edge-14	IpWildcardIpSpace{ipWildcard=90.0.42.0/24}	sat	41994	99077	20668.0	20668.0	20668.0	20.668	20.668	20.668	135.0	Ethernet0	2536.0	5392.0
edge-16	edge-5	IpWildcardIpSpace{ipWildcard=90.0.15.0/24}	sat	121802	262182	57898.0	57898.0	57898.0	57.896	57.896	57.896	136.0	Ethernet0	2536.0	5392.0
edge-16	edge-2	IpWildcardIpSpace{ipWildcard=90.0.6.0/24}	sat	48271	119495	21260.0	21260.0	21260.0	21.259	21.259	21.259	140.0	Ethernet0	2536.0	5392.0
edge-5	edge-1	IpWildcardIpSpace{ipWildcard=90.0.3.0/24}	sat	12352	41537	4906.0	4906.0	4906.0	4.905	4.905	4.905	143.0	Ethernet0	2536.0	5392.0
edge-2	edge-10	IpWildcardIpSpace{ipWildcard=90.0.30.0/24}	sat	29080	72206	13795.0	13795.0	13795.0	13.795	13.795	13.795	142.0	Ethernet0	2536.0	5392.0
edge-0	edge-16	IpWildcardIpSpace{ipWildcard=90.0.48.0/24}	sat	72520	154956	33231.0	33231.0	33231.0	33.23	33.23	33.23	133.0	Ethernet0	2536.0	5392.0
edge-3	edge-0	IpWildcardIpSpace{ipWildcard=90.0.0.0/24}	sat	42831	105364	20025.0	20025.0	20025.0	20.024	20.024	20.024	133.0	Ethernet0	2536.0	5392.0
edge-9	edge-11	IpWildcardIpSpace{ipWildcard=90.0.33.0/24}	sat	57632	126246	29046.0	29046.0	29046.0	29.045	29.045	29.045	135.0	Ethernet0	2536.0	5392.0
edge-12	edge-6	IpWildcardIpSpace{ipWildcard=90.0.18.0/24}	sat	72849	163624	34468.0	34468.0	34468.0	34.468	34.468	34.468	128.0	Ethernet0	2536.0	5392.0
edge-12	edge-5	IpWildcardIpSpace{ipWildcard=90.0.15.0/24}	sat	30861	79959	15204.0	15204.0	15204.0	15.203	15.203	15.203	132.0	Ethernet0	2536.0	5392.0
edge-14	edge-12	IpWildcardIpSpace{ipWildcard=90.0.36.0/24}	sat	88831	176328	43902.0	43902.0	43902.0	43.901	43.901	43.901	140.0	Ethernet0	2536.0	5392.0
edge-2	edge-7	IpWildcardIpSpace{ipWildcard=90.0.21.0/24}	sat	14818	49754	5737.0	5737.0	5737.0	5.737	5.737	5.737	132.0	Ethernet0	2536.0	5392.0
edge-1	edge-9	IpWildcardIpSpace{ipWildcard=90.0.27.0/24}	sat	28222	74864	13233.0	13233.0	13233.0	13.232	13.232	13.232	134.0	Ethernet0	2536.0	5392.0
edge-10	edge-14	IpWildcardIpSpace{ipWildcard=90.0.42.0/24}	sat	22884	64812	10351.0	10351.0	10351.0	10.35	10.35	10.35	133.0	Ethernet0	2536.0	5392.0
edge-0	edge-17	IpWildcardIpSpace{ipWildcard=90.0.51.0/24}	sat	32669	82112	15310.0	15310.0	15310.0	15.309	15.309	15.309	146.0	Ethernet0	2536.0	5392.0
