srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
edge-17	edge-0	IpWildcardIpSpace{ipWildcard=90.0.0.0/24}	sat	0	112	147.0	147.0	147.0	0.147	0.147	0.147	177.0	Ethernet0	2536.0	5392.0
edge-1	edge-13	IpWildcardIpSpace{ipWildcard=90.0.39.0/24}	sat	0	112	145.0	145.0	145.0	0.144	0.144	0.144	132.0	Ethernet0	2536.0	5392.0
edge-4	edge-12	IpWildcardIpSpace{ipWildcard=90.0.36.0/24}	sat	0	112	141.0	141.0	141.0	0.14	0.14	0.14	135.0	Ethernet0	2536.0	5392.0
edge-6	edge-10	IpWildcardIpSpace{ipWildcard=90.0.30.0/24}	sat	0	112	140.0	140.0	140.0	0.139	0.139	0.139	140.0	Ethernet0	2536.0	5392.0
edge-14	edge-2	IpWildcardIpSpace{ipWildcard=90.0.6.0/24}	sat	0	112	144.0	144.0	144.0	0.143	0.143	0.143	150.0	Ethernet0	2536.0	5392.0
edge-9	edge-7	IpWildcardIpSpace{ipWildcard=90.0.21.0/24}	sat	0	112	144.0	144.0	144.0	0.143	0.143	0.143	119.0	Ethernet0	2536.0	5392.0
edge-7	edge-6	IpWildcardIpSpace{ipWildcard=90.0.18.0/24}	sat	0	112	138.0	138.0	138.0	0.137	0.137	0.137	124.0	Ethernet0	2536.0	5392.0
edge-16	edge-14	IpWildcardIpSpace{ipWildcard=90.0.42.0/24}	sat	0	112	138.0	138.0	138.0	0.137	0.137	0.137	125.0	Ethernet0	2536.0	5392.0
edge-5	edge-7	IpWildcardIpSpace{ipWildcard=90.0.21.0/24}	sat	0	112	150.0	150.0	150.0	0.15	0.15	0.15	149.0	Ethernet0	2536.0	5392.0
edge-1	edge-17	IpWildcardIpSpace{ipWildcard=90.0.51.0/24}	sat	0	112	141.0	141.0	141.0	0.141	0.141	0.141	121.0	Ethernet0	2536.0	5392.0
edge-13	edge-15	IpWildcardIpSpace{ipWildcard=90.0.45.0/24}	sat	0	112	144.0	144.0	144.0	0.143	0.143	0.143	181.0	Ethernet0	2536.0	5392.0
edge-7	edge-5	IpWildcardIpSpace{ipWildcard=90.0.15.0/24}	sat	0	112	141.0	141.0	141.0	0.14	0.14	0.14	138.0	Ethernet0	2536.0	5392.0
edge-6	edge-12	IpWildcardIpSpace{ipWildcard=90.0.36.0/24}	sat	0	112	150.0	150.0	150.0	0.149	0.149	0.149	150.0	Ethernet0	2536.0	5392.0
edge-14	edge-17	IpWildcardIpSpace{ipWildcard=90.0.51.0/24}	sat	0	112	144.0	144.0	144.0	0.144	0.144	0.144	145.0	Ethernet0	2536.0	5392.0
edge-15	edge-17	IpWildcardIpSpace{ipWildcard=90.0.51.0/24}	sat	0	112	150.0	150.0	150.0	0.149	0.149	0.149	119.0	Ethernet0	2536.0	5392.0
edge-11	edge-13	IpWildcardIpSpace{ipWildcard=90.0.39.0/24}	sat	0	112	143.0	143.0	143.0	0.143	0.143	0.143	140.0	Ethernet0	2536.0	5392.0
edge-16	edge-3	IpWildcardIpSpace{ipWildcard=90.0.9.0/24}	sat	0	112	144.0	144.0	144.0	0.143	0.143	0.143	136.0	Ethernet0	2536.0	5392.0
edge-0	edge-7	IpWildcardIpSpace{ipWildcard=90.0.21.0/24}	sat	0	112	141.0	141.0	141.0	0.14	0.14	0.14	118.0	Ethernet0	2536.0	5392.0
edge-13	edge-7	IpWildcardIpSpace{ipWildcard=90.0.21.0/24}	sat	0	112	143.0	143.0	143.0	0.141	0.141	0.141	122.0	Ethernet0	2536.0	5392.0
edge-11	edge-4	IpWildcardIpSpace{ipWildcard=90.0.12.0/24}	sat	0	112	143.0	143.0	143.0	0.142	0.142	0.142	141.0	Ethernet0	2536.0	5392.0
edge-15	edge-10	IpWildcardIpSpace{ipWildcard=90.0.30.0/24}	sat	0	112	146.0	146.0	146.0	0.145	0.145	0.145	136.0	Ethernet0	2536.0	5392.0
edge-3	edge-2	IpWildcardIpSpace{ipWildcard=90.0.6.0/24}	sat	0	112	146.0	146.0	146.0	0.145	0.145	0.145	122.0	Ethernet0	2536.0	5392.0
edge-17	edge-6	IpWildcardIpSpace{ipWildcard=90.0.18.0/24}	sat	0	112	143.0	143.0	143.0	0.142	0.142	0.142	146.0	Ethernet0	2536.0	5392.0
edge-0	edge-15	IpWildcardIpSpace{ipWildcard=90.0.45.0/24}	sat	0	112	149.0	149.0	149.0	0.149	0.149	0.149	152.0	Ethernet0	2536.0	5392.0
edge-2	edge-14	IpWildcardIpSpace{ipWildcard=90.0.42.0/24}	sat	0	112	142.0	142.0	142.0	0.141	0.141	0.141	132.0	Ethernet0	2536.0	5392.0
edge-16	edge-5	IpWildcardIpSpace{ipWildcard=90.0.15.0/24}	sat	0	112	146.0	146.0	146.0	0.145	0.145	0.145	141.0	Ethernet0	2536.0	5392.0
edge-16	edge-2	IpWildcardIpSpace{ipWildcard=90.0.6.0/24}	sat	0	112	151.0	151.0	151.0	0.15	0.15	0.15	141.0	Ethernet0	2536.0	5392.0
edge-5	edge-1	IpWildcardIpSpace{ipWildcard=90.0.3.0/24}	sat	0	112	141.0	141.0	141.0	0.141	0.141	0.141	140.0	Ethernet0	2536.0	5392.0
edge-2	edge-10	IpWildcardIpSpace{ipWildcard=90.0.30.0/24}	sat	0	112	143.0	143.0	143.0	0.143	0.143	0.143	135.0	Ethernet0	2536.0	5392.0
edge-0	edge-16	IpWildcardIpSpace{ipWildcard=90.0.48.0/24}	sat	0	112	144.0	144.0	144.0	0.143	0.143	0.143	133.0	Ethernet0	2536.0	5392.0
