srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
edge-17	edge-0	IpWildcardIpSpace{ipWildcard=90.0.0.0/24}	sat	1051	9462	602.0	602.0	602.0	0.601	0.601	0.601	159.0	Ethernet0	2536.0	5392.0
edge-1	edge-13	IpWildcardIpSpace{ipWildcard=90.0.39.0/24}	sat	313476	540158	159543.0	159543.0	159543.0	159.543	159.543	159.543	137.0	Ethernet0	2536.0	5392.0
edge-4	edge-12	IpWildcardIpSpace{ipWildcard=90.0.36.0/24}	sat	68993	146311	32401.0	32401.0	32401.0	32.4	32.4	32.4	139.0	Ethernet0	2536.0	5392.0
edge-6	edge-10	IpWildcardIpSpace{ipWildcard=90.0.30.0/24}	sat	16602	48084	7109.0	7109.0	7109.0	7.108	7.108	7.108	134.0	Ethernet0	2536.0	5392.0
edge-14	edge-2	IpWildcardIpSpace{ipWildcard=90.0.6.0/24}	sat	26966	70975	11577.0	11577.0	11577.0	11.576	11.576	11.576	146.0	Ethernet0	2536.0	5392.0
edge-9	edge-7	IpWildcardIpSpace{ipWildcard=90.0.21.0/24}	sat	6627	30707	2972.0	2972.0	2972.0	2.971	2.971	2.971	119.0	Ethernet0	2536.0	5392.0
edge-7	edge-6	IpWildcardIpSpace{ipWildcard=90.0.18.0/24}	sat	39742	94889	19277.0	19277.0	19277.0	19.277	19.277	19.277	126.0	Ethernet0	2536.0	5392.0
edge-16	edge-14	IpWildcardIpSpace{ipWildcard=90.0.42.0/24}	sat	119524	220711	65391.0	65391.0	65391.0	65.39	65.39	65.39	128.0	Ethernet0	2536.0	5392.0
edge-5	edge-7	IpWildcardIpSpace{ipWildcard=90.0.21.0/24}	sat	32070	85258	14536.0	14536.0	14536.0	14.536	14.536	14.536	136.0	Ethernet0	2536.0	5392.0
edge-1	edge-17	IpWildcardIpSpace{ipWildcard=90.0.51.0/24}	sat	32070	94512	13610.0	13610.0	13610.0	13.608	13.608	13.608	120.0	Ethernet0	2536.0	5392.0
edge-13	edge-15	IpWildcardIpSpace{ipWildcard=90.0.45.0/24}	sat	2816	16740	1079.0	1079.0	1079.0	1.079	1.079	1.079	144.0	Ethernet0	2536.0	5392.0
edge-7	edge-5	IpWildcardIpSpace{ipWildcard=90.0.15.0/24}	sat	13560	48812	5967.0	5967.0	5967.0	5.966	5.966	5.966	146.0	Ethernet0	2536.0	5392.0
edge-6	edge-12	IpWildcardIpSpace{ipWildcard=90.0.36.0/24}	sat	3537	19197	1413.0	1413.0	1413.0	1.412	1.412	1.412	149.0	Ethernet0	2536.0	5392.0
edge-14	edge-17	IpWildcardIpSpace{ipWildcard=90.0.51.0/24}	sat	1035	9707	654.0	654.0	654.0	0.653	0.653	0.653	124.0	Ethernet0	2536.0	5392.0
edge-15	edge-17	IpWildcardIpSpace{ipWildcard=90.0.51.0/24}	sat	7003	31715	3065.0	3065.0	3065.0	3.065	3.065	3.065	119.0	Ethernet0	2536.0	5392.0
edge-11	edge-13	IpWildcardIpSpace{ipWildcard=90.0.39.0/24}	sat	46534	103361	22050.0	22050.0	22050.0	22.05	22.05	22.05	134.0	Ethernet0	2536.0	5392.0
edge-16	edge-3	IpWildcardIpSpace{ipWildcard=90.0.9.0/24}	sat	1107	10226	630.0	630.0	630.0	0.63	0.63	0.63	135.0	Ethernet0	2536.0	5392.0
edge-0	edge-7	IpWildcardIpSpace{ipWildcard=90.0.21.0/24}	sat	131973	251254	69952.0	69952.0	69952.0	69.951	69.951	69.951	118.0	Ethernet0	2536.0	5392.0
edge-13	edge-7	IpWildcardIpSpace{ipWildcard=90.0.21.0/24}	sat	1157	8778	561.0	561.0	561.0	0.56	0.56	0.56	118.0	Ethernet0	2536.0	5392.0
edge-11	edge-4	IpWildcardIpSpace{ipWildcard=90.0.12.0/24}	sat	177503	328719	92049.0	92049.0	92049.0	92.048	92.048	92.048	141.0	Ethernet0	2536.0	5392.0
edge-15	edge-10	IpWildcardIpSpace{ipWildcard=90.0.30.0/24}	sat	126	2479	175.0	175.0	175.0	0.174	0.174	0.174	133.0	Ethernet0	2536.0	5392.0
edge-3	edge-2	IpWildcardIpSpace{ipWildcard=90.0.6.0/24}	sat	24132	70306	10344.0	10344.0	10344.0	10.343	10.343	10.343	121.0	Ethernet0	2536.0	5392.0
edge-17	edge-6	IpWildcardIpSpace{ipWildcard=90.0.18.0/24}	sat	1572	13009	799.0	799.0	799.0	0.798	0.798	0.798	141.0	Ethernet0	2536.0	5392.0
