srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
edge-14	edge-24	IpWildcardIpSpace{ipWildcard=90.0.96.0/24}	sat	3118	25648	700.0	700.0	700.0	0.699	0.699	0.699	150.0	Ethernet0	2713.0	5523.0
edge-19	edge-27	IpWildcardIpSpace{ipWildcard=90.0.108.0/24}	sat	3152	28185	733.0	733.0	733.0	0.733	0.733	0.733	115.0	Ethernet0	2713.0	5523.0
edge-7	edge-8	IpWildcardIpSpace{ipWildcard=90.0.32.0/24}	sat	2897	26083	613.0	613.0	613.0	0.612	0.612	0.612	110.0	Ethernet0	2713.0	5523.0
edge-10	edge-22	IpWildcardIpSpace{ipWildcard=90.0.88.0/24}	sat	2312	27735	505.0	505.0	505.0	0.504	0.504	0.504	109.0	Ethernet0	2713.0	5523.0
edge-15	edge-21	IpWildcardIpSpace{ipWildcard=90.0.84.0/24}	sat	2865	27925	671.0	671.0	671.0	0.67	0.67	0.67	116.0	Ethernet0	2713.0	5523.0
edge-24	edge-9	IpWildcardIpSpace{ipWildcard=90.0.36.0/24}	sat	3248	27566	710.0	710.0	710.0	0.71	0.71	0.71	112.0	Ethernet0	2713.0	5523.0
edge-12	edge-4	IpWildcardIpSpace{ipWildcard=90.0.16.0/24}	sat	4669	30757	992.0	992.0	992.0	0.991	0.991	0.991	122.0	Ethernet0	2713.0	5523.0
edge-15	edge-13	IpWildcardIpSpace{ipWildcard=90.0.52.0/24}	sat	2556	25643	562.0	562.0	562.0	0.561	0.561	0.561	116.0	Ethernet0	2713.0	5523.0
edge-19	edge-2	IpWildcardIpSpace{ipWildcard=90.0.8.0/24}	sat	3242	25606	662.0	662.0	662.0	0.662	0.662	0.662	111.0	Ethernet0	2713.0	5523.0
edge-22	edge-30	IpWildcardIpSpace{ipWildcard=90.0.120.0/24}	sat	2840	25857	604.0	604.0	604.0	0.604	0.604	0.604	111.0	Ethernet0	2713.0	5523.0
edge-1	edge-18	IpWildcardIpSpace{ipWildcard=90.0.72.0/24}	sat	2765	23186	587.0	587.0	587.0	0.586	0.586	0.586	113.0	Ethernet0	2713.0	5523.0
