srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
edge-16	edge-28	IpWildcardIpSpace{ipWildcard=90.0.140.0/24}	sat	7586	294109	32868.0	32868.0	32868.0	32.867	32.867	32.867	1078.0	Ethernet0	11547.0	25356.0
edge-35	edge-11	IpWildcardIpSpace{ipWildcard=90.0.55.0/24}	sat	3652	186578	18610.0	18610.0	18610.0	18.61	18.61	18.61	1059.0	Ethernet0	11547.0	25356.0
edge-18	edge-41	IpWildcardIpSpace{ipWildcard=90.0.205.0/24}	sat	1746	84604	9531.0	9531.0	9531.0	9.531	9.531	9.531	1018.0	Ethernet0	11547.0	25356.0
edge-48	edge-12	IpWildcardIpSpace{ipWildcard=90.0.60.0/24}	sat	3608	159168	17546.0	17546.0	17546.0	17.545	17.545	17.545	1426.0	Ethernet0	11547.0	25356.0
edge-49	edge-36	IpWildcardIpSpace{ipWildcard=90.0.180.0/24}	sat	6755	269873	33628.0	33628.0	33628.0	33.627	33.627	33.627	979.0	Ethernet0	11547.0	25356.0
edge-14	edge-16	IpWildcardIpSpace{ipWildcard=90.0.80.0/24}	sat	4567	177075	19273.0	19273.0	19273.0	19.272	19.272	19.272	1013.0	Ethernet0	11547.0	25356.0
edge-11	edge-39	IpWildcardIpSpace{ipWildcard=90.0.195.0/24}	sat	4222	178609	20748.0	20748.0	20748.0	20.748	20.748	20.748	945.0	Ethernet0	11547.0	25356.0
edge-35	edge-32	IpWildcardIpSpace{ipWildcard=90.0.160.0/24}	sat	5138	187231	22305.0	22305.0	22305.0	22.304	22.304	22.304	939.0	Ethernet0	11547.0	25356.0
edge-31	edge-32	IpWildcardIpSpace{ipWildcard=90.0.160.0/24}	sat	2738	125949	12767.0	12767.0	12767.0	12.765	12.765	12.765	949.0	Ethernet0	11547.0	25356.0
edge-22	edge-4	IpWildcardIpSpace{ipWildcard=90.0.20.0/24}	sat	2829	130549	13871.0	13871.0	13871.0	13.871	13.871	13.871	975.0	Ethernet0	11547.0	25356.0
edge-48	edge-2	IpWildcardIpSpace{ipWildcard=90.0.10.0/24}	sat	3568	151522	17333.0	17333.0	17333.0	17.332	17.332	17.332	953.0	Ethernet0	11547.0	25356.0
edge-11	edge-30	IpWildcardIpSpace{ipWildcard=90.0.150.0/24}	sat	6139	252545	28161.0	28161.0	28161.0	28.16	28.16	28.16	939.0	Ethernet0	11547.0	25356.0
edge-36	edge-46	IpWildcardIpSpace{ipWildcard=90.0.230.0/24}	sat	3878	183872	19362.0	19362.0	19362.0	19.361	19.361	19.361	943.0	Ethernet0	11547.0	25356.0
edge-3	edge-10	IpWildcardIpSpace{ipWildcard=90.0.50.0/24}	sat	2681	123013	12806.0	12806.0	12806.0	12.805	12.805	12.805	945.0	Ethernet0	11547.0	25356.0
edge-13	edge-49	IpWildcardIpSpace{ipWildcard=90.0.245.0/24}	sat	3182	158073	15300.0	15300.0	15300.0	15.299	15.299	15.299	950.0	Ethernet0	11547.0	25356.0
edge-28	edge-10	IpWildcardIpSpace{ipWildcard=90.0.50.0/24}	sat	4642	220013	22014.0	22014.0	22014.0	22.013	22.013	22.013	930.0	Ethernet0	11547.0	25356.0
edge-1	edge-15	IpWildcardIpSpace{ipWildcard=90.0.75.0/24}	sat	4788	208274	22106.0	22106.0	22106.0	22.106	22.106	22.106	935.0	Ethernet0	11547.0	25356.0
edge-43	edge-7	IpWildcardIpSpace{ipWildcard=90.0.35.0/24}	sat	5397	199035	22321.0	22321.0	22321.0	22.321	22.321	22.321	954.0	Ethernet0	11547.0	25356.0
edge-35	edge-47	IpWildcardIpSpace{ipWildcard=90.0.235.0/24}	sat	5527	189236	23655.0	23655.0	23655.0	23.654	23.654	23.654	983.0	Ethernet0	11547.0	25356.0
edge-28	edge-24	IpWildcardIpSpace{ipWildcard=90.0.120.0/24}	sat	2895	136831	14988.0	14988.0	14988.0	14.988	14.988	14.988	1034.0	Ethernet0	11547.0	25356.0
edge-15	edge-12	IpWildcardIpSpace{ipWildcard=90.0.60.0/24}	sat	3822	162695	16464.0	16464.0	16464.0	16.463	16.463	16.463	1026.0	Ethernet0	11547.0	25356.0
edge-30	edge-29	IpWildcardIpSpace{ipWildcard=90.0.145.0/24}	sat	6122	266838	28787.0	28787.0	28787.0	28.786	28.786	28.786	1027.0	Ethernet0	11547.0	25356.0
edge-9	edge-25	IpWildcardIpSpace{ipWildcard=90.0.125.0/24}	sat	3270	136330	15125.0	15125.0	15125.0	15.124	15.124	15.124	1036.0	Ethernet0	11547.0	25356.0
