srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
edge-69	edge-87	IpWildcardIpSpace{ipWildcard=90.2.184.0/24}	sat	69	554	1289.0	1289.0	1289.0	1.288	1.288	1.288	2602.0	Ethernet0	31830.0	70174.0
edge-77	edge-62	IpWildcardIpSpace{ipWildcard=90.1.240.0/24}	sat	81	712	1463.0	1463.0	1463.0	1.462	1.462	1.462	2756.0	Ethernet0	31830.0	70174.0
edge-102	edge-78	IpWildcardIpSpace{ipWildcard=90.2.112.0/24}	sat	69	596	1398.0	1398.0	1398.0	1.397	1.397	1.397	3186.0	Ethernet0	31830.0	70174.0
edge-119	edge-66	IpWildcardIpSpace{ipWildcard=90.2.16.0/24}	sat	58	376	1280.0	1280.0	1280.0	1.279	1.279	1.279	2528.0	Ethernet0	31830.0	70174.0
edge-1	edge-9	IpWildcardIpSpace{ipWildcard=90.0.72.0/24}	sat	81	410	1426.0	1426.0	1426.0	1.425	1.425	1.425	2962.0	Ethernet0	31830.0	70174.0
edge-12	edge-2	IpWildcardIpSpace{ipWildcard=90.0.16.0/24}	sat	66	622	1444.0	1444.0	1444.0	1.443	1.443	1.443	3248.0	Ethernet0	31830.0	70174.0
edge-29	edge-85	IpWildcardIpSpace{ipWildcard=90.2.168.0/24}	sat	87	583	1325.0	1325.0	1325.0	1.324	1.324	1.324	2435.0	Ethernet0	31830.0	70174.0
edge-98	edge-76	IpWildcardIpSpace{ipWildcard=90.2.96.0/24}	sat	110	821	1282.0	1282.0	1282.0	1.282	1.282	1.282	2409.0	Ethernet0	31830.0	70174.0
edge-40	edge-111	IpWildcardIpSpace{ipWildcard=90.3.120.0/24}	sat	105	554	1257.0	1257.0	1257.0	1.257	1.257	1.257	2420.0	Ethernet0	31830.0	70174.0
edge-19	edge-98	IpWildcardIpSpace{ipWildcard=90.3.16.0/24}	sat	41	300	1270.0	1270.0	1270.0	1.27	1.27	1.27	2430.0	Ethernet0	31830.0	70174.0
edge-2	edge-37	IpWildcardIpSpace{ipWildcard=90.1.40.0/24}	sat	80	473	1285.0	1285.0	1285.0	1.284	1.284	1.284	2462.0	Ethernet0	31830.0	70174.0
edge-116	edge-73	IpWildcardIpSpace{ipWildcard=90.2.72.0/24}	sat	83	540	1260.0	1260.0	1260.0	1.259	1.259	1.259	2410.0	Ethernet0	31830.0	70174.0
edge-44	edge-120	IpWildcardIpSpace{ipWildcard=90.3.192.0/24}	sat	66	383	1246.0	1246.0	1246.0	1.245	1.245	1.245	2406.0	Ethernet0	31830.0	70174.0
edge-93	edge-33	IpWildcardIpSpace{ipWildcard=90.1.8.0/24}	sat	47	263	1246.0	1246.0	1246.0	1.245	1.245	1.245	2393.0	Ethernet0	31830.0	70174.0
edge-64	edge-37	IpWildcardIpSpace{ipWildcard=90.1.40.0/24}	sat	115	615	1289.0	1289.0	1289.0	1.288	1.288	1.288	2421.0	Ethernet0	31830.0	70174.0
edge-73	edge-22	IpWildcardIpSpace{ipWildcard=90.0.176.0/24}	sat	100	448	1578.0	1578.0	1578.0	1.316	1.316	1.316	2435.0	Ethernet0	31830.0	70174.0
edge-97	edge-87	IpWildcardIpSpace{ipWildcard=90.2.184.0/24}	sat	50	349	1270.0	1270.0	1270.0	1.27	1.27	1.27	2412.0	Ethernet0	31830.0	70174.0
edge-38	edge-30	IpWildcardIpSpace{ipWildcard=90.0.240.0/24}	sat	56	312	1248.0	1248.0	1248.0	1.248	1.248	1.248	2415.0	Ethernet0	31830.0	70174.0
edge-107	edge-105	IpWildcardIpSpace{ipWildcard=90.3.72.0/24}	sat	39	282	1293.0	1293.0	1293.0	1.292	1.292	1.292	2442.0	Ethernet0	31830.0	70174.0
edge-71	edge-58	IpWildcardIpSpace{ipWildcard=90.1.208.0/24}	sat	118	661	1275.0	1275.0	1275.0	1.275	1.275	1.275	2430.0	Ethernet0	31830.0	70174.0
