srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
edge-150	edge-99	IpWildcardIpSpace{ipWildcard=90.3.123.0/24}	unsat	0	0	1427.0	1427.0	1427.0	1.426	1.426	1.426	3786.0	Ethernet0	44491.0	97878.0
edge-133	edge-78	IpWildcardIpSpace{ipWildcard=90.2.190.0/24}	unsat	0	0	1390.0	1390.0	1390.0	1.39	1.39	1.39	3864.0	Ethernet0	44491.0	97878.0
edge-8	edge-22	IpWildcardIpSpace{ipWildcard=90.0.198.0/24}	unsat	0	0	1406.0	1406.0	1406.0	1.406	1.406	1.406	3525.0	Ethernet0	44491.0	97878.0
edge-125	edge-116	IpWildcardIpSpace{ipWildcard=90.4.20.0/24}	unsat	0	0	1406.0	1406.0	1406.0	1.405	1.405	1.405	3464.0	Ethernet0	44491.0	97878.0
edge-76	edge-120	IpWildcardIpSpace{ipWildcard=90.4.56.0/24}	unsat	0	0	1419.0	1419.0	1419.0	1.419	1.419	1.419	4507.0	Ethernet0	44491.0	97878.0
edge-34	edge-75	IpWildcardIpSpace{ipWildcard=90.2.163.0/24}	unsat	0	0	1404.0	1404.0	1404.0	1.404	1.404	1.404	3477.0	Ethernet0	44491.0	97878.0
edge-112	edge-62	IpWildcardIpSpace{ipWildcard=90.2.46.0/24}	unsat	0	0	1407.0	1407.0	1407.0	1.407	1.407	1.407	3486.0	Ethernet0	44491.0	97878.0
edge-12	edge-97	IpWildcardIpSpace{ipWildcard=90.3.105.0/24}	unsat	0	0	1394.0	1394.0	1394.0	1.394	1.394	1.394	3523.0	Ethernet0	44491.0	97878.0
edge-30	edge-111	IpWildcardIpSpace{ipWildcard=90.3.231.0/24}	unsat	0	0	1407.0	1407.0	1407.0	1.406	1.406	1.406	3524.0	Ethernet0	44491.0	97878.0
edge-7	edge-8	IpWildcardIpSpace{ipWildcard=90.0.72.0/24}	unsat	36	982	1594.0	1594.0	1594.0	1.593	1.593	1.593	3504.0	Ethernet0	44491.0	97878.0
edge-118	edge-95	IpWildcardIpSpace{ipWildcard=90.3.87.0/24}	unsat	0	0	1418.0	1418.0	1418.0	1.417	1.417	1.417	3834.0	Ethernet0	44491.0	97878.0
