srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
edge-150	edge-99	IpWildcardIpSpace{ipWildcard=90.3.123.0/24}	unsat	39896	2415758	371146.0	371146.0	371146.0	371.145	371.145	371.145	5040.0	Ethernet0	61987.0	135220.0
edge-133	edge-78	IpWildcardIpSpace{ipWildcard=90.2.190.0/24}	unsat	118965	7781827	1387985.0	1387985.0	1387985.0	1387.985	1387.985	1387.985	4431.0	Ethernet0	61987.0	135220.0
edge-8	edge-22	IpWildcardIpSpace{ipWildcard=90.0.198.0/24}	unsat	31002	962209	164084.0	164084.0	164084.0	164.083	164.083	164.083	4882.0	Ethernet0	61987.0	135220.0
edge-125	edge-116	IpWildcardIpSpace{ipWildcard=90.4.20.0/24}	unsat	57341	991475	182781.0	182781.0	182781.0	182.78	182.78	182.78	8562.0	Ethernet0	61987.0	135220.0
edge-76	edge-120	IpWildcardIpSpace{ipWildcard=90.4.56.0/24}	unsat	105503	5153417	910244.0	910244.0	910244.0	910.244	910.244	910.244	4364.0	Ethernet0	61987.0	135220.0
edge-34	edge-75	IpWildcardIpSpace{ipWildcard=90.2.163.0/24}	unsat	28090	108505	60635.0	60635.0	60635.0	60.634	60.634	60.634	4845.0	Ethernet0	61987.0	135220.0
edge-112	edge-62	IpWildcardIpSpace{ipWildcard=90.2.46.0/24}	unsat	128536	8660250	1553569.0	1553569.0	1553569.0	1553.568	1553.568	1553.568	9114.0	Ethernet0	61987.0	135220.0
edge-12	edge-97	IpWildcardIpSpace{ipWildcard=90.3.105.0/24}	unsat	24441	761174	145386.0	145386.0	145386.0	145.385	145.385	145.385	4337.0	Ethernet0	61987.0	135220.0
edge-30	edge-111	IpWildcardIpSpace{ipWildcard=90.3.231.0/24}	unsat	45897	376149	109912.0	109912.0	109912.0	109.911	109.911	109.911	4374.0	Ethernet0	61987.0	135220.0
edge-7	edge-8	IpWildcardIpSpace{ipWildcard=90.0.72.0/24}	unsat	1301	169473	50024.0	50024.0	50024.0	50.023	50.023	50.023	4403.0	Ethernet0	61987.0	135220.0
edge-118	edge-95	IpWildcardIpSpace{ipWildcard=90.3.87.0/24}	unsat	103180	7031786	1240740.0	1240740.0	1240740.0	1240.74	1240.74	1240.74	4383.0	Ethernet0	61987.0	135220.0
edge-2	edge-67	IpWildcardIpSpace{ipWildcard=90.2.91.0/24}	unsat	117536	10072482	1814821.0	1814821.0	1814821.0	1814.82	1814.82	1814.82	4545.0	Ethernet0	61987.0	135220.0
edge-17	edge-139	IpWildcardIpSpace{ipWildcard=90.4.227.0/24}	unsat	29647	568347	131047.0	131047.0	131047.0	131.046	131.046	131.046	4846.0	Ethernet0	61987.0	135220.0
edge-153	edge-135	IpWildcardIpSpace{ipWildcard=90.4.191.0/24}	unsat	53027	665379	145882.0	145882.0	145882.0	145.881	145.881	145.881	7672.0	Ethernet0	61987.0	135220.0
edge-9	edge-106	IpWildcardIpSpace{ipWildcard=90.3.186.0/24}	unsat	52112	552183	134475.0	134475.0	134475.0	134.474	134.474	134.474	4380.0	Ethernet0	61987.0	135220.0
edge-51	edge-73	IpWildcardIpSpace{ipWildcard=90.2.145.0/24}	unsat	48958	214905	95333.0	95333.0	95333.0	95.333	95.333	95.333	4442.0	Ethernet0	61987.0	135220.0
edge-35	edge-64	IpWildcardIpSpace{ipWildcard=90.2.64.0/24}	unsat	35680	677454	168458.0	168458.0	168458.0	168.457	168.457	168.457	4371.0	Ethernet0	61987.0	135220.0
edge-161	edge-79	IpWildcardIpSpace{ipWildcard=90.2.199.0/24}	unsat	53010	716808	184835.0	184835.0	184835.0	184.834	184.834	184.834	4824.0	Ethernet0	61987.0	135220.0
edge-32	edge-153	IpWildcardIpSpace{ipWildcard=90.5.97.0/24}	unsat	46589	1093204	210495.0	210495.0	210495.0	210.494	210.494	210.494	4389.0	Ethernet0	61987.0	135220.0
edge-86	edge-10	IpWildcardIpSpace{ipWildcard=90.0.90.0/24}	unsat	41061	1975556	331766.0	331766.0	331766.0	331.765	331.765	331.765	6058.0	Ethernet0	61987.0	135220.0
edge-125	edge-82	IpWildcardIpSpace{ipWildcard=90.2.226.0/24}	unsat	45158	2466383	438184.0	438184.0	438184.0	438.183	438.183	438.183	4398.0	Ethernet0	61987.0	135220.0
edge-23	edge-29	IpWildcardIpSpace{ipWildcard=90.1.5.0/24}	unsat	55148	1466836	259001.0	259001.0	259001.0	259.0	259.0	259.0	4392.0	Ethernet0	61987.0	135220.0
edge-9	edge-100	IpWildcardIpSpace{ipWildcard=90.3.132.0/24}	unsat	29636	284777	82454.0	82454.0	82454.0	82.453	82.453	82.453	5393.0	Ethernet0	61987.0	135220.0
edge-158	edge-46	IpWildcardIpSpace{ipWildcard=90.1.158.0/24}	unsat	70135	1517694	344646.0	344646.0	344646.0	344.645	344.645	344.645	4841.0	Ethernet0	61987.0	135220.0
edge-145	edge-3	IpWildcardIpSpace{ipWildcard=90.0.27.0/24}	unsat	178172	8947575	1616414.0	1616414.0	1616414.0	1616.413	1616.413	1616.413	4476.0	Ethernet0	61987.0	135220.0
edge-105	edge-22	IpWildcardIpSpace{ipWildcard=90.0.198.0/24}	unsat	38178	1336650	242788.0	242788.0	242788.0	242.788	242.788	242.788	4654.0	Ethernet0	61987.0	135220.0
edge-95	edge-42	IpWildcardIpSpace{ipWildcard=90.1.122.0/24}	unsat	45171	1519837	345811.0	345811.0	345811.0	345.81	345.81	345.81	4708.0	Ethernet0	61987.0	135220.0
edge-27	edge-13	IpWildcardIpSpace{ipWildcard=90.0.117.0/24}	unsat	59882	624747	187992.0	187992.0	187992.0	187.992	187.992	187.992	5173.0	Ethernet0	61987.0	135220.0
edge-151	edge-56	IpWildcardIpSpace{ipWildcard=90.1.248.0/24}	unsat	33020	371703	163374.0	163374.0	163374.0	163.373	163.373	163.373	5539.0	Ethernet0	61987.0	135220.0
edge-88	edge-73	IpWildcardIpSpace{ipWildcard=90.2.145.0/24}	unsat	44347	1412065	294684.0	294684.0	294684.0	294.683	294.683	294.683	5062.0	Ethernet0	61987.0	135220.0
edge-108	edge-139	IpWildcardIpSpace{ipWildcard=90.4.227.0/24}	unsat	94918	5253853	1077222.0	1077222.0	1077222.0	1077.221	1077.221	1077.221	5124.0	Ethernet0	61987.0	135220.0
edge-28	edge-24	IpWildcardIpSpace{ipWildcard=90.0.216.0/24}	unsat	76122	3269045	660102.0	660102.0	660102.0	660.101	660.101	660.101	5040.0	Ethernet0	61987.0	135220.0
edge-122	edge-78	IpWildcardIpSpace{ipWildcard=90.2.190.0/24}	unsat	236600	13802337	2766315.0	2766315.0	2766315.0	2766.315	2766.315	2766.315	4723.0	Ethernet0	61987.0	135220.0
edge-29	edge-107	IpWildcardIpSpace{ipWildcard=90.3.195.0/24}	unsat	31397	558946	128431.0	128431.0	128431.0	128.431	128.431	128.431	5033.0	Ethernet0	61987.0	135220.0
edge-52	edge-26	IpWildcardIpSpace{ipWildcard=90.0.234.0/24}	unsat	22607	115373	67684.0	67684.0	67684.0	67.684	67.684	67.684	5107.0	Ethernet0	61987.0	135220.0
edge-111	edge-106	IpWildcardIpSpace{ipWildcard=90.3.186.0/24}	unsat	43134	479623	158143.0	158143.0	158143.0	158.142	158.142	158.142	4638.0	Ethernet0	61987.0	135220.0
edge-133	edge-68	IpWildcardIpSpace{ipWildcard=90.2.100.0/24}	unsat	67198	1686376	308730.0	308730.0	308730.0	308.729	308.729	308.729	4833.0	Ethernet0	61987.0	135220.0
edge-63	edge-76	IpWildcardIpSpace{ipWildcard=90.2.172.0/24}	unsat	104157	779309	236812.0	236812.0	236812.0	236.811	236.811	236.811	5117.0	Ethernet0	61987.0	135220.0
