srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
edge-8	edge-72	IpWildcardIpSpace{ipWildcard=90.2.208.0/24}	unsat	0	0	2133.0	2133.0	2133.0	2.131	2.131	2.131	5414.0	Ethernet0	60122.0	132030.0
edge-89	edge-121	IpWildcardIpSpace{ipWildcard=90.4.186.0/24}	unsat	0	0	2544.0	2544.0	2544.0	2.543	2.543	2.543	5003.0	Ethernet0	60122.0	132030.0
edge-163	edge-179	IpWildcardIpSpace{ipWildcard=90.6.254.0/24}	unsat	0	0	2471.0	2471.0	2471.0	2.47	2.47	2.47	5355.0	Ethernet0	60122.0	132030.0
edge-199	edge-176	IpWildcardIpSpace{ipWildcard=90.6.224.0/24}	unsat	0	0	2115.0	2115.0	2115.0	2.114	2.114	2.114	4877.0	Ethernet0	60122.0	132030.0
edge-143	edge-160	IpWildcardIpSpace{ipWildcard=90.6.64.0/24}	unsat	0	0	2131.0	2131.0	2131.0	2.129	2.129	2.129	4875.0	Ethernet0	60122.0	132030.0
edge-56	edge-120	IpWildcardIpSpace{ipWildcard=90.4.176.0/24}	unsat	0	0	2121.0	2121.0	2121.0	2.12	2.12	2.12	4909.0	Ethernet0	60122.0	132030.0
edge-15	edge-11	IpWildcardIpSpace{ipWildcard=90.0.110.0/24}	unsat	37	177	2411.0	2411.0	2411.0	2.41	2.41	2.41	4858.0	Ethernet0	60122.0	132030.0
edge-89	edge-133	IpWildcardIpSpace{ipWildcard=90.5.50.0/24}	unsat	0	0	2088.0	2088.0	2088.0	2.086	2.086	2.086	4740.0	Ethernet0	60122.0	132030.0
edge-102	edge-183	IpWildcardIpSpace{ipWildcard=90.7.38.0/24}	unsat	0	0	2096.0	2096.0	2096.0	2.095	2.095	2.095	5389.0	Ethernet0	60122.0	132030.0
edge-121	edge-43	IpWildcardIpSpace{ipWildcard=90.1.174.0/24}	unsat	0	0	2090.0	2090.0	2090.0	2.089	2.089	2.089	4786.0	Ethernet0	60122.0	132030.0
