srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
edge-6	edge-4	IpWildcardIpSpace{ipWildcard=90.0.8.0/24}	sat	2	34	31.0	31.0	31.0	0.029	0.029	0.029	288.0	Ethernet0	762.0	1726.0
edge-0	edge-3	IpWildcardIpSpace{ipWildcard=90.0.6.0/24}	sat	1	26	31.0	31.0	31.0	0.03	0.03	0.03	243.0	Ethernet0	762.0	1726.0
edge-5	edge-0	IpWildcardIpSpace{ipWildcard=90.0.0.0/24}	sat	2	35	23.0	23.0	23.0	0.023	0.023	0.023	129.0	Ethernet0	762.0	1726.0
edge-3	edge-7	IpWildcardIpSpace{ipWildcard=90.0.14.0/24}	sat	2	22	23.0	23.0	23.0	0.023	0.023	0.023	123.0	Ethernet0	762.0	1726.0
edge-1	edge-0	IpWildcardIpSpace{ipWildcard=90.0.0.0/24}	sat	2	34	23.0	23.0	23.0	0.022	0.022	0.022	122.0	Ethernet0	762.0	1726.0
edge-6	edge-5	IpWildcardIpSpace{ipWildcard=90.0.10.0/24}	sat	2	22	23.0	23.0	23.0	0.022	0.022	0.022	123.0	Ethernet0	762.0	1726.0
edge-7	edge-0	IpWildcardIpSpace{ipWildcard=90.0.0.0/24}	sat	2	35	23.0	23.0	23.0	0.022	0.022	0.022	124.0	Ethernet0	762.0	1726.0
edge-5	edge-6	IpWildcardIpSpace{ipWildcard=90.0.12.0/24}	sat	2	34	23.0	23.0	23.0	0.022	0.022	0.022	126.0	Ethernet0	762.0	1726.0
edge-4	edge-3	IpWildcardIpSpace{ipWildcard=90.0.6.0/24}	sat	1	26	23.0	23.0	23.0	0.022	0.022	0.022	123.0	Ethernet0	762.0	1726.0
edge-0	edge-1	IpWildcardIpSpace{ipWildcard=90.0.2.0/24}	sat	2	34	23.0	23.0	23.0	0.023	0.023	0.023	121.0	Ethernet0	762.0	1726.0
edge-5	edge-1	IpWildcardIpSpace{ipWildcard=90.0.2.0/24}	sat	2	34	23.0	23.0	23.0	0.022	0.022	0.022	122.0	Ethernet0	762.0	1726.0
edge-1	edge-6	IpWildcardIpSpace{ipWildcard=90.0.12.0/24}	sat	2	35	23.0	23.0	23.0	0.023	0.023	0.023	120.0	Ethernet0	762.0	1726.0
edge-2	edge-5	IpWildcardIpSpace{ipWildcard=90.0.10.0/24}	sat	2	22	23.0	23.0	23.0	0.022	0.022	0.022	122.0	Ethernet0	762.0	1726.0
edge-7	edge-6	IpWildcardIpSpace{ipWildcard=90.0.12.0/24}	sat	2	35	24.0	24.0	24.0	0.023	0.023	0.023	121.0	Ethernet0	762.0	1726.0
edge-6	edge-7	IpWildcardIpSpace{ipWildcard=90.0.14.0/24}	sat	2	35	24.0	24.0	24.0	0.023	0.023	0.023	126.0	Ethernet0	762.0	1726.0
edge-1	edge-5	IpWildcardIpSpace{ipWildcard=90.0.10.0/24}	sat	2	22	23.0	23.0	23.0	0.022	0.022	0.022	119.0	Ethernet0	762.0	1726.0
edge-3	edge-0	IpWildcardIpSpace{ipWildcard=90.0.0.0/24}	sat	2	35	23.0	23.0	23.0	0.023	0.023	0.023	119.0	Ethernet0	762.0	1726.0
edge-4	edge-6	IpWildcardIpSpace{ipWildcard=90.0.12.0/24}	sat	2	34	23.0	23.0	23.0	0.022	0.022	0.022	118.0	Ethernet0	762.0	1726.0
edge-5	edge-7	IpWildcardIpSpace{ipWildcard=90.0.14.0/24}	sat	3	13	23.0	23.0	23.0	0.023	0.023	0.023	119.0	Ethernet0	762.0	1726.0
edge-6	edge-2	IpWildcardIpSpace{ipWildcard=90.0.4.0/24}	sat	4	42	23.0	23.0	23.0	0.022	0.022	0.022	131.0	Ethernet0	762.0	1726.0
edge-0	edge-7	IpWildcardIpSpace{ipWildcard=90.0.14.0/24}	sat	3	13	23.0	23.0	23.0	0.023	0.023	0.023	120.0	Ethernet0	762.0	1726.0
edge-7	edge-3	IpWildcardIpSpace{ipWildcard=90.0.6.0/24}	sat	1	26	24.0	24.0	24.0	0.024	0.024	0.024	124.0	Ethernet0	762.0	1726.0
edge-1	edge-3	IpWildcardIpSpace{ipWildcard=90.0.6.0/24}	sat	1	26	23.0	23.0	23.0	0.023	0.023	0.023	119.0	Ethernet0	762.0	1726.0
edge-3	edge-2	IpWildcardIpSpace{ipWildcard=90.0.4.0/24}	sat	4	42	23.0	23.0	23.0	0.022	0.022	0.022	121.0	Ethernet0	762.0	1726.0
edge-4	edge-7	IpWildcardIpSpace{ipWildcard=90.0.14.0/24}	sat	1	25	23.0	23.0	23.0	0.023	0.023	0.023	122.0	Ethernet0	762.0	1726.0
edge-7	edge-4	IpWildcardIpSpace{ipWildcard=90.0.8.0/24}	sat	2	34	29.0	29.0	29.0	0.028	0.028	0.028	153.0	Ethernet0	762.0	1726.0
edge-6	edge-0	IpWildcardIpSpace{ipWildcard=90.0.0.0/24}	sat	2	35	22.0	22.0	22.0	0.021	0.021	0.021	120.0	Ethernet0	762.0	1726.0
