srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
edge-17	edge-0	IpWildcardIpSpace{ipWildcard=90.0.0.0/24}	unsat	65	539	167.0	167.0	167.0	0.167	0.167	0.167	323.0	Ethernet0	2803.0	6196.0
edge-1	edge-13	IpWildcardIpSpace{ipWildcard=90.0.39.0/24}	unsat	73	614	178.0	178.0	178.0	0.177	0.177	0.177	288.0	Ethernet0	2803.0	6196.0
edge-4	edge-12	IpWildcardIpSpace{ipWildcard=90.0.36.0/24}	unsat	78	610	177.0	177.0	177.0	0.176	0.176	0.176	280.0	Ethernet0	2803.0	6196.0
edge-6	edge-10	IpWildcardIpSpace{ipWildcard=90.0.30.0/24}	unsat	73	616	174.0	174.0	174.0	0.173	0.173	0.173	282.0	Ethernet0	2803.0	6196.0
edge-14	edge-2	IpWildcardIpSpace{ipWildcard=90.0.6.0/24}	unsat	83	632	177.0	177.0	177.0	0.176	0.176	0.176	280.0	Ethernet0	2803.0	6196.0
edge-9	edge-7	IpWildcardIpSpace{ipWildcard=90.0.21.0/24}	unsat	73	574	170.0	170.0	170.0	0.17	0.17	0.17	303.0	Ethernet0	2803.0	6196.0
edge-7	edge-6	IpWildcardIpSpace{ipWildcard=90.0.18.0/24}	unsat	22	78	131.0	131.0	131.0	0.131	0.131	0.131	280.0	Ethernet0	2803.0	6196.0
edge-16	edge-14	IpWildcardIpSpace{ipWildcard=90.0.42.0/24}	unsat	75	603	174.0	174.0	174.0	0.173	0.173	0.173	285.0	Ethernet0	2803.0	6196.0
edge-5	edge-7	IpWildcardIpSpace{ipWildcard=90.0.21.0/24}	unsat	76	655	178.0	178.0	178.0	0.176	0.176	0.176	275.0	Ethernet0	2803.0	6196.0
edge-1	edge-17	IpWildcardIpSpace{ipWildcard=90.0.51.0/24}	unsat	80	654	172.0	172.0	172.0	0.172	0.172	0.172	477.0	Ethernet0	2803.0	6196.0
edge-13	edge-15	IpWildcardIpSpace{ipWildcard=90.0.45.0/24}	unsat	72	582	172.0	172.0	172.0	0.171	0.171	0.171	278.0	Ethernet0	2803.0	6196.0
edge-7	edge-5	IpWildcardIpSpace{ipWildcard=90.0.15.0/24}	unsat	78	598	175.0	175.0	175.0	0.174	0.174	0.174	286.0	Ethernet0	2803.0	6196.0
edge-6	edge-12	IpWildcardIpSpace{ipWildcard=90.0.36.0/24}	unsat	75	584	172.0	172.0	172.0	0.171	0.171	0.171	284.0	Ethernet0	2803.0	6196.0
edge-14	edge-17	IpWildcardIpSpace{ipWildcard=90.0.51.0/24}	unsat	78	576	199.0	199.0	199.0	0.198	0.198	0.198	295.0	Ethernet0	2803.0	6196.0
edge-15	edge-17	IpWildcardIpSpace{ipWildcard=90.0.51.0/24}	unsat	22	73	133.0	133.0	133.0	0.132	0.132	0.132	273.0	Ethernet0	2803.0	6196.0
edge-11	edge-13	IpWildcardIpSpace{ipWildcard=90.0.39.0/24}	unsat	76	602	178.0	178.0	178.0	0.177	0.177	0.177	309.0	Ethernet0	2803.0	6196.0
edge-16	edge-3	IpWildcardIpSpace{ipWildcard=90.0.9.0/24}	unsat	77	615	179.0	179.0	179.0	0.178	0.178	0.178	288.0	Ethernet0	2803.0	6196.0
edge-0	edge-7	IpWildcardIpSpace{ipWildcard=90.0.21.0/24}	unsat	73	589	178.0	178.0	178.0	0.178	0.178	0.178	273.0	Ethernet0	2803.0	6196.0
edge-13	edge-7	IpWildcardIpSpace{ipWildcard=90.0.21.0/24}	unsat	73	589	172.0	172.0	172.0	0.172	0.172	0.172	287.0	Ethernet0	2803.0	6196.0
edge-11	edge-4	IpWildcardIpSpace{ipWildcard=90.0.12.0/24}	unsat	79	596	177.0	177.0	177.0	0.176	0.176	0.176	283.0	Ethernet0	2803.0	6196.0
edge-15	edge-10	IpWildcardIpSpace{ipWildcard=90.0.30.0/24}	unsat	75	572	173.0	173.0	173.0	0.172	0.172	0.172	278.0	Ethernet0	2803.0	6196.0
edge-3	edge-2	IpWildcardIpSpace{ipWildcard=90.0.6.0/24}	unsat	78	580	173.0	173.0	173.0	0.172	0.172	0.172	278.0	Ethernet0	2803.0	6196.0
edge-17	edge-6	IpWildcardIpSpace{ipWildcard=90.0.18.0/24}	unsat	70	532	168.0	168.0	168.0	0.167	0.167	0.167	297.0	Ethernet0	2803.0	6196.0
edge-0	edge-15	IpWildcardIpSpace{ipWildcard=90.0.45.0/24}	unsat	77	656	175.0	175.0	175.0	0.174	0.174	0.174	289.0	Ethernet0	2803.0	6196.0
edge-2	edge-14	IpWildcardIpSpace{ipWildcard=90.0.42.0/24}	unsat	82	648	183.0	183.0	183.0	0.182	0.182	0.182	349.0	Ethernet0	2803.0	6196.0
edge-16	edge-5	IpWildcardIpSpace{ipWildcard=90.0.15.0/24}	unsat	74	597	180.0	180.0	180.0	0.179	0.179	0.179	291.0	Ethernet0	2803.0	6196.0
edge-16	edge-2	IpWildcardIpSpace{ipWildcard=90.0.6.0/24}	unsat	73	611	178.0	178.0	178.0	0.177	0.177	0.177	283.0	Ethernet0	2803.0	6196.0
edge-5	edge-1	IpWildcardIpSpace{ipWildcard=90.0.3.0/24}	unsat	80	583	176.0	176.0	176.0	0.175	0.175	0.175	285.0	Ethernet0	2803.0	6196.0
edge-2	edge-10	IpWildcardIpSpace{ipWildcard=90.0.30.0/24}	unsat	75	624	175.0	175.0	175.0	0.175	0.175	0.175	282.0	Ethernet0	2803.0	6196.0
edge-0	edge-16	IpWildcardIpSpace{ipWildcard=90.0.48.0/24}	unsat	76	612	173.0	173.0	173.0	0.173	0.173	0.173	291.0	Ethernet0	2803.0	6196.0
edge-3	edge-0	IpWildcardIpSpace{ipWildcard=90.0.0.0/24}	unsat	75	555	170.0	170.0	170.0	0.17	0.17	0.17	272.0	Ethernet0	2803.0	6196.0
edge-9	edge-11	IpWildcardIpSpace{ipWildcard=90.0.33.0/24}	unsat	22	75	137.0	137.0	137.0	0.137	0.137	0.137	277.0	Ethernet0	2803.0	6196.0
edge-12	edge-6	IpWildcardIpSpace{ipWildcard=90.0.18.0/24}	unsat	74	561	172.0	172.0	172.0	0.171	0.171	0.171	267.0	Ethernet0	2803.0	6196.0
edge-12	edge-5	IpWildcardIpSpace{ipWildcard=90.0.15.0/24}	unsat	79	646	175.0	175.0	175.0	0.175	0.175	0.175	269.0	Ethernet0	2803.0	6196.0
edge-14	edge-12	IpWildcardIpSpace{ipWildcard=90.0.36.0/24}	unsat	22	77	132.0	132.0	132.0	0.132	0.132	0.132	274.0	Ethernet0	2803.0	6196.0
edge-2	edge-7	IpWildcardIpSpace{ipWildcard=90.0.21.0/24}	unsat	73	589	171.0	171.0	171.0	0.17	0.17	0.17	269.0	Ethernet0	2803.0	6196.0
edge-1	edge-9	IpWildcardIpSpace{ipWildcard=90.0.27.0/24}	unsat	77	615	177.0	177.0	177.0	0.176	0.176	0.176	282.0	Ethernet0	2803.0	6196.0
edge-10	edge-14	IpWildcardIpSpace{ipWildcard=90.0.42.0/24}	unsat	77	619	175.0	175.0	175.0	0.174	0.174	0.174	276.0	Ethernet0	2803.0	6196.0
edge-0	edge-17	IpWildcardIpSpace{ipWildcard=90.0.51.0/24}	unsat	77	613	182.0	182.0	182.0	0.181	0.181	0.181	290.0	Ethernet0	2803.0	6196.0
edge-13	edge-4	IpWildcardIpSpace{ipWildcard=90.0.12.0/24}	unsat	80	655	180.0	180.0	180.0	0.179	0.179	0.179	276.0	Ethernet0	2803.0	6196.0
edge-9	edge-16	IpWildcardIpSpace{ipWildcard=90.0.48.0/24}	unsat	76	584	168.0	168.0	168.0	0.168	0.168	0.168	283.0	Ethernet0	2803.0	6196.0
edge-10	edge-1	IpWildcardIpSpace{ipWildcard=90.0.3.0/24}	unsat	82	646	177.0	177.0	177.0	0.176	0.176	0.176	281.0	Ethernet0	2803.0	6196.0
edge-15	edge-11	IpWildcardIpSpace{ipWildcard=90.0.33.0/24}	unsat	74	587	178.0	178.0	178.0	0.176	0.176	0.176	289.0	Ethernet0	2803.0	6196.0
edge-10	edge-9	IpWildcardIpSpace{ipWildcard=90.0.27.0/24}	unsat	22	78	134.0	134.0	134.0	0.133	0.133	0.133	276.0	Ethernet0	2803.0	6196.0
edge-4	edge-8	IpWildcardIpSpace{ipWildcard=90.0.24.0/24}	unsat	75	616	174.0	174.0	174.0	0.173	0.173	0.173	271.0	Ethernet0	2803.0	6196.0
edge-14	edge-4	IpWildcardIpSpace{ipWildcard=90.0.12.0/24}	unsat	80	655	175.0	175.0	175.0	0.174	0.174	0.174	267.0	Ethernet0	2803.0	6196.0
edge-11	edge-2	IpWildcardIpSpace{ipWildcard=90.0.6.0/24}	unsat	81	613	175.0	175.0	175.0	0.174	0.174	0.174	278.0	Ethernet0	2803.0	6196.0
edge-17	edge-10	IpWildcardIpSpace{ipWildcard=90.0.30.0/24}	unsat	75	572	171.0	171.0	171.0	0.171	0.171	0.171	269.0	Ethernet0	2803.0	6196.0
edge-6	edge-1	IpWildcardIpSpace{ipWildcard=90.0.3.0/24}	unsat	81	656	176.0	176.0	176.0	0.175	0.175	0.175	339.0	Ethernet0	2803.0	6196.0
edge-5	edge-9	IpWildcardIpSpace{ipWildcard=90.0.27.0/24}	unsat	82	589	171.0	171.0	171.0	0.17	0.17	0.17	268.0	Ethernet0	2803.0	6196.0
