srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
edge-14	edge-24	IpWildcardIpSpace{ipWildcard=90.0.96.0/24}	sat	0	341	396.0	396.0	396.0	0.395	0.395	0.395	570.0	Ethernet0	6182.0	13615.0
edge-19	edge-27	IpWildcardIpSpace{ipWildcard=90.0.108.0/24}	sat	0	336	378.0	378.0	378.0	0.378	0.378	0.378	538.0	Ethernet0	6182.0	13615.0
edge-7	edge-8	IpWildcardIpSpace{ipWildcard=90.0.32.0/24}	sat	0	336	376.0	376.0	376.0	0.375	0.375	0.375	521.0	Ethernet0	6182.0	13615.0
edge-10	edge-22	IpWildcardIpSpace{ipWildcard=90.0.88.0/24}	sat	0	341	381.0	381.0	381.0	0.381	0.381	0.381	517.0	Ethernet0	6182.0	13615.0
edge-15	edge-21	IpWildcardIpSpace{ipWildcard=90.0.84.0/24}	sat	0	336	391.0	391.0	391.0	0.391	0.391	0.391	572.0	Ethernet0	6182.0	13615.0
edge-24	edge-9	IpWildcardIpSpace{ipWildcard=90.0.36.0/24}	sat	0	336	378.0	378.0	378.0	0.377	0.377	0.377	572.0	Ethernet0	6182.0	13615.0
edge-12	edge-4	IpWildcardIpSpace{ipWildcard=90.0.16.0/24}	sat	0	336	384.0	384.0	384.0	0.384	0.384	0.384	529.0	Ethernet0	6182.0	13615.0
edge-15	edge-13	IpWildcardIpSpace{ipWildcard=90.0.52.0/24}	sat	0	336	381.0	381.0	381.0	0.381	0.381	0.381	549.0	Ethernet0	6182.0	13615.0
edge-19	edge-2	IpWildcardIpSpace{ipWildcard=90.0.8.0/24}	sat	0	341	395.0	395.0	395.0	0.394	0.394	0.394	556.0	Ethernet0	6182.0	13615.0
edge-22	edge-30	IpWildcardIpSpace{ipWildcard=90.0.120.0/24}	sat	0	341	492.0	492.0	492.0	0.492	0.492	0.492	620.0	Ethernet0	6182.0	13615.0
edge-1	edge-18	IpWildcardIpSpace{ipWildcard=90.0.72.0/24}	sat	0	341	381.0	381.0	381.0	0.38	0.38	0.38	515.0	Ethernet0	6182.0	13615.0
edge-29	edge-4	IpWildcardIpSpace{ipWildcard=90.0.16.0/24}	sat	0	336	403.0	403.0	403.0	0.402	0.402	0.402	505.0	Ethernet0	6182.0	13615.0
edge-27	edge-31	IpWildcardIpSpace{ipWildcard=90.0.124.0/24}	sat	0	331	378.0	378.0	378.0	0.378	0.378	0.378	537.0	Ethernet0	6182.0	13615.0
edge-17	edge-28	IpWildcardIpSpace{ipWildcard=90.0.112.0/24}	sat	0	331	380.0	380.0	380.0	0.379	0.379	0.379	530.0	Ethernet0	6182.0	13615.0
edge-7	edge-31	IpWildcardIpSpace{ipWildcard=90.0.124.0/24}	sat	0	331	381.0	381.0	381.0	0.38	0.38	0.38	526.0	Ethernet0	6182.0	13615.0
edge-12	edge-16	IpWildcardIpSpace{ipWildcard=90.0.64.0/24}	sat	0	336	382.0	382.0	382.0	0.382	0.382	0.382	503.0	Ethernet0	6182.0	13615.0
edge-18	edge-14	IpWildcardIpSpace{ipWildcard=90.0.56.0/24}	sat	0	336	380.0	380.0	380.0	0.379	0.379	0.379	509.0	Ethernet0	6182.0	13615.0
edge-26	edge-7	IpWildcardIpSpace{ipWildcard=90.0.28.0/24}	sat	0	336	380.0	380.0	380.0	0.38	0.38	0.38	499.0	Ethernet0	6182.0	13615.0
edge-9	edge-0	IpWildcardIpSpace{ipWildcard=90.0.0.0/24}	sat	0	341	380.0	380.0	380.0	0.379	0.379	0.379	502.0	Ethernet0	6182.0	13615.0
edge-0	edge-11	IpWildcardIpSpace{ipWildcard=90.0.44.0/24}	sat	0	336	384.0	384.0	384.0	0.384	0.384	0.384	503.0	Ethernet0	6182.0	13615.0
edge-26	edge-1	IpWildcardIpSpace{ipWildcard=90.0.4.0/24}	sat	0	341	384.0	384.0	384.0	0.384	0.384	0.384	544.0	Ethernet0	6182.0	13615.0
edge-21	edge-17	IpWildcardIpSpace{ipWildcard=90.0.68.0/24}	sat	0	336	383.0	383.0	383.0	0.382	0.382	0.382	522.0	Ethernet0	6182.0	13615.0
edge-15	edge-31	IpWildcardIpSpace{ipWildcard=90.0.124.0/24}	sat	0	331	386.0	386.0	386.0	0.385	0.385	0.385	500.0	Ethernet0	6182.0	13615.0
edge-6	edge-29	IpWildcardIpSpace{ipWildcard=90.0.116.0/24}	sat	0	336	380.0	380.0	380.0	0.379	0.379	0.379	513.0	Ethernet0	6182.0	13615.0
edge-13	edge-5	IpWildcardIpSpace{ipWildcard=90.0.20.0/24}	sat	0	331	394.0	394.0	394.0	0.393	0.393	0.393	499.0	Ethernet0	6182.0	13615.0
