srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
edge-16	edge-28	IpWildcardIpSpace{ipWildcard=90.0.140.0/24}	unsat	8193	53296	3124.0	3124.0	3124.0	3.123	3.123	3.123	674.0	Ethernet0	6525.0	13611.0
edge-35	edge-11	IpWildcardIpSpace{ipWildcard=90.0.55.0/24}	unsat	8989	50604	3539.0	3539.0	3539.0	3.538	3.538	3.538	662.0	Ethernet0	6525.0	13611.0
edge-18	edge-41	IpWildcardIpSpace{ipWildcard=90.0.205.0/24}	unsat	9322	50984	3802.0	3802.0	3802.0	3.802	3.802	3.802	656.0	Ethernet0	6525.0	13611.0
edge-48	edge-12	IpWildcardIpSpace{ipWildcard=90.0.60.0/24}	unsat	7989	55646	3103.0	3103.0	3103.0	3.102	3.102	3.102	883.0	Ethernet0	6525.0	13611.0
edge-49	edge-36	IpWildcardIpSpace{ipWildcard=90.0.180.0/24}	unsat	8378	54756	3210.0	3210.0	3210.0	3.209	3.209	3.209	840.0	Ethernet0	6525.0	13611.0
edge-14	edge-16	IpWildcardIpSpace{ipWildcard=90.0.80.0/24}	unsat	8338	54053	3398.0	3398.0	3398.0	3.398	3.398	3.398	637.0	Ethernet0	6525.0	13611.0
edge-11	edge-39	IpWildcardIpSpace{ipWildcard=90.0.195.0/24}	unsat	8732	55660	3473.0	3473.0	3473.0	3.472	3.472	3.472	818.0	Ethernet0	6525.0	13611.0
edge-35	edge-32	IpWildcardIpSpace{ipWildcard=90.0.160.0/24}	unsat	7899	49533	3257.0	3257.0	3257.0	3.257	3.257	3.257	641.0	Ethernet0	6525.0	13611.0
edge-31	edge-32	IpWildcardIpSpace{ipWildcard=90.0.160.0/24}	unsat	8621	49903	3517.0	3517.0	3517.0	3.516	3.516	3.516	629.0	Ethernet0	6525.0	13611.0
edge-22	edge-4	IpWildcardIpSpace{ipWildcard=90.0.20.0/24}	unsat	9483	65780	3996.0	3996.0	3996.0	3.996	3.996	3.996	768.0	Ethernet0	6525.0	13611.0
edge-48	edge-2	IpWildcardIpSpace{ipWildcard=90.0.10.0/24}	unsat	6900	62394	2812.0	2812.0	2812.0	2.811	2.811	2.811	633.0	Ethernet0	6525.0	13611.0
edge-11	edge-30	IpWildcardIpSpace{ipWildcard=90.0.150.0/24}	unsat	7513	52880	3092.0	3092.0	3092.0	3.091	3.091	3.091	1150.0	Ethernet0	6525.0	13611.0
edge-36	edge-46	IpWildcardIpSpace{ipWildcard=90.0.230.0/24}	unsat	7889	49131	3943.0	3943.0	3943.0	3.502	3.502	3.502	631.0	Ethernet0	6525.0	13611.0
edge-3	edge-10	IpWildcardIpSpace{ipWildcard=90.0.50.0/24}	unsat	7745	50855	3158.0	3158.0	3158.0	3.157	3.157	3.157	627.0	Ethernet0	6525.0	13611.0
edge-13	edge-49	IpWildcardIpSpace{ipWildcard=90.0.245.0/24}	unsat	8391	49759	3250.0	3250.0	3250.0	3.249	3.249	3.249	640.0	Ethernet0	6525.0	13611.0
edge-28	edge-10	IpWildcardIpSpace{ipWildcard=90.0.50.0/24}	unsat	7336	51359	3192.0	3192.0	3192.0	3.191	3.191	3.191	622.0	Ethernet0	6525.0	13611.0
