srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
edge-93	edge-88	IpWildcardIpSpace{ipWildcard=90.2.104.0/24}	sat	11	2738	7359.0	7359.0	7359.0	7.358	7.358	7.358	2548.0	Ethernet0	28592.0	60552.0
edge-81	edge-84	IpWildcardIpSpace{ipWildcard=90.2.76.0/24}	sat	11	2738	7662.0	7662.0	7662.0	7.427	7.427	7.427	2397.0	Ethernet0	28592.0	60552.0
edge-5	edge-70	IpWildcardIpSpace{ipWildcard=90.1.234.0/24}	sat	11	2738	7536.0	7536.0	7536.0	7.536	7.536	7.536	2192.0	Ethernet0	28592.0	60552.0
edge-87	edge-93	IpWildcardIpSpace{ipWildcard=90.2.139.0/24}	sat	11	2738	7749.0	7749.0	7749.0	7.748	7.748	7.748	2284.0	Ethernet0	28592.0	60552.0
edge-33	edge-72	IpWildcardIpSpace{ipWildcard=90.1.248.0/24}	sat	4	2745	7397.0	7397.0	7397.0	7.396	7.396	7.396	2164.0	Ethernet0	28592.0	60552.0
edge-58	edge-93	IpWildcardIpSpace{ipWildcard=90.2.139.0/24}	sat	11	2738	7422.0	7422.0	7422.0	7.422	7.422	7.422	2277.0	Ethernet0	28592.0	60552.0
edge-28	edge-61	IpWildcardIpSpace{ipWildcard=90.1.171.0/24}	sat	11	2738	7795.0	7795.0	7795.0	7.794	7.794	7.794	2424.0	Ethernet0	28592.0	60552.0
edge-82	edge-22	IpWildcardIpSpace{ipWildcard=90.0.154.0/24}	sat	11	2738	7706.0	7706.0	7706.0	7.705	7.705	7.705	2398.0	Ethernet0	28592.0	60552.0
edge-61	edge-23	IpWildcardIpSpace{ipWildcard=90.0.161.0/24}	sat	4	2745	7711.0	7711.0	7711.0	7.71	7.71	7.71	2443.0	Ethernet0	28592.0	60552.0
edge-2	edge-85	IpWildcardIpSpace{ipWildcard=90.2.83.0/24}	sat	4	2745	7801.0	7801.0	7801.0	7.8	7.8	7.8	2116.0	Ethernet0	28592.0	60552.0
edge-78	edge-38	IpWildcardIpSpace{ipWildcard=90.1.10.0/24}	sat	4	2745	7752.0	7752.0	7752.0	7.752	7.752	7.752	2272.0	Ethernet0	28592.0	60552.0
edge-73	edge-44	IpWildcardIpSpace{ipWildcard=90.1.52.0/24}	sat	11	2738	7786.0	7786.0	7786.0	7.786	7.786	7.786	2155.0	Ethernet0	28592.0	60552.0
edge-25	edge-42	IpWildcardIpSpace{ipWildcard=90.1.38.0/24}	sat	4	2745	7800.0	7800.0	7800.0	7.799	7.799	7.799	2528.0	Ethernet0	28592.0	60552.0
edge-90	edge-31	IpWildcardIpSpace{ipWildcard=90.0.217.0/24}	sat	4	2745	7503.0	7503.0	7503.0	7.502	7.502	7.502	2076.0	Ethernet0	28592.0	60552.0
edge-35	edge-63	IpWildcardIpSpace{ipWildcard=90.1.185.0/24}	sat	4	2745	7820.0	7820.0	7820.0	7.819	7.819	7.819	2353.0	Ethernet0	28592.0	60552.0
edge-82	edge-41	IpWildcardIpSpace{ipWildcard=90.1.31.0/24}	sat	11	2738	7978.0	7978.0	7978.0	7.978	7.978	7.978	2324.0	Ethernet0	28592.0	60552.0
edge-6	edge-71	IpWildcardIpSpace{ipWildcard=90.1.241.0/24}	sat	4	2745	7921.0	7921.0	7921.0	7.92	7.92	7.92	2332.0	Ethernet0	28592.0	60552.0
