srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
edge-150	edge-99	IpWildcardIpSpace{ipWildcard=90.3.123.0/24}	unsat	147862	5795434	277138.0	277138.0	277138.0	277.137	277.137	277.137	2724.0	Ethernet0	33127.0	67797.0
edge-133	edge-78	IpWildcardIpSpace{ipWildcard=90.2.190.0/24}	unsat	147913	6620855	319684.0	319684.0	319684.0	319.682	319.682	319.682	2637.0	Ethernet0	33127.0	67797.0
edge-8	edge-22	IpWildcardIpSpace{ipWildcard=90.0.198.0/24}	unsat	306642	11734680	785377.0	785377.0	785377.0	785.375	785.375	785.375	2806.0	Ethernet0	33127.0	67797.0
edge-125	edge-116	IpWildcardIpSpace{ipWildcard=90.4.20.0/24}	unsat	104568	4337369	179759.0	179759.0	179759.0	179.758	179.758	179.758	2376.0	Ethernet0	33127.0	67797.0
edge-76	edge-120	IpWildcardIpSpace{ipWildcard=90.4.56.0/24}	unsat	175691	5541566	241432.0	241432.0	241432.0	241.431	241.431	241.431	2350.0	Ethernet0	33127.0	67797.0
edge-34	edge-75	IpWildcardIpSpace{ipWildcard=90.2.163.0/24}	unsat	123513	4856004	221434.0	221434.0	221434.0	221.433	221.433	221.433	2320.0	Ethernet0	33127.0	67797.0
edge-112	edge-62	IpWildcardIpSpace{ipWildcard=90.2.46.0/24}	unsat	168423	5734327	296752.0	296752.0	296752.0	296.751	296.751	296.751	2558.0	Ethernet0	33127.0	67797.0
edge-12	edge-97	IpWildcardIpSpace{ipWildcard=90.3.105.0/24}	unsat	141267	5908390	252701.0	252701.0	252701.0	252.7	252.7	252.7	2337.0	Ethernet0	33127.0	67797.0
edge-30	edge-111	IpWildcardIpSpace{ipWildcard=90.3.231.0/24}	unsat	162321	6372567	336645.0	336645.0	336645.0	336.644	336.644	336.644	2370.0	Ethernet0	33127.0	67797.0
edge-7	edge-8	IpWildcardIpSpace{ipWildcard=90.0.72.0/24}	unsat	178205	6537541	321987.0	321987.0	321987.0	321.986	321.986	321.986	3212.0	Ethernet0	33127.0	67797.0
edge-118	edge-95	IpWildcardIpSpace{ipWildcard=90.3.87.0/24}	unsat	138160	5200409	256252.0	256252.0	256252.0	256.251	256.251	256.251	2566.0	Ethernet0	33127.0	67797.0
edge-2	edge-67	IpWildcardIpSpace{ipWildcard=90.2.91.0/24}	unsat	193415	5597568	370355.0	370355.0	370355.0	370.355	370.355	370.355	2578.0	Ethernet0	33127.0	67797.0
edge-17	edge-139	IpWildcardIpSpace{ipWildcard=90.4.227.0/24}	unsat	144015	6115758	283771.0	283771.0	283771.0	283.77	283.77	283.77	2402.0	Ethernet0	33127.0	67797.0
edge-153	edge-135	IpWildcardIpSpace{ipWildcard=90.4.191.0/24}	timeout	5718134	40486381	3600169.0	3600169.0	3600169.0	3600.168	3600.168	3600.168	2581.0	Ethernet0	33127.0	67797.0
edge-9	edge-106	IpWildcardIpSpace{ipWildcard=90.3.186.0/24}	unsat	213128	6919676	367405.0	367405.0	367405.0	367.403	367.403	367.403	2578.0	Ethernet0	33127.0	67797.0
edge-51	edge-73	IpWildcardIpSpace{ipWildcard=90.2.145.0/24}	unsat	110073	5083683	214507.0	214507.0	214507.0	214.506	214.506	214.506	4385.0	Ethernet0	33127.0	67797.0
edge-35	edge-64	IpWildcardIpSpace{ipWildcard=90.2.64.0/24}	unsat	92925	4534842	184915.0	184915.0	184915.0	184.914	184.914	184.914	2668.0	Ethernet0	33127.0	67797.0
edge-161	edge-79	IpWildcardIpSpace{ipWildcard=90.2.199.0/24}	unsat	174339	7290593	349818.0	349818.0	349818.0	349.817	349.817	349.817	2359.0	Ethernet0	33127.0	67797.0
edge-32	edge-153	IpWildcardIpSpace{ipWildcard=90.5.97.0/24}	unsat	192568	5818153	278988.0	278988.0	278988.0	278.987	278.987	278.987	3305.0	Ethernet0	33127.0	67797.0
edge-86	edge-10	IpWildcardIpSpace{ipWildcard=90.0.90.0/24}	unsat	210762	7460834	380729.0	380729.0	380729.0	380.728	380.728	380.728	2332.0	Ethernet0	33127.0	67797.0
edge-125	edge-82	IpWildcardIpSpace{ipWildcard=90.2.226.0/24}	unsat	131164	5251472	220282.0	220282.0	220282.0	220.281	220.281	220.281	2315.0	Ethernet0	33127.0	67797.0
edge-23	edge-29	IpWildcardIpSpace{ipWildcard=90.1.5.0/24}	unsat	132303	5076700	232007.0	232007.0	232007.0	232.006	232.006	232.006	2335.0	Ethernet0	33127.0	67797.0
edge-9	edge-100	IpWildcardIpSpace{ipWildcard=90.3.132.0/24}	unsat	237143	8044759	465353.0	465353.0	465353.0	465.352	465.352	465.352	2571.0	Ethernet0	33127.0	67797.0
edge-158	edge-46	IpWildcardIpSpace{ipWildcard=90.1.158.0/24}	unsat	129249	4906514	230435.0	230435.0	230435.0	230.434	230.434	230.434	2567.0	Ethernet0	33127.0	67797.0
