srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
edge-150	edge-99	IpWildcardIpSpace{ipWildcard=90.3.123.0/24}	sat	4	13243	3019.0	3019.0	3019.0	3.017	3.017	3.017	2906.0	Ethernet0	33127.0	67797.0
edge-133	edge-78	IpWildcardIpSpace{ipWildcard=90.2.190.0/24}	sat	4	13203	3185.0	3185.0	3185.0	3.185	3.185	3.185	2593.0	Ethernet0	33127.0	67797.0
edge-8	edge-22	IpWildcardIpSpace{ipWildcard=90.0.198.0/24}	sat	4	13203	3188.0	3188.0	3188.0	3.187	3.187	3.187	2702.0	Ethernet0	33127.0	67797.0
edge-125	edge-116	IpWildcardIpSpace{ipWildcard=90.4.20.0/24}	sat	4	13203	3180.0	3180.0	3180.0	3.18	3.18	3.18	2412.0	Ethernet0	33127.0	67797.0
edge-76	edge-120	IpWildcardIpSpace{ipWildcard=90.4.56.0/24}	sat	4	13243	3125.0	3125.0	3125.0	3.124	3.124	3.124	2349.0	Ethernet0	33127.0	67797.0
edge-34	edge-75	IpWildcardIpSpace{ipWildcard=90.2.163.0/24}	sat	4	13243	3125.0	3125.0	3125.0	3.125	3.125	3.125	2378.0	Ethernet0	33127.0	67797.0
edge-112	edge-62	IpWildcardIpSpace{ipWildcard=90.2.46.0/24}	sat	4	13243	3103.0	3103.0	3103.0	3.102	3.102	3.102	2392.0	Ethernet0	33127.0	67797.0
edge-12	edge-97	IpWildcardIpSpace{ipWildcard=90.3.105.0/24}	sat	4	13243	3199.0	3199.0	3199.0	3.198	3.198	3.198	2644.0	Ethernet0	33127.0	67797.0
edge-30	edge-111	IpWildcardIpSpace{ipWildcard=90.3.231.0/24}	sat	4	13243	3123.0	3123.0	3123.0	3.122	3.122	3.122	2362.0	Ethernet0	33127.0	67797.0
edge-7	edge-8	IpWildcardIpSpace{ipWildcard=90.0.72.0/24}	sat	4	13243	3586.0	3586.0	3586.0	3.584	3.584	3.584	2395.0	Ethernet0	33127.0	67797.0
edge-118	edge-95	IpWildcardIpSpace{ipWildcard=90.3.87.0/24}	sat	4	13243	3175.0	3175.0	3175.0	3.174	3.174	3.174	2363.0	Ethernet0	33127.0	67797.0
edge-2	edge-67	IpWildcardIpSpace{ipWildcard=90.2.91.0/24}	sat	4	13243	3397.0	3397.0	3397.0	3.396	3.396	3.396	2603.0	Ethernet0	33127.0	67797.0
edge-17	edge-139	IpWildcardIpSpace{ipWildcard=90.4.227.0/24}	sat	4	13203	3160.0	3160.0	3160.0	3.159	3.159	3.159	2371.0	Ethernet0	33127.0	67797.0
edge-153	edge-135	IpWildcardIpSpace{ipWildcard=90.4.191.0/24}	sat	4	13243	3272.0	3272.0	3272.0	3.271	3.271	3.271	2360.0	Ethernet0	33127.0	67797.0
edge-9	edge-106	IpWildcardIpSpace{ipWildcard=90.3.186.0/24}	sat	4	13203	3105.0	3105.0	3105.0	3.104	3.104	3.104	4358.0	Ethernet0	33127.0	67797.0
edge-51	edge-73	IpWildcardIpSpace{ipWildcard=90.2.145.0/24}	sat	4	13203	3211.0	3211.0	3211.0	3.21	3.21	3.21	2657.0	Ethernet0	33127.0	67797.0
