srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
edge-6	edge-4	IpWildcardIpSpace{ipWildcard=90.0.8.0/24}	unsat	40519	49724	9024.0	9024.0	9024.0	9.023	9.023	9.023	135.0	Ethernet0	837.0	1777.0
edge-0	edge-3	IpWildcardIpSpace{ipWildcard=90.0.6.0/24}	unsat	60144	73059	13311.0	13311.0	13311.0	13.31	13.31	13.31	142.0	Ethernet0	837.0	1777.0
edge-5	edge-0	IpWildcardIpSpace{ipWildcard=90.0.0.0/24}	unsat	38920	46695	8432.0	8432.0	8432.0	8.431	8.431	8.431	137.0	Ethernet0	837.0	1777.0
edge-3	edge-7	IpWildcardIpSpace{ipWildcard=90.0.14.0/24}	unsat	35630	43969	7923.0	7923.0	7923.0	7.922	7.922	7.922	134.0	Ethernet0	837.0	1777.0
edge-1	edge-0	IpWildcardIpSpace{ipWildcard=90.0.0.0/24}	unsat	52279	62210	11890.0	11890.0	11890.0	11.889	11.889	11.889	136.0	Ethernet0	837.0	1777.0
edge-6	edge-5	IpWildcardIpSpace{ipWildcard=90.0.10.0/24}	unsat	39592	48027	9001.0	9001.0	9001.0	9.0	9.0	9.0	135.0	Ethernet0	837.0	1777.0
edge-7	edge-0	IpWildcardIpSpace{ipWildcard=90.0.0.0/24}	unsat	39234	48370	8546.0	8546.0	8546.0	8.545	8.545	8.545	131.0	Ethernet0	837.0	1777.0
edge-5	edge-6	IpWildcardIpSpace{ipWildcard=90.0.12.0/24}	unsat	53078	63458	12014.0	12014.0	12014.0	12.014	12.014	12.014	139.0	Ethernet0	837.0	1777.0
edge-4	edge-3	IpWildcardIpSpace{ipWildcard=90.0.6.0/24}	unsat	79313	91744	17399.0	17399.0	17399.0	17.398	17.398	17.398	128.0	Ethernet0	837.0	1777.0
edge-0	edge-1	IpWildcardIpSpace{ipWildcard=90.0.2.0/24}	unsat	38220	46370	9470.0	9470.0	9470.0	9.47	9.47	9.47	131.0	Ethernet0	837.0	1777.0
