srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
edge-6	edge-4	IpWildcardIpSpace{ipWildcard=90.0.8.0/24}	sat	1436	3976	258.0	258.0	258.0	0.257	0.257	0.257	143.0	Ethernet0	837.0	1777.0
edge-0	edge-3	IpWildcardIpSpace{ipWildcard=90.0.6.0/24}	sat	1677	3972	306.0	306.0	306.0	0.305	0.305	0.305	141.0	Ethernet0	837.0	1777.0
edge-5	edge-0	IpWildcardIpSpace{ipWildcard=90.0.0.0/24}	sat	4957	7937	928.0	928.0	928.0	0.927	0.927	0.927	132.0	Ethernet0	837.0	1777.0
edge-3	edge-7	IpWildcardIpSpace{ipWildcard=90.0.14.0/24}	sat	1569	4194	303.0	303.0	303.0	0.303	0.303	0.303	132.0	Ethernet0	837.0	1777.0
edge-1	edge-0	IpWildcardIpSpace{ipWildcard=90.0.0.0/24}	sat	1045	3199	218.0	218.0	218.0	0.217	0.217	0.217	134.0	Ethernet0	837.0	1777.0
edge-6	edge-5	IpWildcardIpSpace{ipWildcard=90.0.10.0/24}	sat	3250	6550	617.0	617.0	617.0	0.616	0.616	0.616	133.0	Ethernet0	837.0	1777.0
edge-7	edge-0	IpWildcardIpSpace{ipWildcard=90.0.0.0/24}	sat	392	1337	87.0	87.0	87.0	0.086	0.086	0.086	130.0	Ethernet0	837.0	1777.0
edge-5	edge-6	IpWildcardIpSpace{ipWildcard=90.0.12.0/24}	sat	680	2947	150.0	150.0	150.0	0.149	0.149	0.149	135.0	Ethernet0	837.0	1777.0
edge-4	edge-3	IpWildcardIpSpace{ipWildcard=90.0.6.0/24}	sat	1981	5173	353.0	353.0	353.0	0.352	0.352	0.352	131.0	Ethernet0	837.0	1777.0
edge-0	edge-1	IpWildcardIpSpace{ipWildcard=90.0.2.0/24}	sat	947	2900	183.0	183.0	183.0	0.182	0.182	0.182	130.0	Ethernet0	837.0	1777.0
edge-5	edge-1	IpWildcardIpSpace{ipWildcard=90.0.2.0/24}	sat	215	847	69.0	69.0	69.0	0.068	0.068	0.068	129.0	Ethernet0	837.0	1777.0
edge-1	edge-6	IpWildcardIpSpace{ipWildcard=90.0.12.0/24}	sat	1481	4206	255.0	255.0	255.0	0.254	0.254	0.254	128.0	Ethernet0	837.0	1777.0
edge-2	edge-5	IpWildcardIpSpace{ipWildcard=90.0.10.0/24}	sat	565	1727	126.0	126.0	126.0	0.126	0.126	0.126	132.0	Ethernet0	837.0	1777.0
edge-7	edge-6	IpWildcardIpSpace{ipWildcard=90.0.12.0/24}	sat	3187	6782	568.0	568.0	568.0	0.567	0.567	0.567	126.0	Ethernet0	837.0	1777.0
edge-6	edge-7	IpWildcardIpSpace{ipWildcard=90.0.14.0/24}	sat	4930	9528	914.0	914.0	914.0	0.913	0.913	0.913	132.0	Ethernet0	837.0	1777.0
edge-1	edge-5	IpWildcardIpSpace{ipWildcard=90.0.10.0/24}	sat	488	2383	127.0	127.0	127.0	0.127	0.127	0.127	125.0	Ethernet0	837.0	1777.0
edge-3	edge-0	IpWildcardIpSpace{ipWildcard=90.0.0.0/24}	sat	636	2077	134.0	134.0	134.0	0.134	0.134	0.134	134.0	Ethernet0	837.0	1777.0
edge-4	edge-6	IpWildcardIpSpace{ipWildcard=90.0.12.0/24}	sat	404	1584	91.0	91.0	91.0	0.09	0.09	0.09	125.0	Ethernet0	837.0	1777.0
