srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
edge-17	edge-0	IpWildcardIpSpace{ipWildcard=90.0.0.0/24}	sat	1219	6774	221.0	221.0	221.0	0.221	0.221	0.221	286.0	Ethernet0	1645.0	3483.0
edge-1	edge-13	IpWildcardIpSpace{ipWildcard=90.0.39.0/24}	sat	902	5369	167.0	167.0	167.0	0.166	0.166	0.166	260.0	Ethernet0	1645.0	3483.0
edge-4	edge-12	IpWildcardIpSpace{ipWildcard=90.0.36.0/24}	sat	1154	5937	215.0	215.0	215.0	0.214	0.214	0.214	284.0	Ethernet0	1645.0	3483.0
edge-6	edge-10	IpWildcardIpSpace{ipWildcard=90.0.30.0/24}	sat	687	5041	151.0	151.0	151.0	0.151	0.151	0.151	244.0	Ethernet0	1645.0	3483.0
edge-14	edge-2	IpWildcardIpSpace{ipWildcard=90.0.6.0/24}	sat	1257	5643	226.0	226.0	226.0	0.226	0.226	0.226	248.0	Ethernet0	1645.0	3483.0
edge-9	edge-7	IpWildcardIpSpace{ipWildcard=90.0.21.0/24}	sat	848	4997	173.0	173.0	173.0	0.173	0.173	0.173	246.0	Ethernet0	1645.0	3483.0
edge-7	edge-6	IpWildcardIpSpace{ipWildcard=90.0.18.0/24}	sat	735	4353	157.0	157.0	157.0	0.156	0.156	0.156	297.0	Ethernet0	1645.0	3483.0
edge-16	edge-14	IpWildcardIpSpace{ipWildcard=90.0.42.0/24}	sat	860	5065	163.0	163.0	163.0	0.162	0.162	0.162	237.0	Ethernet0	1645.0	3483.0
edge-5	edge-7	IpWildcardIpSpace{ipWildcard=90.0.21.0/24}	sat	963	5197	186.0	186.0	186.0	0.185	0.185	0.185	301.0	Ethernet0	1645.0	3483.0
edge-1	edge-17	IpWildcardIpSpace{ipWildcard=90.0.51.0/24}	sat	1104	5451	211.0	211.0	211.0	0.21	0.21	0.21	235.0	Ethernet0	1645.0	3483.0
edge-13	edge-15	IpWildcardIpSpace{ipWildcard=90.0.45.0/24}	sat	1163	6332	191.0	191.0	191.0	0.191	0.191	0.191	258.0	Ethernet0	1645.0	3483.0
edge-7	edge-5	IpWildcardIpSpace{ipWildcard=90.0.15.0/24}	sat	763	4825	152.0	152.0	152.0	0.152	0.152	0.152	248.0	Ethernet0	1645.0	3483.0
edge-6	edge-12	IpWildcardIpSpace{ipWildcard=90.0.36.0/24}	sat	1019	6261	193.0	193.0	193.0	0.192	0.192	0.192	258.0	Ethernet0	1645.0	3483.0
edge-14	edge-17	IpWildcardIpSpace{ipWildcard=90.0.51.0/24}	sat	1086	5597	215.0	215.0	215.0	0.215	0.215	0.215	330.0	Ethernet0	1645.0	3483.0
edge-15	edge-17	IpWildcardIpSpace{ipWildcard=90.0.51.0/24}	sat	1127	5944	192.0	192.0	192.0	0.191	0.191	0.191	250.0	Ethernet0	1645.0	3483.0
edge-11	edge-13	IpWildcardIpSpace{ipWildcard=90.0.39.0/24}	sat	811	6183	161.0	161.0	161.0	0.161	0.161	0.161	243.0	Ethernet0	1645.0	3483.0
edge-16	edge-3	IpWildcardIpSpace{ipWildcard=90.0.9.0/24}	sat	1030	5579	174.0	174.0	174.0	0.173	0.173	0.173	242.0	Ethernet0	1645.0	3483.0
edge-0	edge-7	IpWildcardIpSpace{ipWildcard=90.0.21.0/24}	sat	645	4955	148.0	148.0	148.0	0.147	0.147	0.147	246.0	Ethernet0	1645.0	3483.0
edge-13	edge-7	IpWildcardIpSpace{ipWildcard=90.0.21.0/24}	sat	1076	5750	206.0	206.0	206.0	0.206	0.206	0.206	251.0	Ethernet0	1645.0	3483.0
edge-11	edge-4	IpWildcardIpSpace{ipWildcard=90.0.12.0/24}	sat	897	5720	163.0	163.0	163.0	0.163	0.163	0.163	261.0	Ethernet0	1645.0	3483.0
edge-15	edge-10	IpWildcardIpSpace{ipWildcard=90.0.30.0/24}	sat	607	4464	145.0	145.0	145.0	0.145	0.145	0.145	256.0	Ethernet0	1645.0	3483.0
edge-3	edge-2	IpWildcardIpSpace{ipWildcard=90.0.6.0/24}	sat	1006	5390	190.0	190.0	190.0	0.19	0.19	0.19	248.0	Ethernet0	1645.0	3483.0
edge-17	edge-6	IpWildcardIpSpace{ipWildcard=90.0.18.0/24}	sat	757	5303	155.0	155.0	155.0	0.154	0.154	0.154	253.0	Ethernet0	1645.0	3483.0
edge-0	edge-15	IpWildcardIpSpace{ipWildcard=90.0.45.0/24}	sat	799	5194	159.0	159.0	159.0	0.159	0.159	0.159	244.0	Ethernet0	1645.0	3483.0
edge-2	edge-14	IpWildcardIpSpace{ipWildcard=90.0.42.0/24}	sat	855	6084	171.0	171.0	171.0	0.17	0.17	0.17	261.0	Ethernet0	1645.0	3483.0
edge-16	edge-5	IpWildcardIpSpace{ipWildcard=90.0.15.0/24}	sat	790	5103	161.0	161.0	161.0	0.161	0.161	0.161	240.0	Ethernet0	1645.0	3483.0
edge-16	edge-2	IpWildcardIpSpace{ipWildcard=90.0.6.0/24}	sat	1103	6202	220.0	220.0	220.0	0.219	0.219	0.219	247.0	Ethernet0	1645.0	3483.0
edge-5	edge-1	IpWildcardIpSpace{ipWildcard=90.0.3.0/24}	sat	1184	5412	210.0	210.0	210.0	0.209	0.209	0.209	241.0	Ethernet0	1645.0	3483.0
edge-2	edge-10	IpWildcardIpSpace{ipWildcard=90.0.30.0/24}	sat	996	5553	175.0	175.0	175.0	0.174	0.174	0.174	248.0	Ethernet0	1645.0	3483.0
edge-0	edge-16	IpWildcardIpSpace{ipWildcard=90.0.48.0/24}	sat	859	5605	166.0	166.0	166.0	0.165	0.165	0.165	240.0	Ethernet0	1645.0	3483.0
edge-3	edge-0	IpWildcardIpSpace{ipWildcard=90.0.0.0/24}	sat	901	6039	171.0	171.0	171.0	0.17	0.17	0.17	242.0	Ethernet0	1645.0	3483.0
edge-9	edge-11	IpWildcardIpSpace{ipWildcard=90.0.33.0/24}	sat	1112	5424	196.0	196.0	196.0	0.196	0.196	0.196	237.0	Ethernet0	1645.0	3483.0
edge-12	edge-6	IpWildcardIpSpace{ipWildcard=90.0.18.0/24}	sat	1137	6114	194.0	194.0	194.0	0.193	0.193	0.193	238.0	Ethernet0	1645.0	3483.0
edge-12	edge-5	IpWildcardIpSpace{ipWildcard=90.0.15.0/24}	sat	876	5658	170.0	170.0	170.0	0.169	0.169	0.169	242.0	Ethernet0	1645.0	3483.0
edge-14	edge-12	IpWildcardIpSpace{ipWildcard=90.0.36.0/24}	sat	1138	5827	196.0	196.0	196.0	0.195	0.195	0.195	240.0	Ethernet0	1645.0	3483.0
edge-2	edge-7	IpWildcardIpSpace{ipWildcard=90.0.21.0/24}	sat	736	4810	162.0	162.0	162.0	0.161	0.161	0.161	236.0	Ethernet0	1645.0	3483.0
edge-1	edge-9	IpWildcardIpSpace{ipWildcard=90.0.27.0/24}	sat	902	5083	173.0	173.0	173.0	0.173	0.173	0.173	224.0	Ethernet0	1645.0	3483.0
edge-10	edge-14	IpWildcardIpSpace{ipWildcard=90.0.42.0/24}	sat	811	4786	159.0	159.0	159.0	0.158	0.158	0.158	223.0	Ethernet0	1645.0	3483.0
edge-0	edge-17	IpWildcardIpSpace{ipWildcard=90.0.51.0/24}	sat	775	4878	156.0	156.0	156.0	0.155	0.155	0.155	228.0	Ethernet0	1645.0	3483.0
edge-13	edge-4	IpWildcardIpSpace{ipWildcard=90.0.12.0/24}	sat	1110	5462	189.0	189.0	189.0	0.188	0.188	0.188	232.0	Ethernet0	1645.0	3483.0
edge-9	edge-16	IpWildcardIpSpace{ipWildcard=90.0.48.0/24}	sat	1140	6254	199.0	199.0	199.0	0.198	0.198	0.198	226.0	Ethernet0	1645.0	3483.0
edge-10	edge-1	IpWildcardIpSpace{ipWildcard=90.0.3.0/24}	sat	1152	6153	204.0	204.0	204.0	0.203	0.203	0.203	226.0	Ethernet0	1645.0	3483.0
edge-15	edge-11	IpWildcardIpSpace{ipWildcard=90.0.33.0/24}	sat	1118	5715	197.0	197.0	197.0	0.195	0.195	0.195	223.0	Ethernet0	1645.0	3483.0
