srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
ljubljana	koper	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	3	42	118.0	118.0	118.0	0.117	0.117	0.117	224.0	GigabitEthernet0/0	2322.0	4237.0
dravograd	jesenice	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	sat	104	485	153.0	153.0	153.0	0.152	0.152	0.152	211.0	GigabitEthernet0/0	2322.0	4237.0
kovevje	ljutomer	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	2	52	123.0	123.0	123.0	0.122	0.122	0.122	250.0	GigabitEthernet0/0	2322.0	4237.0
kovevje	rogasjattslatina	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	3	49	115.0	115.0	115.0	0.115	0.115	0.115	214.0	GigabitEthernet0/0	2322.0	4237.0
ljutomer	gornjattradgona	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	sat	2	45	114.0	114.0	114.0	0.113	0.113	0.113	216.0	GigabitEthernet0/0	2322.0	4237.0
radenci	maribor	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	2	61	113.0	113.0	113.0	0.112	0.112	0.112	245.0	GigabitEthernet0/0	2322.0	4237.0
celje	slovenskattbistrica	IpWildcardIpSpace{ipWildcard=200.0.31.0/24}	sat	2	45	121.0	121.0	121.0	0.12	0.12	0.12	214.0	GigabitEthernet0/0	2322.0	4237.0
izola	lasko	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	11	153	117.0	117.0	117.0	0.116	0.116	0.116	253.0	GigabitEthernet0/0	2322.0	4237.0
bled	rogasjattslatina	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	3	49	121.0	121.0	121.0	0.12	0.12	0.12	212.0	GigabitEthernet0/0	2322.0	4237.0
ptuj	ormoz	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	4	70	116.0	116.0	116.0	0.116	0.116	0.116	217.0	GigabitEthernet0/0	2322.0	4237.0
ljubljana	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	sat	102	378	165.0	165.0	165.0	0.164	0.164	0.164	224.0	GigabitEthernet0/0	2322.0	4237.0
tolmin	novottmesto	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	4	56	113.0	113.0	113.0	0.112	0.112	0.112	207.0	GigabitEthernet0/0	2322.0	4237.0
murskattsobota	kamnik	IpWildcardIpSpace{ipWildcard=200.0.8.0/24}	sat	3	41	111.0	111.0	111.0	0.11	0.11	0.11	202.0	GigabitEthernet0/0	2322.0	4237.0
divaca	dravograd	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	sat	11	113	120.0	120.0	120.0	0.119	0.119	0.119	220.0	GigabitEthernet0/0	2322.0	4237.0
kamnik	tolmin	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	4	41	112.0	112.0	112.0	0.112	0.112	0.112	200.0	GigabitEthernet0/0	2322.0	4237.0
jesenice	ljubljana	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	3	59	115.0	115.0	115.0	0.114	0.114	0.114	220.0	GigabitEthernet0/0	2322.0	4237.0
