srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
ljubljana	koper	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	518	2065	259.0	259.0	259.0	0.258	0.258	0.258	226.0	GigabitEthernet0/0	2322.0	4237.0
dravograd	jesenice	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	sat	233	1226	175.0	175.0	175.0	0.175	0.175	0.175	210.0	GigabitEthernet0/0	2322.0	4237.0
kovevje	ljutomer	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	599	2421	300.0	300.0	300.0	0.299	0.299	0.299	214.0	GigabitEthernet0/0	2322.0	4237.0
kovevje	rogasjattslatina	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	543	1921	259.0	259.0	259.0	0.259	0.259	0.259	211.0	GigabitEthernet0/0	2322.0	4237.0
ljutomer	gornjattradgona	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	sat	593	2675	281.0	281.0	281.0	0.281	0.281	0.281	211.0	GigabitEthernet0/0	2322.0	4237.0
radenci	maribor	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	486	2279	250.0	250.0	250.0	0.249	0.249	0.249	211.0	GigabitEthernet0/0	2322.0	4237.0
celje	slovenskattbistrica	IpWildcardIpSpace{ipWildcard=200.0.31.0/24}	sat	649	2183	273.0	273.0	273.0	0.272	0.272	0.272	210.0	GigabitEthernet0/0	2322.0	4237.0
izola	lasko	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	538	1742	236.0	236.0	236.0	0.236	0.236	0.236	217.0	GigabitEthernet0/0	2322.0	4237.0
bled	rogasjattslatina	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	543	1921	267.0	267.0	267.0	0.266	0.266	0.266	219.0	GigabitEthernet0/0	2322.0	4237.0
ptuj	ormoz	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	678	2754	292.0	292.0	292.0	0.291	0.291	0.291	215.0	GigabitEthernet0/0	2322.0	4237.0
ljubljana	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	sat	591	2370	273.0	273.0	273.0	0.273	0.273	0.273	221.0	GigabitEthernet0/0	2322.0	4237.0
tolmin	novottmesto	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	551	2074	234.0	234.0	234.0	0.234	0.234	0.234	207.0	GigabitEthernet0/0	2322.0	4237.0
murskattsobota	kamnik	IpWildcardIpSpace{ipWildcard=200.0.8.0/24}	sat	496	2273	235.0	235.0	235.0	0.235	0.235	0.235	217.0	GigabitEthernet0/0	2322.0	4237.0
divaca	dravograd	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	sat	606	2463	288.0	288.0	288.0	0.287	0.287	0.287	294.0	GigabitEthernet0/0	2322.0	4237.0
kamnik	tolmin	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	745	2381	300.0	300.0	300.0	0.299	0.299	0.299	209.0	GigabitEthernet0/0	2322.0	4237.0
jesenice	ljubljana	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	84	1130	134.0	134.0	134.0	0.134	0.134	0.134	220.0	GigabitEthernet0/0	2322.0	4237.0
jesenice	novattgorica	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	213	1382	176.0	176.0	176.0	0.176	0.176	0.176	203.0	GigabitEthernet0/0	2322.0	4237.0
slovenskattbistrica	divaca	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	564	2927	266.0	266.0	266.0	0.265	0.265	0.265	208.0	GigabitEthernet0/0	2322.0	4237.0
ljubljana	senozece	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	508	2440	250.0	250.0	250.0	0.249	0.249	0.249	201.0	GigabitEthernet0/0	2322.0	4237.0
jesenice	dravograd	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	sat	582	2498	249.0	249.0	249.0	0.248	0.248	0.248	200.0	GigabitEthernet0/0	2322.0	4237.0
slovenjttgradec	ptuj	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	529	2528	254.0	254.0	254.0	0.253	0.253	0.253	215.0	GigabitEthernet0/0	2322.0	4237.0
slovenskattbistrica	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	sat	591	2370	271.0	271.0	271.0	0.271	0.271	0.271	220.0	GigabitEthernet0/0	2322.0	4237.0
postojna	krsko	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	sat	356	2544	212.0	212.0	212.0	0.211	0.211	0.211	215.0	GigabitEthernet0/0	2322.0	4237.0
portoroz	divaca	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	564	2927	265.0	265.0	265.0	0.264	0.264	0.264	208.0	GigabitEthernet0/0	2322.0	4237.0
maribor	murskattsobota	IpWildcardIpSpace{ipWildcard=200.0.17.0/24}	sat	523	2020	252.0	252.0	252.0	0.251	0.251	0.251	201.0	GigabitEthernet0/0	2322.0	4237.0
lasko	kovevje	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	596	2315	271.0	271.0	271.0	0.271	0.271	0.271	196.0	GigabitEthernet0/0	2322.0	4237.0
senozece	lasko	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	538	1742	256.0	256.0	256.0	0.255	0.255	0.255	210.0	GigabitEthernet0/0	2322.0	4237.0
rogasjattslatina	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	sat	591	2370	283.0	283.0	283.0	0.283	0.283	0.283	202.0	GigabitEthernet0/0	2322.0	4237.0
koper	divaca	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	564	2927	262.0	262.0	262.0	0.261	0.261	0.261	205.0	GigabitEthernet0/0	2322.0	4237.0
slovenjttgradec	ravnettnattkoroskem	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	239	887	168.0	168.0	168.0	0.167	0.167	0.167	197.0	GigabitEthernet0/0	2322.0	4237.0
kamnik	celje	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	548	1605	240.0	240.0	240.0	0.239	0.239	0.239	200.0	GigabitEthernet0/0	2322.0	4237.0
ajdovscina	celje	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	548	1605	241.0	241.0	241.0	0.241	0.241	0.241	201.0	GigabitEthernet0/0	2322.0	4237.0
tolmin	kranj	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	585	2301	267.0	267.0	267.0	0.266	0.266	0.266	202.0	GigabitEthernet0/0	2322.0	4237.0
ajdovscina	krsko	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	sat	356	2544	207.0	207.0	207.0	0.206	0.206	0.206	197.0	GigabitEthernet0/0	2322.0	4237.0
kranj	koper	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	518	2065	251.0	251.0	251.0	0.25	0.25	0.25	201.0	GigabitEthernet0/0	2322.0	4237.0
ajdovscina	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	sat	591	2370	277.0	277.0	277.0	0.276	0.276	0.276	198.0	GigabitEthernet0/0	2322.0	4237.0
kranj	peerljutomer0	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	524	1929	261.0	261.0	261.0	0.261	0.261	0.261	206.0	GigabitEthernet0/0	2322.0	4237.0
kranj	senozece	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	508	2440	253.0	253.0	253.0	0.252	0.252	0.252	203.0	GigabitEthernet0/0	2322.0	4237.0
velenje	senozece	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	508	2440	256.0	256.0	256.0	0.255	0.255	0.255	203.0	GigabitEthernet0/0	2322.0	4237.0
bled	koper	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	518	2065	253.0	253.0	253.0	0.252	0.252	0.252	205.0	GigabitEthernet0/0	2322.0	4237.0
rogasjattslatina	maribor	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	486	2279	246.0	246.0	246.0	0.246	0.246	0.246	212.0	GigabitEthernet0/0	2322.0	4237.0
velenje	bled	IpWildcardIpSpace{ipWildcard=200.0.1.0/24}	sat	493	2543	257.0	257.0	257.0	0.256	0.256	0.256	197.0	GigabitEthernet0/0	2322.0	4237.0
lasko	radenci	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	581	2570	260.0	260.0	260.0	0.26	0.26	0.26	202.0	GigabitEthernet0/0	2322.0	4237.0
celje	ravnettnattkoroskem	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	239	887	168.0	168.0	168.0	0.168	0.168	0.168	218.0	GigabitEthernet0/0	2322.0	4237.0
portoroz	novottmesto	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	551	2074	236.0	236.0	236.0	0.235	0.235	0.235	235.0	GigabitEthernet0/0	2322.0	4237.0
novattgorica	ravnettnattkoroskem	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	239	887	180.0	180.0	180.0	0.179	0.179	0.179	224.0	GigabitEthernet0/0	2322.0	4237.0
radenci	novattgorica	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	213	1382	173.0	173.0	173.0	0.172	0.172	0.172	217.0	GigabitEthernet0/0	2322.0	4237.0
slovenskattbistrica	ljutomer	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	599	2421	289.0	289.0	289.0	0.289	0.289	0.289	218.0	GigabitEthernet0/0	2322.0	4237.0
slovenjttgradec	postojna	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	709	2769	314.0	314.0	314.0	0.314	0.314	0.314	215.0	GigabitEthernet0/0	2322.0	4237.0
