srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
ljubljana	koper	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	1	48	127.0	127.0	127.0	0.126	0.126	0.126	348.0	GigabitEthernet0/0	2392.0	4379.0
dravograd	jesenice	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	sat	111	467	169.0	169.0	169.0	0.168	0.168	0.168	220.0	GigabitEthernet0/0	2392.0	4379.0
kovevje	ljutomer	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	4	73	121.0	121.0	121.0	0.12	0.12	0.12	213.0	GigabitEthernet0/0	2392.0	4379.0
kovevje	rogasjattslatina	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	5	78	125.0	125.0	125.0	0.125	0.125	0.125	209.0	GigabitEthernet0/0	2392.0	4379.0
ljutomer	gornjattradgona	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	sat	2	64	121.0	121.0	121.0	0.121	0.121	0.121	211.0	GigabitEthernet0/0	2392.0	4379.0
radenci	maribor	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	2	62	124.0	124.0	124.0	0.123	0.123	0.123	221.0	GigabitEthernet0/0	2392.0	4379.0
celje	slovenskattbistrica	IpWildcardIpSpace{ipWildcard=200.0.31.0/24}	sat	1	50	122.0	122.0	122.0	0.121	0.121	0.121	204.0	GigabitEthernet0/0	2392.0	4379.0
izola	lasko	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	10	172	129.0	129.0	129.0	0.128	0.128	0.128	205.0	GigabitEthernet0/0	2392.0	4379.0
bled	rogasjattslatina	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	5	81	127.0	127.0	127.0	0.126	0.126	0.126	217.0	GigabitEthernet0/0	2392.0	4379.0
ptuj	ormoz	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	4	72	123.0	123.0	123.0	0.123	0.123	0.123	223.0	GigabitEthernet0/0	2392.0	4379.0
ljubljana	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	sat	104	402	167.0	167.0	167.0	0.166	0.166	0.166	213.0	GigabitEthernet0/0	2392.0	4379.0
tolmin	novottmesto	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	1	53	119.0	119.0	119.0	0.119	0.119	0.119	209.0	GigabitEthernet0/0	2392.0	4379.0
murskattsobota	kamnik	IpWildcardIpSpace{ipWildcard=200.0.8.0/24}	sat	2	52	119.0	119.0	119.0	0.118	0.118	0.118	201.0	GigabitEthernet0/0	2392.0	4379.0
divaca	dravograd	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	sat	10	140	126.0	126.0	126.0	0.124	0.124	0.124	209.0	GigabitEthernet0/0	2392.0	4379.0
