srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
ljubljana	koper	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	409	1301	239.0	239.0	239.0	0.238	0.238	0.238	229.0	GigabitEthernet0/0	2392.0	4379.0
dravograd	jesenice	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	unsat	687	2301	321.0	321.0	321.0	0.32	0.32	0.32	214.0	GigabitEthernet0/0	2392.0	4379.0
kovevje	ljutomer	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	487	1359	270.0	270.0	270.0	0.269	0.269	0.269	213.0	GigabitEthernet0/0	2392.0	4379.0
kovevje	rogasjattslatina	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	473	1638	285.0	285.0	285.0	0.285	0.285	0.285	219.0	GigabitEthernet0/0	2392.0	4379.0
ljutomer	gornjattradgona	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	unsat	367	1586	277.0	277.0	277.0	0.277	0.277	0.277	210.0	GigabitEthernet0/0	2392.0	4379.0
radenci	maribor	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	405	1371	269.0	269.0	269.0	0.269	0.269	0.269	225.0	GigabitEthernet0/0	2392.0	4379.0
celje	slovenskattbistrica	IpWildcardIpSpace{ipWildcard=200.0.31.0/24}	unsat	363	1472	241.0	241.0	241.0	0.241	0.241	0.241	208.0	GigabitEthernet0/0	2392.0	4379.0
izola	lasko	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	630	2562	335.0	335.0	335.0	0.334	0.334	0.334	224.0	GigabitEthernet0/0	2392.0	4379.0
bled	rogasjattslatina	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	491	1665	281.0	281.0	281.0	0.281	0.281	0.281	212.0	GigabitEthernet0/0	2392.0	4379.0
ptuj	ormoz	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	unsat	399	1267	273.0	273.0	273.0	0.273	0.273	0.273	223.0	GigabitEthernet0/0	2392.0	4379.0
ljubljana	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	unsat	514	1484	274.0	274.0	274.0	0.273	0.273	0.273	220.0	GigabitEthernet0/0	2392.0	4379.0
tolmin	novottmesto	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	unsat	484	2119	295.0	295.0	295.0	0.295	0.295	0.295	206.0	GigabitEthernet0/0	2392.0	4379.0
murskattsobota	kamnik	IpWildcardIpSpace{ipWildcard=200.0.8.0/24}	unsat	698	2407	313.0	313.0	313.0	0.313	0.313	0.313	200.0	GigabitEthernet0/0	2392.0	4379.0
divaca	dravograd	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	unsat	800	2611	354.0	354.0	354.0	0.353	0.353	0.353	204.0	GigabitEthernet0/0	2392.0	4379.0
kamnik	tolmin	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	unsat	582	2221	316.0	316.0	316.0	0.315	0.315	0.315	205.0	GigabitEthernet0/0	2392.0	4379.0
jesenice	ljubljana	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	578	2046	288.0	288.0	288.0	0.287	0.287	0.287	217.0	GigabitEthernet0/0	2392.0	4379.0
jesenice	novattgorica	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	unsat	500	2087	295.0	295.0	295.0	0.294	0.294	0.294	215.0	GigabitEthernet0/0	2392.0	4379.0
slovenskattbistrica	divaca	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	unsat	570	1680	271.0	271.0	271.0	0.27	0.27	0.27	203.0	GigabitEthernet0/0	2392.0	4379.0
ljubljana	senozece	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	unsat	604	1698	290.0	290.0	290.0	0.289	0.289	0.289	209.0	GigabitEthernet0/0	2392.0	4379.0
jesenice	dravograd	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	unsat	547	2018	296.0	296.0	296.0	0.296	0.296	0.296	201.0	GigabitEthernet0/0	2392.0	4379.0
