srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
ljubljana	koper	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	589	2057	268.0	268.0	268.0	0.268	0.268	0.268	225.0	GigabitEthernet0/0	2392.0	4379.0
dravograd	jesenice	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	unsat	657	1952	284.0	284.0	284.0	0.284	0.284	0.284	212.0	GigabitEthernet0/0	2392.0	4379.0
kovevje	ljutomer	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	560	1880	258.0	258.0	258.0	0.258	0.258	0.258	211.0	GigabitEthernet0/0	2392.0	4379.0
kovevje	rogasjattslatina	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	538	1658	261.0	261.0	261.0	0.26	0.26	0.26	210.0	GigabitEthernet0/0	2392.0	4379.0
ljutomer	gornjattradgona	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	unsat	754	2858	323.0	323.0	323.0	0.322	0.322	0.322	213.0	GigabitEthernet0/0	2392.0	4379.0
radenci	maribor	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	754	2482	327.0	327.0	327.0	0.326	0.326	0.326	226.0	GigabitEthernet0/0	2392.0	4379.0
celje	slovenskattbistrica	IpWildcardIpSpace{ipWildcard=200.0.31.0/24}	unsat	608	2235	288.0	288.0	288.0	0.287	0.287	0.287	204.0	GigabitEthernet0/0	2392.0	4379.0
izola	lasko	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	808	2884	325.0	325.0	325.0	0.324	0.324	0.324	222.0	GigabitEthernet0/0	2392.0	4379.0
bled	rogasjattslatina	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	667	2234	289.0	289.0	289.0	0.289	0.289	0.289	228.0	GigabitEthernet0/0	2392.0	4379.0
ptuj	ormoz	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	unsat	444	1230	225.0	225.0	225.0	0.224	0.224	0.224	216.0	GigabitEthernet0/0	2392.0	4379.0
ljubljana	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	unsat	613	2007	283.0	283.0	283.0	0.281	0.281	0.281	218.0	GigabitEthernet0/0	2392.0	4379.0
tolmin	novottmesto	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	unsat	580	2156	264.0	264.0	264.0	0.263	0.263	0.263	214.0	GigabitEthernet0/0	2392.0	4379.0
murskattsobota	kamnik	IpWildcardIpSpace{ipWildcard=200.0.8.0/24}	unsat	765	2502	306.0	306.0	306.0	0.305	0.305	0.305	203.0	GigabitEthernet0/0	2392.0	4379.0
divaca	dravograd	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	unsat	590	2324	263.0	263.0	263.0	0.263	0.263	0.263	204.0	GigabitEthernet0/0	2392.0	4379.0
kamnik	tolmin	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	unsat	625	2096	275.0	275.0	275.0	0.274	0.274	0.274	203.0	GigabitEthernet0/0	2392.0	4379.0
jesenice	ljubljana	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	477	1731	230.0	230.0	230.0	0.23	0.23	0.23	219.0	GigabitEthernet0/0	2392.0	4379.0
jesenice	novattgorica	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	unsat	693	2462	287.0	287.0	287.0	0.286	0.286	0.286	203.0	GigabitEthernet0/0	2392.0	4379.0
slovenskattbistrica	divaca	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	unsat	686	2205	282.0	282.0	282.0	0.281	0.281	0.281	202.0	GigabitEthernet0/0	2392.0	4379.0
ljubljana	senozece	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	unsat	674	1985	282.0	282.0	282.0	0.282	0.282	0.282	204.0	GigabitEthernet0/0	2392.0	4379.0
jesenice	dravograd	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	unsat	696	2768	322.0	322.0	322.0	0.321	0.321	0.321	206.0	GigabitEthernet0/0	2392.0	4379.0
