srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
ljubljana	koper	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	2887	5960	1019.0	1019.0	1019.0	1.018	1.018	1.018	225.0	GigabitEthernet0/0	2392.0	4297.0
dravograd	jesenice	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	sat	2138	4518	758.0	758.0	758.0	0.758	0.758	0.758	214.0	GigabitEthernet0/0	2392.0	4297.0
kovevje	ljutomer	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	42	358	121.0	121.0	121.0	0.121	0.121	0.121	210.0	GigabitEthernet0/0	2392.0	4297.0
kovevje	rogasjattslatina	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	510	2330	280.0	280.0	280.0	0.28	0.28	0.28	210.0	GigabitEthernet0/0	2392.0	4297.0
ljutomer	gornjattradgona	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	sat	508	2216	261.0	261.0	261.0	0.26	0.26	0.26	213.0	GigabitEthernet0/0	2392.0	4297.0
radenci	maribor	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	1225	3755	485.0	485.0	485.0	0.483	0.483	0.483	224.0	GigabitEthernet0/0	2392.0	4297.0
celje	slovenskattbistrica	IpWildcardIpSpace{ipWildcard=200.0.31.0/24}	sat	768	2644	325.0	325.0	325.0	0.325	0.325	0.325	207.0	GigabitEthernet0/0	2392.0	4297.0
izola	lasko	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	1897	4337	762.0	762.0	762.0	0.762	0.762	0.762	224.0	GigabitEthernet0/0	2392.0	4297.0
bled	rogasjattslatina	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	520	2060	243.0	243.0	243.0	0.242	0.242	0.242	225.0	GigabitEthernet0/0	2392.0	4297.0
ptuj	ormoz	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	3352	6261	1201.0	1201.0	1201.0	1.201	1.201	1.201	205.0	GigabitEthernet0/0	2392.0	4297.0
ljubljana	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	sat	81	1941	124.0	124.0	124.0	0.123	0.123	0.123	220.0	GigabitEthernet0/0	2392.0	4297.0
tolmin	novottmesto	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	515	2096	272.0	272.0	272.0	0.271	0.271	0.271	224.0	GigabitEthernet0/0	2392.0	4297.0
murskattsobota	kamnik	IpWildcardIpSpace{ipWildcard=200.0.8.0/24}	sat	1801	4887	690.0	690.0	690.0	0.689	0.689	0.689	210.0	GigabitEthernet0/0	2392.0	4297.0
divaca	dravograd	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	sat	1324	3868	577.0	577.0	577.0	0.575	0.575	0.575	216.0	GigabitEthernet0/0	2392.0	4297.0
kamnik	tolmin	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	783	3129	341.0	341.0	341.0	0.341	0.341	0.341	219.0	GigabitEthernet0/0	2392.0	4297.0
jesenice	ljubljana	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	1278	3575	523.0	523.0	523.0	0.522	0.522	0.522	214.0	GigabitEthernet0/0	2392.0	4297.0
jesenice	novattgorica	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	1700	4364	636.0	636.0	636.0	0.636	0.636	0.636	202.0	GigabitEthernet0/0	2392.0	4297.0
slovenskattbistrica	divaca	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	2390	5283	817.0	817.0	817.0	0.817	0.817	0.817	205.0	GigabitEthernet0/0	2392.0	4297.0
ljubljana	senozece	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	600	1885	263.0	263.0	263.0	0.262	0.262	0.262	201.0	GigabitEthernet0/0	2392.0	4297.0
jesenice	dravograd	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	sat	958	3539	420.0	420.0	420.0	0.42	0.42	0.42	200.0	GigabitEthernet0/0	2392.0	4297.0
slovenjttgradec	ptuj	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	200	1456	160.0	160.0	160.0	0.159	0.159	0.159	214.0	GigabitEthernet0/0	2392.0	4297.0
slovenskattbistrica	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	sat	530	1970	253.0	253.0	253.0	0.253	0.253	0.253	207.0	GigabitEthernet0/0	2392.0	4297.0
