srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
praha	barcelona	IpWildcardIpSpace{ipWildcard=200.1.35.0/24}	sat	24	272	387.0	387.0	387.0	0.387	0.387	0.387	546.0	GigabitEthernet0/0	6982.0	9620.0
brussels	peerbrussels4	IpWildcardIpSpace{ipWildcard=200.1.28.0/24}	sat	660	2980	726.0	726.0	726.0	0.724	0.724	0.724	489.0	GigabitEthernet0/0	6982.0	9620.0
peerbarcelona1	peerbasel2	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	sat	256	1652	488.0	488.0	488.0	0.487	0.487	0.487	483.0	GigabitEthernet0/0	6982.0	9620.0
peerbrussels5	peermilan14	IpWildcardIpSpace{ipWildcard=200.1.62.0/24}	sat	110	1096	439.0	439.0	439.0	0.438	0.438	0.438	509.0	GigabitEthernet0/0	6982.0	9620.0
peerbasel3	peergeneva9	IpWildcardIpSpace{ipWildcard=200.1.54.0/24}	sat	117	1094	397.0	397.0	397.0	0.396	0.396	0.396	495.0	GigabitEthernet0/0	6982.0	9620.0
zagreb	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	255	1638	498.0	498.0	498.0	0.497	0.497	0.497	514.0	GigabitEthernet0/0	6982.0	9620.0
peerbrussels4	vienna	IpWildcardIpSpace{ipWildcard=200.1.48.0/24}	sat	8	138	336.0	336.0	336.0	0.335	0.335	0.335	481.0	GigabitEthernet0/0	6982.0	9620.0
madrid	peermarseille13	IpWildcardIpSpace{ipWildcard=200.1.19.0/24}	sat	113	906	444.0	444.0	444.0	0.443	0.443	0.443	489.0	GigabitEthernet0/0	6982.0	9620.0
athens	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	255	1629	514.0	514.0	514.0	0.513	0.513	0.513	498.0	GigabitEthernet0/0	6982.0	9620.0
peerfrankfurt7	ljubjana	IpWildcardIpSpace{ipWildcard=200.1.60.0/24}	sat	104	901	440.0	440.0	440.0	0.44	0.44	0.44	481.0	GigabitEthernet0/0	6982.0	9620.0
brussels	praha	IpWildcardIpSpace{ipWildcard=200.1.24.0/24}	sat	45	539	375.0	375.0	375.0	0.374	0.374	0.374	484.0	GigabitEthernet0/0	6982.0	9620.0
strasbourg	bratislava	IpWildcardIpSpace{ipWildcard=200.1.44.0/24}	sat	7	114	347.0	347.0	347.0	0.347	0.347	0.347	476.0	GigabitEthernet0/0	6982.0	9620.0
peeristanbul10	marseille	IpWildcardIpSpace{ipWildcard=200.1.50.0/24}	sat	8	124	326.0	326.0	326.0	0.326	0.326	0.326	491.0	GigabitEthernet0/0	6982.0	9620.0
luxembourg	dublin	IpWildcardIpSpace{ipWildcard=200.1.52.0/24}	sat	254	1438	518.0	518.0	518.0	0.518	0.518	0.518	473.0	GigabitEthernet0/0	6982.0	9620.0
paris	basel	IpWildcardIpSpace{ipWildcard=200.1.25.0/24}	sat	14	218	338.0	338.0	338.0	0.337	0.337	0.337	483.0	GigabitEthernet0/0	6982.0	9620.0
peerbrussels6	peergeneva8	IpWildcardIpSpace{ipWildcard=200.1.55.0/24}	sat	114	852	448.0	448.0	448.0	0.447	0.447	0.447	475.0	GigabitEthernet0/0	6982.0	9620.0
peerstrasbourg15	zurich	IpWildcardIpSpace{ipWildcard=200.1.66.0/24}	sat	15	143	347.0	347.0	347.0	0.347	0.347	0.347	485.0	GigabitEthernet0/0	6982.0	9620.0
istanbul	rotterdam	IpWildcardIpSpace{ipWildcard=200.1.42.0/24}	sat	20	259	356.0	356.0	356.0	0.355	0.355	0.355	475.0	GigabitEthernet0/0	6982.0	9620.0
barcelona	warsaw	IpWildcardIpSpace{ipWildcard=200.1.67.0/24}	sat	7	100	342.0	342.0	342.0	0.341	0.341	0.341	473.0	GigabitEthernet0/0	6982.0	9620.0
peerbasel2	warsaw	IpWildcardIpSpace{ipWildcard=200.1.67.0/24}	sat	7	100	333.0	333.0	333.0	0.332	0.332	0.332	477.0	GigabitEthernet0/0	6982.0	9620.0
frankfurt	zurich	IpWildcardIpSpace{ipWildcard=200.1.66.0/24}	sat	13	177	337.0	337.0	337.0	0.336	0.336	0.336	478.0	GigabitEthernet0/0	6982.0	9620.0
peeramsterdam0	peermarseille13	IpWildcardIpSpace{ipWildcard=200.1.19.0/24}	sat	108	1023	424.0	424.0	424.0	0.424	0.424	0.424	472.0	GigabitEthernet0/0	6982.0	9620.0
athens	geneva	IpWildcardIpSpace{ipWildcard=200.1.58.0/24}	sat	14	149	328.0	328.0	328.0	0.327	0.327	0.327	480.0	GigabitEthernet0/0	6982.0	9620.0
strasbourg	geneva	IpWildcardIpSpace{ipWildcard=200.1.58.0/24}	sat	15	151	323.0	323.0	323.0	0.322	0.322	0.322	489.0	GigabitEthernet0/0	6982.0	9620.0
peerbrussels5	praha	IpWildcardIpSpace{ipWildcard=200.1.24.0/24}	sat	30	310	344.0	344.0	344.0	0.344	0.344	0.344	475.0	GigabitEthernet0/0	6982.0	9620.0
istanbul	zurich	IpWildcardIpSpace{ipWildcard=200.1.66.0/24}	sat	18	208	324.0	324.0	324.0	0.323	0.323	0.323	479.0	GigabitEthernet0/0	6982.0	9620.0
strasbourg	peerstrasbourg15	IpWildcardIpSpace{ipWildcard=200.1.63.0/24}	sat	157	1039	420.0	420.0	420.0	0.419	0.419	0.419	478.0	GigabitEthernet0/0	6982.0	9620.0
budapest	bucharest	IpWildcardIpSpace{ipWildcard=200.1.36.0/24}	sat	7	103	337.0	337.0	337.0	0.337	0.337	0.337	477.0	GigabitEthernet0/0	6982.0	9620.0
peerbrussels5	lisbon	IpWildcardIpSpace{ipWildcard=200.1.32.0/24}	sat	259	1208	551.0	551.0	551.0	0.55	0.55	0.55	475.0	GigabitEthernet0/0	6982.0	9620.0
peerbrussels4	sofia	IpWildcardIpSpace{ipWildcard=200.1.65.0/24}	sat	7	92	323.0	323.0	323.0	0.322	0.322	0.322	475.0	GigabitEthernet0/0	6982.0	9620.0
lyon	kiev	IpWildcardIpSpace{ipWildcard=200.1.34.0/24}	sat	11	118	320.0	320.0	320.0	0.32	0.32	0.32	474.0	GigabitEthernet0/0	6982.0	9620.0
rotterdam	sofia	IpWildcardIpSpace{ipWildcard=200.1.65.0/24}	sat	6	88	318.0	318.0	318.0	0.317	0.317	0.317	474.0	GigabitEthernet0/0	6982.0	9620.0
budapest	lisbon	IpWildcardIpSpace{ipWildcard=200.1.32.0/24}	sat	111	679	423.0	423.0	423.0	0.422	0.422	0.422	468.0	GigabitEthernet0/0	6982.0	9620.0
kiev	paris	IpWildcardIpSpace{ipWildcard=200.1.22.0/24}	sat	17	303	329.0	329.0	329.0	0.327	0.327	0.327	476.0	GigabitEthernet0/0	6982.0	9620.0
amsterdam	peerfrankfurt7	IpWildcardIpSpace{ipWildcard=200.1.27.0/24}	sat	545	3425	644.0	644.0	644.0	0.644	0.644	0.644	467.0	GigabitEthernet0/0	6982.0	9620.0
peermarseille12	vienna	IpWildcardIpSpace{ipWildcard=200.1.48.0/24}	sat	8	138	310.0	310.0	310.0	0.309	0.309	0.309	500.0	GigabitEthernet0/0	6982.0	9620.0
rotterdam	peerbrussels6	IpWildcardIpSpace{ipWildcard=200.1.30.0/24}	sat	2107	7840	1327.0	1327.0	1327.0	1.326	1.326	1.326	494.0	GigabitEthernet0/0	6982.0	9620.0
london	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	111	744	383.0	383.0	383.0	0.382	0.382	0.382	473.0	GigabitEthernet0/0	6982.0	9620.0
zagreb	dublin	IpWildcardIpSpace{ipWildcard=200.1.52.0/24}	sat	507	2446	588.0	588.0	588.0	0.587	0.587	0.587	470.0	GigabitEthernet0/0	6982.0	9620.0
warsaw	peeramsterdam0	IpWildcardIpSpace{ipWildcard=200.1.57.0/24}	sat	109	911	405.0	405.0	405.0	0.405	0.405	0.405	467.0	GigabitEthernet0/0	6982.0	9620.0
peerkiev11	bratislava	IpWildcardIpSpace{ipWildcard=200.1.44.0/24}	sat	6	95	312.0	312.0	312.0	0.311	0.311	0.311	472.0	GigabitEthernet0/0	6982.0	9620.0
zagreb	budapest	IpWildcardIpSpace{ipWildcard=200.1.38.0/24}	sat	7	94	306.0	306.0	306.0	0.305	0.305	0.305	471.0	GigabitEthernet0/0	6982.0	9620.0
vienna	geneva	IpWildcardIpSpace{ipWildcard=200.1.58.0/24}	sat	15	152	321.0	321.0	321.0	0.32	0.32	0.32	477.0	GigabitEthernet0/0	6982.0	9620.0
bucharest	rotterdam	IpWildcardIpSpace{ipWildcard=200.1.42.0/24}	sat	24	272	322.0	322.0	322.0	0.321	0.321	0.321	456.0	GigabitEthernet0/0	6982.0	9620.0
stockholm	frankfurt	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	sat	47	364	327.0	327.0	327.0	0.326	0.326	0.326	467.0	GigabitEthernet0/0	6982.0	9620.0
peermarseille13	lyon	IpWildcardIpSpace{ipWildcard=200.1.49.0/24}	sat	11	144	310.0	310.0	310.0	0.309	0.309	0.309	506.0	GigabitEthernet0/0	6982.0	9620.0
london	madrid	IpWildcardIpSpace{ipWildcard=200.1.56.0/24}	sat	25	337	337.0	337.0	337.0	0.336	0.336	0.336	467.0	GigabitEthernet0/0	6982.0	9620.0
peeramsterdam0	stockholm	IpWildcardIpSpace{ipWildcard=200.1.33.0/24}	sat	478	2563	584.0	584.0	584.0	0.583	0.583	0.583	468.0	GigabitEthernet0/0	6982.0	9620.0
warsaw	milan	IpWildcardIpSpace{ipWildcard=200.1.40.0/24}	sat	12	144	316.0	316.0	316.0	0.315	0.315	0.315	474.0	GigabitEthernet0/0	6982.0	9620.0
paris	peerfrankfurt7	IpWildcardIpSpace{ipWildcard=200.1.27.0/24}	sat	492	3446	577.0	577.0	577.0	0.576	0.576	0.576	477.0	GigabitEthernet0/0	6982.0	9620.0
