srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
praha	barcelona	IpWildcardIpSpace{ipWildcard=200.1.35.0/24}	sat	828	3501	677.0	677.0	677.0	0.677	0.677	0.677	559.0	GigabitEthernet0/0	6602.0	9254.0
brussels	peerbrussels4	IpWildcardIpSpace{ipWildcard=200.1.28.0/24}	sat	1274	4177	734.0	734.0	734.0	0.733	0.733	0.733	514.0	GigabitEthernet0/0	6602.0	9254.0
peerbarcelona1	peerbasel2	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	sat	849	3365	607.0	607.0	607.0	0.606	0.606	0.606	487.0	GigabitEthernet0/0	6602.0	9254.0
peerbrussels5	peermilan14	IpWildcardIpSpace{ipWildcard=200.1.62.0/24}	sat	1285	4613	817.0	817.0	817.0	0.816	0.816	0.816	463.0	GigabitEthernet0/0	6602.0	9254.0
peerbasel3	peergeneva9	IpWildcardIpSpace{ipWildcard=200.1.54.0/24}	sat	713	2577	579.0	579.0	579.0	0.578	0.578	0.578	500.0	GigabitEthernet0/0	6602.0	9254.0
zagreb	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	1146	3420	730.0	730.0	730.0	0.729	0.729	0.729	473.0	GigabitEthernet0/0	6602.0	9254.0
peerbrussels4	vienna	IpWildcardIpSpace{ipWildcard=200.1.48.0/24}	sat	930	3596	650.0	650.0	650.0	0.649	0.649	0.649	469.0	GigabitEthernet0/0	6602.0	9254.0
madrid	peermarseille13	IpWildcardIpSpace{ipWildcard=200.1.19.0/24}	sat	1097	3697	704.0	704.0	704.0	0.703	0.703	0.703	491.0	GigabitEthernet0/0	6602.0	9254.0
athens	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	1133	3971	760.0	760.0	760.0	0.759	0.759	0.759	471.0	GigabitEthernet0/0	6602.0	9254.0
peerfrankfurt7	ljubjana	IpWildcardIpSpace{ipWildcard=200.1.60.0/24}	sat	831	3172	666.0	666.0	666.0	0.666	0.666	0.666	487.0	GigabitEthernet0/0	6602.0	9254.0
brussels	praha	IpWildcardIpSpace{ipWildcard=200.1.24.0/24}	sat	1194	4355	828.0	828.0	828.0	0.827	0.827	0.827	477.0	GigabitEthernet0/0	6602.0	9254.0
strasbourg	bratislava	IpWildcardIpSpace{ipWildcard=200.1.44.0/24}	sat	929	3281	668.0	668.0	668.0	0.667	0.667	0.667	472.0	GigabitEthernet0/0	6602.0	9254.0
peeristanbul10	marseille	IpWildcardIpSpace{ipWildcard=200.1.50.0/24}	sat	1057	3628	754.0	754.0	754.0	0.753	0.753	0.753	492.0	GigabitEthernet0/0	6602.0	9254.0
luxembourg	dublin	IpWildcardIpSpace{ipWildcard=200.1.52.0/24}	sat	840	3457	656.0	656.0	656.0	0.655	0.655	0.655	481.0	GigabitEthernet0/0	6602.0	9254.0
paris	basel	IpWildcardIpSpace{ipWildcard=200.1.25.0/24}	sat	980	3085	710.0	710.0	710.0	0.709	0.709	0.709	474.0	GigabitEthernet0/0	6602.0	9254.0
peerbrussels6	peergeneva8	IpWildcardIpSpace{ipWildcard=200.1.55.0/24}	sat	1126	3798	750.0	750.0	750.0	0.749	0.749	0.749	469.0	GigabitEthernet0/0	6602.0	9254.0
