srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
praha	barcelona	IpWildcardIpSpace{ipWildcard=200.1.35.0/24}	sat	1290	6393	942.0	942.0	942.0	0.941	0.941	0.941	544.0	GigabitEthernet0/0	6982.0	9620.0
brussels	peerbrussels4	IpWildcardIpSpace{ipWildcard=200.1.28.0/24}	sat	1671	7082	996.0	996.0	996.0	0.995	0.995	0.995	494.0	GigabitEthernet0/0	6982.0	9620.0
peerbarcelona1	peerbasel2	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	sat	2468	8772	1438.0	1438.0	1438.0	1.437	1.437	1.437	484.0	GigabitEthernet0/0	6982.0	9620.0
peerbrussels5	peermilan14	IpWildcardIpSpace{ipWildcard=200.1.62.0/24}	sat	3366	9760	1776.0	1776.0	1776.0	1.775	1.775	1.775	500.0	GigabitEthernet0/0	6982.0	9620.0
peerbasel3	peergeneva9	IpWildcardIpSpace{ipWildcard=200.1.54.0/24}	sat	2076	7999	1224.0	1224.0	1224.0	1.224	1.224	1.224	499.0	GigabitEthernet0/0	6982.0	9620.0
zagreb	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	1743	7180	1065.0	1065.0	1065.0	1.064	1.064	1.064	478.0	GigabitEthernet0/0	6982.0	9620.0
peerbrussels4	vienna	IpWildcardIpSpace{ipWildcard=200.1.48.0/24}	sat	1240	4642	860.0	860.0	860.0	0.859	0.859	0.859	504.0	GigabitEthernet0/0	6982.0	9620.0
madrid	peermarseille13	IpWildcardIpSpace{ipWildcard=200.1.19.0/24}	sat	663	4832	634.0	634.0	634.0	0.633	0.633	0.633	491.0	GigabitEthernet0/0	6982.0	9620.0
athens	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	2477	9369	1599.0	1599.0	1599.0	1.599	1.599	1.599	480.0	GigabitEthernet0/0	6982.0	9620.0
peerfrankfurt7	ljubjana	IpWildcardIpSpace{ipWildcard=200.1.60.0/24}	sat	1071	6530	957.0	957.0	957.0	0.957	0.957	0.957	481.0	GigabitEthernet0/0	6982.0	9620.0
brussels	praha	IpWildcardIpSpace{ipWildcard=200.1.24.0/24}	sat	1247	6029	996.0	996.0	996.0	0.995	0.995	0.995	488.0	GigabitEthernet0/0	6982.0	9620.0
strasbourg	bratislava	IpWildcardIpSpace{ipWildcard=200.1.44.0/24}	sat	1774	6853	1169.0	1169.0	1169.0	1.168	1.168	1.168	476.0	GigabitEthernet0/0	6982.0	9620.0
