srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
praha	barcelona	IpWildcardIpSpace{ipWildcard=200.1.35.0/24}	unsat	1399	3070	927.0	927.0	927.0	0.926	0.926	0.926	509.0	GigabitEthernet0/0	6602.0	9254.0
brussels	peerbrussels4	IpWildcardIpSpace{ipWildcard=200.1.28.0/24}	unsat	923	3061	730.0	730.0	730.0	0.729	0.729	0.729	508.0	GigabitEthernet0/0	6602.0	9254.0
peerbarcelona1	peerbasel2	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	unsat	1087	3841	915.0	915.0	915.0	0.914	0.914	0.914	482.0	GigabitEthernet0/0	6602.0	9254.0
peerbrussels5	peermilan14	IpWildcardIpSpace{ipWildcard=200.1.62.0/24}	unsat	784	3285	811.0	811.0	811.0	0.811	0.811	0.811	489.0	GigabitEthernet0/0	6602.0	9254.0
peerbasel3	peergeneva9	IpWildcardIpSpace{ipWildcard=200.1.54.0/24}	unsat	837	2596	643.0	643.0	643.0	0.642	0.642	0.642	488.0	GigabitEthernet0/0	6602.0	9254.0
zagreb	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	unsat	1027	3075	752.0	752.0	752.0	0.752	0.752	0.752	488.0	GigabitEthernet0/0	6602.0	9254.0
peerbrussels4	vienna	IpWildcardIpSpace{ipWildcard=200.1.48.0/24}	unsat	884	2894	779.0	779.0	779.0	0.779	0.779	0.779	481.0	GigabitEthernet0/0	6602.0	9254.0
madrid	peermarseille13	IpWildcardIpSpace{ipWildcard=200.1.19.0/24}	unsat	976	3277	937.0	937.0	937.0	0.936	0.936	0.936	478.0	GigabitEthernet0/0	6602.0	9254.0
athens	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	unsat	1534	4334	984.0	984.0	984.0	0.984	0.984	0.984	479.0	GigabitEthernet0/0	6602.0	9254.0
peerfrankfurt7	ljubjana	IpWildcardIpSpace{ipWildcard=200.1.60.0/24}	unsat	1166	2930	929.0	929.0	929.0	0.929	0.929	0.929	472.0	GigabitEthernet0/0	6602.0	9254.0
brussels	praha	IpWildcardIpSpace{ipWildcard=200.1.24.0/24}	unsat	939	3445	908.0	908.0	908.0	0.907	0.907	0.907	476.0	GigabitEthernet0/0	6602.0	9254.0
strasbourg	bratislava	IpWildcardIpSpace{ipWildcard=200.1.44.0/24}	unsat	1451	3830	952.0	952.0	952.0	0.952	0.952	0.952	474.0	GigabitEthernet0/0	6602.0	9254.0
peeristanbul10	marseille	IpWildcardIpSpace{ipWildcard=200.1.50.0/24}	unsat	997	2989	993.0	993.0	993.0	0.992	0.992	0.992	492.0	GigabitEthernet0/0	6602.0	9254.0
luxembourg	dublin	IpWildcardIpSpace{ipWildcard=200.1.52.0/24}	unsat	1025	2942	834.0	834.0	834.0	0.834	0.834	0.834	466.0	GigabitEthernet0/0	6602.0	9254.0
paris	basel	IpWildcardIpSpace{ipWildcard=200.1.25.0/24}	unsat	719	2838	755.0	755.0	755.0	0.755	0.755	0.755	476.0	GigabitEthernet0/0	6602.0	9254.0
peerbrussels6	peergeneva8	IpWildcardIpSpace{ipWildcard=200.1.55.0/24}	unsat	723	2583	716.0	716.0	716.0	0.716	0.716	0.716	469.0	GigabitEthernet0/0	6602.0	9254.0
peerstrasbourg15	zurich	IpWildcardIpSpace{ipWildcard=200.1.66.0/24}	unsat	1276	3490	895.0	895.0	895.0	0.894	0.894	0.894	477.0	GigabitEthernet0/0	6602.0	9254.0
istanbul	rotterdam	IpWildcardIpSpace{ipWildcard=200.1.42.0/24}	unsat	1170	3275	893.0	893.0	893.0	0.893	0.893	0.893	473.0	GigabitEthernet0/0	6602.0	9254.0
barcelona	warsaw	IpWildcardIpSpace{ipWildcard=200.1.67.0/24}	unsat	1105	3600	891.0	891.0	891.0	0.891	0.891	0.891	469.0	GigabitEthernet0/0	6602.0	9254.0
peerbasel2	warsaw	IpWildcardIpSpace{ipWildcard=200.1.67.0/24}	unsat	950	3244	776.0	776.0	776.0	0.775	0.775	0.775	469.0	GigabitEthernet0/0	6602.0	9254.0
frankfurt	zurich	IpWildcardIpSpace{ipWildcard=200.1.66.0/24}	unsat	1157	3338	868.0	868.0	868.0	0.868	0.868	0.868	475.0	GigabitEthernet0/0	6602.0	9254.0
peeramsterdam0	peermarseille13	IpWildcardIpSpace{ipWildcard=200.1.19.0/24}	unsat	900	3612	816.0	816.0	816.0	0.816	0.816	0.816	465.0	GigabitEthernet0/0	6602.0	9254.0
athens	geneva	IpWildcardIpSpace{ipWildcard=200.1.58.0/24}	unsat	1089	3223	799.0	799.0	799.0	0.798	0.798	0.798	480.0	GigabitEthernet0/0	6602.0	9254.0
strasbourg	geneva	IpWildcardIpSpace{ipWildcard=200.1.58.0/24}	unsat	768	2453	648.0	648.0	648.0	0.647	0.647	0.647	492.0	GigabitEthernet0/0	6602.0	9254.0
peerbrussels5	praha	IpWildcardIpSpace{ipWildcard=200.1.24.0/24}	unsat	849	3160	787.0	787.0	787.0	0.787	0.787	0.787	472.0	GigabitEthernet0/0	6602.0	9254.0
istanbul	zurich	IpWildcardIpSpace{ipWildcard=200.1.66.0/24}	unsat	1084	3418	834.0	834.0	834.0	0.833	0.833	0.833	470.0	GigabitEthernet0/0	6602.0	9254.0
strasbourg	peerstrasbourg15	IpWildcardIpSpace{ipWildcard=200.1.63.0/24}	unsat	886	3248	770.0	770.0	770.0	0.77	0.77	0.77	466.0	GigabitEthernet0/0	6602.0	9254.0
budapest	bucharest	IpWildcardIpSpace{ipWildcard=200.1.36.0/24}	unsat	650	2352	692.0	692.0	692.0	0.691	0.691	0.691	469.0	GigabitEthernet0/0	6602.0	9254.0
peerbrussels5	lisbon	IpWildcardIpSpace{ipWildcard=200.1.32.0/24}	unsat	957	2546	770.0	770.0	770.0	0.769	0.769	0.769	465.0	GigabitEthernet0/0	6602.0	9254.0
peerbrussels4	sofia	IpWildcardIpSpace{ipWildcard=200.1.65.0/24}	unsat	1707	3691	1149.0	1149.0	1149.0	1.149	1.149	1.149	467.0	GigabitEthernet0/0	6602.0	9254.0
lyon	kiev	IpWildcardIpSpace{ipWildcard=200.1.34.0/24}	unsat	1433	3523	888.0	888.0	888.0	0.887	0.887	0.887	472.0	GigabitEthernet0/0	6602.0	9254.0
rotterdam	sofia	IpWildcardIpSpace{ipWildcard=200.1.65.0/24}	unsat	1488	3235	1001.0	1001.0	1001.0	1.001	1.001	1.001	463.0	GigabitEthernet0/0	6602.0	9254.0
budapest	lisbon	IpWildcardIpSpace{ipWildcard=200.1.32.0/24}	unsat	1525	3717	946.0	946.0	946.0	0.945	0.945	0.945	461.0	GigabitEthernet0/0	6602.0	9254.0
kiev	paris	IpWildcardIpSpace{ipWildcard=200.1.22.0/24}	unsat	1153	3632	749.0	749.0	749.0	0.748	0.748	0.748	473.0	GigabitEthernet0/0	6602.0	9254.0
amsterdam	peerfrankfurt7	IpWildcardIpSpace{ipWildcard=200.1.27.0/24}	unsat	1030	3210	761.0	761.0	761.0	0.76	0.76	0.76	461.0	GigabitEthernet0/0	6602.0	9254.0
peermarseille12	vienna	IpWildcardIpSpace{ipWildcard=200.1.48.0/24}	unsat	684	2786	657.0	657.0	657.0	0.657	0.657	0.657	461.0	GigabitEthernet0/0	6602.0	9254.0
rotterdam	peerbrussels6	IpWildcardIpSpace{ipWildcard=200.1.30.0/24}	unsat	824	3073	724.0	724.0	724.0	0.723	0.723	0.723	460.0	GigabitEthernet0/0	6602.0	9254.0
london	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	unsat	1869	4644	944.0	944.0	944.0	0.943	0.943	0.943	460.0	GigabitEthernet0/0	6602.0	9254.0
zagreb	dublin	IpWildcardIpSpace{ipWildcard=200.1.52.0/24}	unsat	1436	3368	838.0	838.0	838.0	0.838	0.838	0.838	462.0	GigabitEthernet0/0	6602.0	9254.0
warsaw	peeramsterdam0	IpWildcardIpSpace{ipWildcard=200.1.57.0/24}	unsat	1343	3084	898.0	898.0	898.0	0.897	0.897	0.897	463.0	GigabitEthernet0/0	6602.0	9254.0
peerkiev11	bratislava	IpWildcardIpSpace{ipWildcard=200.1.44.0/24}	unsat	993	3382	754.0	754.0	754.0	0.754	0.754	0.754	470.0	GigabitEthernet0/0	6602.0	9254.0
zagreb	budapest	IpWildcardIpSpace{ipWildcard=200.1.38.0/24}	unsat	851	3142	775.0	775.0	775.0	0.774	0.774	0.774	467.0	GigabitEthernet0/0	6602.0	9254.0
vienna	geneva	IpWildcardIpSpace{ipWildcard=200.1.58.0/24}	unsat	872	2650	726.0	726.0	726.0	0.725	0.725	0.725	476.0	GigabitEthernet0/0	6602.0	9254.0
bucharest	rotterdam	IpWildcardIpSpace{ipWildcard=200.1.42.0/24}	unsat	892	2887	686.0	686.0	686.0	0.685	0.685	0.685	456.0	GigabitEthernet0/0	6602.0	9254.0
stockholm	frankfurt	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	781	2927	695.0	695.0	695.0	0.694	0.694	0.694	460.0	GigabitEthernet0/0	6602.0	9254.0
peermarseille13	lyon	IpWildcardIpSpace{ipWildcard=200.1.49.0/24}	unsat	554	2164	587.0	587.0	587.0	0.587	0.587	0.587	465.0	GigabitEthernet0/0	6602.0	9254.0
london	madrid	IpWildcardIpSpace{ipWildcard=200.1.56.0/24}	unsat	697	2423	646.0	646.0	646.0	0.645	0.645	0.645	463.0	GigabitEthernet0/0	6602.0	9254.0
peeramsterdam0	stockholm	IpWildcardIpSpace{ipWildcard=200.1.33.0/24}	unsat	766	2938	672.0	672.0	672.0	0.671	0.671	0.671	460.0	GigabitEthernet0/0	6602.0	9254.0
warsaw	milan	IpWildcardIpSpace{ipWildcard=200.1.40.0/24}	unsat	1006	3295	785.0	785.0	785.0	0.784	0.784	0.784	469.0	GigabitEthernet0/0	6602.0	9254.0
