srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
praha	barcelona	IpWildcardIpSpace{ipWildcard=200.1.35.0/24}	sat	0	10	298.0	298.0	298.0	0.298	0.298	0.298	497.0	GigabitEthernet0/0	6982.0	9620.0
brussels	peerbrussels4	IpWildcardIpSpace{ipWildcard=200.1.28.0/24}	sat	0	68	308.0	308.0	308.0	0.307	0.307	0.307	485.0	GigabitEthernet0/0	6982.0	9620.0
peerbarcelona1	peerbasel2	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	sat	0	68	322.0	322.0	322.0	0.321	0.321	0.321	502.0	GigabitEthernet0/0	6982.0	9620.0
peerbrussels5	peermilan14	IpWildcardIpSpace{ipWildcard=200.1.62.0/24}	sat	0	69	310.0	310.0	310.0	0.31	0.31	0.31	501.0	GigabitEthernet0/0	6982.0	9620.0
peerbasel3	peergeneva9	IpWildcardIpSpace{ipWildcard=200.1.54.0/24}	sat	0	68	317.0	317.0	317.0	0.316	0.316	0.316	519.0	GigabitEthernet0/0	6982.0	9620.0
zagreb	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	0	69	375.0	375.0	375.0	0.374	0.374	0.374	543.0	GigabitEthernet0/0	6982.0	9620.0
peerbrussels4	vienna	IpWildcardIpSpace{ipWildcard=200.1.48.0/24}	sat	0	11	324.0	324.0	324.0	0.323	0.323	0.323	497.0	GigabitEthernet0/0	6982.0	9620.0
madrid	peermarseille13	IpWildcardIpSpace{ipWildcard=200.1.19.0/24}	sat	0	68	343.0	343.0	343.0	0.342	0.342	0.342	491.0	GigabitEthernet0/0	6982.0	9620.0
athens	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	0	69	313.0	313.0	313.0	0.313	0.313	0.313	475.0	GigabitEthernet0/0	6982.0	9620.0
peerfrankfurt7	ljubjana	IpWildcardIpSpace{ipWildcard=200.1.60.0/24}	sat	0	68	343.0	343.0	343.0	0.342	0.342	0.342	479.0	GigabitEthernet0/0	6982.0	9620.0
brussels	praha	IpWildcardIpSpace{ipWildcard=200.1.24.0/24}	sat	0	13	360.0	360.0	360.0	0.36	0.36	0.36	481.0	GigabitEthernet0/0	6982.0	9620.0
strasbourg	bratislava	IpWildcardIpSpace{ipWildcard=200.1.44.0/24}	sat	0	10	324.0	324.0	324.0	0.324	0.324	0.324	477.0	GigabitEthernet0/0	6982.0	9620.0
peeristanbul10	marseille	IpWildcardIpSpace{ipWildcard=200.1.50.0/24}	sat	1462	4956	1286.0	1286.0	1286.0	1.285	1.285	1.285	484.0	GigabitEthernet0/0	6982.0	9620.0
luxembourg	dublin	IpWildcardIpSpace{ipWildcard=200.1.52.0/24}	sat	0	69	330.0	330.0	330.0	0.329	0.329	0.329	462.0	GigabitEthernet0/0	6982.0	9620.0
paris	basel	IpWildcardIpSpace{ipWildcard=200.1.25.0/24}	sat	0	13	326.0	326.0	326.0	0.325	0.325	0.325	508.0	GigabitEthernet0/0	6982.0	9620.0
peerbrussels6	peergeneva8	IpWildcardIpSpace{ipWildcard=200.1.55.0/24}	sat	0	68	386.0	386.0	386.0	0.386	0.386	0.386	480.0	GigabitEthernet0/0	6982.0	9620.0
peerstrasbourg15	zurich	IpWildcardIpSpace{ipWildcard=200.1.66.0/24}	sat	2997	8934	1942.0	1942.0	1942.0	1.941	1.941	1.941	479.0	GigabitEthernet0/0	6982.0	9620.0
istanbul	rotterdam	IpWildcardIpSpace{ipWildcard=200.1.42.0/24}	sat	0	68	343.0	343.0	343.0	0.342	0.342	0.342	472.0	GigabitEthernet0/0	6982.0	9620.0
barcelona	warsaw	IpWildcardIpSpace{ipWildcard=200.1.67.0/24}	sat	0	10	329.0	329.0	329.0	0.329	0.329	0.329	474.0	GigabitEthernet0/0	6982.0	9620.0
peerbasel2	warsaw	IpWildcardIpSpace{ipWildcard=200.1.67.0/24}	sat	0	10	328.0	328.0	328.0	0.327	0.327	0.327	477.0	GigabitEthernet0/0	6982.0	9620.0
frankfurt	zurich	IpWildcardIpSpace{ipWildcard=200.1.66.0/24}	unsat	104291	178205	61142.0	61142.0	61142.0	61.141	61.141	61.141	469.0	GigabitEthernet0/0	6982.0	9620.0
peeramsterdam0	peermarseille13	IpWildcardIpSpace{ipWildcard=200.1.19.0/24}	sat	0	68	313.0	313.0	313.0	0.313	0.313	0.313	476.0	GigabitEthernet0/0	6982.0	9620.0
athens	geneva	IpWildcardIpSpace{ipWildcard=200.1.58.0/24}	sat	12982	34269	6150.0	6150.0	6150.0	6.149	6.149	6.149	480.0	GigabitEthernet0/0	6982.0	9620.0
strasbourg	geneva	IpWildcardIpSpace{ipWildcard=200.1.58.0/24}	sat	4897	14400	2838.0	2838.0	2838.0	2.837	2.837	2.837	479.0	GigabitEthernet0/0	6982.0	9620.0
peerbrussels5	praha	IpWildcardIpSpace{ipWildcard=200.1.24.0/24}	sat	0	12	322.0	322.0	322.0	0.322	0.322	0.322	482.0	GigabitEthernet0/0	6982.0	9620.0
istanbul	zurich	IpWildcardIpSpace{ipWildcard=200.1.66.0/24}	sat	46040	103806	26011.0	26011.0	26011.0	26.01	26.01	26.01	487.0	GigabitEthernet0/0	6982.0	9620.0
strasbourg	peerstrasbourg15	IpWildcardIpSpace{ipWildcard=200.1.63.0/24}	sat	0	68	329.0	329.0	329.0	0.329	0.329	0.329	478.0	GigabitEthernet0/0	6982.0	9620.0
budapest	bucharest	IpWildcardIpSpace{ipWildcard=200.1.36.0/24}	sat	0	11	320.0	320.0	320.0	0.319	0.319	0.319	478.0	GigabitEthernet0/0	6982.0	9620.0
peerbrussels5	lisbon	IpWildcardIpSpace{ipWildcard=200.1.32.0/24}	sat	0	69	321.0	321.0	321.0	0.321	0.321	0.321	469.0	GigabitEthernet0/0	6982.0	9620.0
peerbrussels4	sofia	IpWildcardIpSpace{ipWildcard=200.1.65.0/24}	sat	0	68	322.0	322.0	322.0	0.321	0.321	0.321	474.0	GigabitEthernet0/0	6982.0	9620.0
lyon	kiev	IpWildcardIpSpace{ipWildcard=200.1.34.0/24}	sat	0	10	308.0	308.0	308.0	0.307	0.307	0.307	473.0	GigabitEthernet0/0	6982.0	9620.0
rotterdam	sofia	IpWildcardIpSpace{ipWildcard=200.1.65.0/24}	sat	0	68	306.0	306.0	306.0	0.306	0.306	0.306	473.0	GigabitEthernet0/0	6982.0	9620.0
budapest	lisbon	IpWildcardIpSpace{ipWildcard=200.1.32.0/24}	sat	0	69	312.0	312.0	312.0	0.311	0.311	0.311	468.0	GigabitEthernet0/0	6982.0	9620.0
kiev	paris	IpWildcardIpSpace{ipWildcard=200.1.22.0/24}	sat	67171	177233	33530.0	33530.0	33530.0	33.529	33.529	33.529	485.0	GigabitEthernet0/0	6982.0	9620.0
amsterdam	peerfrankfurt7	IpWildcardIpSpace{ipWildcard=200.1.27.0/24}	sat	0	68	312.0	312.0	312.0	0.311	0.311	0.311	473.0	GigabitEthernet0/0	6982.0	9620.0
peermarseille12	vienna	IpWildcardIpSpace{ipWildcard=200.1.48.0/24}	sat	0	11	298.0	298.0	298.0	0.298	0.298	0.298	469.0	GigabitEthernet0/0	6982.0	9620.0
rotterdam	peerbrussels6	IpWildcardIpSpace{ipWildcard=200.1.30.0/24}	sat	0	68	302.0	302.0	302.0	0.302	0.302	0.302	477.0	GigabitEthernet0/0	6982.0	9620.0
london	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	0	69	325.0	325.0	325.0	0.325	0.325	0.325	472.0	GigabitEthernet0/0	6982.0	9620.0
zagreb	dublin	IpWildcardIpSpace{ipWildcard=200.1.52.0/24}	sat	0	68	313.0	313.0	313.0	0.312	0.312	0.312	466.0	GigabitEthernet0/0	6982.0	9620.0
warsaw	peeramsterdam0	IpWildcardIpSpace{ipWildcard=200.1.57.0/24}	sat	0	68	291.0	291.0	291.0	0.291	0.291	0.291	468.0	GigabitEthernet0/0	6982.0	9620.0
peerkiev11	bratislava	IpWildcardIpSpace{ipWildcard=200.1.44.0/24}	sat	0	9	306.0	306.0	306.0	0.305	0.305	0.305	472.0	GigabitEthernet0/0	6982.0	9620.0
zagreb	budapest	IpWildcardIpSpace{ipWildcard=200.1.38.0/24}	sat	1506	5344	1301.0	1301.0	1301.0	1.301	1.301	1.301	476.0	GigabitEthernet0/0	6982.0	9620.0
