srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
praha	barcelona	IpWildcardIpSpace{ipWildcard=200.1.35.0/24}	unsat	1368	4122	761.0	761.0	761.0	0.761	0.761	0.761	511.0	GigabitEthernet0/0	6602.0	9254.0
brussels	peerbrussels4	IpWildcardIpSpace{ipWildcard=200.1.28.0/24}	unsat	1036	3299	637.0	637.0	637.0	0.636	0.636	0.636	471.0	GigabitEthernet0/0	6602.0	9254.0
peerbarcelona1	peerbasel2	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	unsat	795	2748	557.0	557.0	557.0	0.556	0.556	0.556	543.0	GigabitEthernet0/0	6602.0	9254.0
peerbrussels5	peermilan14	IpWildcardIpSpace{ipWildcard=200.1.62.0/24}	unsat	1009	3570	669.0	669.0	669.0	0.668	0.668	0.668	486.0	GigabitEthernet0/0	6602.0	9254.0
peerbasel3	peergeneva9	IpWildcardIpSpace{ipWildcard=200.1.54.0/24}	unsat	1022	3737	688.0	688.0	688.0	0.687	0.687	0.687	480.0	GigabitEthernet0/0	6602.0	9254.0
zagreb	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	unsat	1232	4462	807.0	807.0	807.0	0.806	0.806	0.806	536.0	GigabitEthernet0/0	6602.0	9254.0
peerbrussels4	vienna	IpWildcardIpSpace{ipWildcard=200.1.48.0/24}	unsat	1090	3449	711.0	711.0	711.0	0.711	0.711	0.711	477.0	GigabitEthernet0/0	6602.0	9254.0
madrid	peermarseille13	IpWildcardIpSpace{ipWildcard=200.1.19.0/24}	unsat	1090	3782	737.0	737.0	737.0	0.736	0.736	0.736	485.0	GigabitEthernet0/0	6602.0	9254.0
athens	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	unsat	1344	4171	789.0	789.0	789.0	0.788	0.788	0.788	469.0	GigabitEthernet0/0	6602.0	9254.0
peerfrankfurt7	ljubjana	IpWildcardIpSpace{ipWildcard=200.1.60.0/24}	unsat	1081	3647	800.0	800.0	800.0	0.798	0.798	0.798	476.0	GigabitEthernet0/0	6602.0	9254.0
