srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
memphis	jackson	IpWildcardIpSpace{ipWildcard=200.0.75.0/24}	sat	25	511	1399.0	1399.0	1399.0	1.398	1.398	1.398	1309.0	GigabitEthernet0/0	20349.0	30456.0
orlando	newark	IpWildcardIpSpace{ipWildcard=200.0.118.0/24}	sat	492	8051	3206.0	3206.0	3206.0	3.205	3.205	3.205	1298.0	GigabitEthernet0/0	20349.0	30456.0
copenhagen	constanta	IpWildcardIpSpace{ipWildcard=200.0.41.0/24}	sat	67	1570	1729.0	1729.0	1729.0	1.729	1.729	1.729	1231.0	GigabitEthernet0/0	20349.0	30456.0
stamford	minneapolis	IpWildcardIpSpace{ipWildcard=200.0.109.0/24}	sat	24	691	1488.0	1488.0	1488.0	1.487	1.487	1.487	1244.0	GigabitEthernet0/0	20349.0	30456.0
caen	dublin	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	sat	62	1442	1618.0	1618.0	1618.0	1.617	1.617	1.617	1217.0	GigabitEthernet0/0	20349.0	30456.0
vienna	poiters	IpWildcardIpSpace{ipWildcard=200.0.148.0/24}	sat	14	298	1415.0	1415.0	1415.0	1.414	1.414	1.414	1316.0	GigabitEthernet0/0	20349.0	30456.0
stockholm	dallas	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	sat	28	536	1563.0	1563.0	1563.0	1.563	1.563	1.563	1306.0	GigabitEthernet0/0	20349.0	30456.0
cleveland	nodeid172	IpWildcardIpSpace{ipWildcard=200.0.129.0/24}	sat	20	498	1485.0	1485.0	1485.0	1.484	1.484	1.484	1232.0	GigabitEthernet0/0	20349.0	30456.0
lyon	dijon	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	sat	103	2013	1988.0	1988.0	1988.0	1.988	1.988	1.988	1410.0	GigabitEthernet0/0	20349.0	30456.0
toronto	sofia	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	sat	57	1229	1890.0	1890.0	1890.0	1.889	1.889	1.889	1246.0	GigabitEthernet0/0	20349.0	30456.0
krakow	charlotte	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	14	383	1426.0	1426.0	1426.0	1.425	1.425	1.425	1290.0	GigabitEthernet0/0	20349.0	30456.0
monterrey	greensboro	IpWildcardIpSpace{ipWildcard=200.0.65.0/24}	sat	17	333	1399.0	1399.0	1399.0	1.399	1.399	1.399	1280.0	GigabitEthernet0/0	20349.0	30456.0
jacksonville	detroit	IpWildcardIpSpace{ipWildcard=200.0.47.0/24}	sat	1468	18280	6214.0	6214.0	6214.0	6.214	6.214	6.214	1265.0	GigabitEthernet0/0	20349.0	30456.0
herndon	oslo	IpWildcardIpSpace{ipWildcard=200.0.141.0/24}	sat	32	670	1552.0	1552.0	1552.0	1.551	1.551	1.551	1286.0	GigabitEthernet0/0	20349.0	30456.0
santtdiego	genoa	IpWildcardIpSpace{ipWildcard=200.0.61.0/24}	sat	15	452	1497.0	1497.0	1497.0	1.496	1.496	1.496	1319.0	GigabitEthernet0/0	20349.0	30456.0
