srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
memphis	jackson	IpWildcardIpSpace{ipWildcard=200.0.75.0/24}	sat	8780	43527	10837.0	10837.0	10837.0	10.836	10.836	10.836	1489.0	GigabitEthernet0/0	20349.0	30456.0
orlando	newark	IpWildcardIpSpace{ipWildcard=200.0.118.0/24}	sat	10041	45544	13878.0	13878.0	13878.0	13.877	13.877	13.877	1240.0	GigabitEthernet0/0	20349.0	30456.0
copenhagen	constanta	IpWildcardIpSpace{ipWildcard=200.0.41.0/24}	sat	8791	42853	12282.0	12282.0	12282.0	12.281	12.281	12.281	1257.0	GigabitEthernet0/0	20349.0	30456.0
stamford	minneapolis	IpWildcardIpSpace{ipWildcard=200.0.109.0/24}	sat	8038	47055	11661.0	11661.0	11661.0	11.66	11.66	11.66	1235.0	GigabitEthernet0/0	20349.0	30456.0
caen	dublin	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	sat	8650	48820	10458.0	10458.0	10458.0	10.457	10.457	10.457	1219.0	GigabitEthernet0/0	20349.0	30456.0
vienna	poiters	IpWildcardIpSpace{ipWildcard=200.0.148.0/24}	sat	7141	32247	8148.0	8148.0	8148.0	8.147	8.147	8.147	1230.0	GigabitEthernet0/0	20349.0	30456.0
stockholm	dallas	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	sat	8575	45518	11468.0	11468.0	11468.0	11.468	11.468	11.468	1232.0	GigabitEthernet0/0	20349.0	30456.0
cleveland	nodeid172	IpWildcardIpSpace{ipWildcard=200.0.129.0/24}	sat	9136	52925	12994.0	12994.0	12994.0	12.992	12.992	12.992	1280.0	GigabitEthernet0/0	20349.0	30456.0
lyon	dijon	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	sat	9060	52956	14513.0	14513.0	14513.0	14.512	14.512	14.512	1416.0	GigabitEthernet0/0	20349.0	30456.0
toronto	sofia	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	sat	7037	42116	9911.0	9911.0	9911.0	9.91	9.91	9.91	1326.0	GigabitEthernet0/0	20349.0	30456.0
krakow	charlotte	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	7842	36216	9961.0	9961.0	9961.0	9.96	9.96	9.96	1279.0	GigabitEthernet0/0	20349.0	30456.0
monterrey	greensboro	IpWildcardIpSpace{ipWildcard=200.0.65.0/24}	sat	6209	37813	9371.0	9371.0	9371.0	9.37	9.37	9.37	1267.0	GigabitEthernet0/0	20349.0	30456.0
jacksonville	detroit	IpWildcardIpSpace{ipWildcard=200.0.47.0/24}	sat	8039	50953	10651.0	10651.0	10651.0	10.65	10.65	10.65	1271.0	GigabitEthernet0/0	20349.0	30456.0
herndon	oslo	IpWildcardIpSpace{ipWildcard=200.0.141.0/24}	sat	8884	43695	14226.0	14226.0	14226.0	14.225	14.225	14.225	1279.0	GigabitEthernet0/0	20349.0	30456.0
santtdiego	genoa	IpWildcardIpSpace{ipWildcard=200.0.61.0/24}	sat	12012	53811	15603.0	15603.0	15603.0	15.602	15.602	15.602	1201.0	GigabitEthernet0/0	20349.0	30456.0
rotterdam	murcia	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	sat	9694	41906	12512.0	12512.0	12512.0	12.511	12.511	12.511	1212.0	GigabitEthernet0/0	20349.0	30456.0
worcester	sofia	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	sat	7037	42116	9515.0	9515.0	9515.0	9.515	9.515	9.515	1294.0	GigabitEthernet0/0	20349.0	30456.0
florence	santattclara	IpWildcardIpSpace{ipWildcard=200.0.163.0/24}	sat	9009	47233	13362.0	13362.0	13362.0	13.361	13.361	13.361	1270.0	GigabitEthernet0/0	20349.0	30456.0
logrono	chicago	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	sat	7294	39993	9725.0	9725.0	9725.0	9.725	9.725	9.725	1196.0	GigabitEthernet0/0	20349.0	30456.0
worcester	bratislava	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	8714	49137	12615.0	12615.0	12615.0	12.614	12.614	12.614	1268.0	GigabitEthernet0/0	20349.0	30456.0
dortmund	oslo	IpWildcardIpSpace{ipWildcard=200.0.141.0/24}	sat	8884	43695	14224.0	14224.0	14224.0	14.223	14.223	14.223	1253.0	GigabitEthernet0/0	20349.0	30456.0
avila	nodeid150	IpWildcardIpSpace{ipWildcard=200.0.127.0/24}	sat	7866	45110	10461.0	10461.0	10461.0	10.46	10.46	10.46	1267.0	GigabitEthernet0/0	20349.0	30456.0
