srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
memphis	jackson	IpWildcardIpSpace{ipWildcard=200.0.75.0/24}	sat	24	1352	1566.0	1566.0	1566.0	1.564	1.564	1.564	1551.0	GigabitEthernet0/0	20745.0	31250.0
orlando	newark	IpWildcardIpSpace{ipWildcard=200.0.118.0/24}	sat	173	6247	2526.0	2526.0	2526.0	2.525	2.525	2.525	1223.0	GigabitEthernet0/0	20745.0	31250.0
copenhagen	constanta	IpWildcardIpSpace{ipWildcard=200.0.41.0/24}	sat	45	1539	1760.0	1760.0	1760.0	1.759	1.759	1.759	1287.0	GigabitEthernet0/0	20745.0	31250.0
stamford	minneapolis	IpWildcardIpSpace{ipWildcard=200.0.109.0/24}	sat	36	1888	1587.0	1587.0	1587.0	1.587	1.587	1.587	1226.0	GigabitEthernet0/0	20745.0	31250.0
caen	dublin	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	sat	45	2276	1777.0	1777.0	1777.0	1.776	1.776	1.776	1201.0	GigabitEthernet0/0	20745.0	31250.0
vienna	poiters	IpWildcardIpSpace{ipWildcard=200.0.148.0/24}	sat	16	437	1458.0	1458.0	1458.0	1.457	1.457	1.457	1228.0	GigabitEthernet0/0	20745.0	31250.0
stockholm	dallas	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	sat	8	305	1491.0	1491.0	1491.0	1.49	1.49	1.49	1212.0	GigabitEthernet0/0	20745.0	31250.0
cleveland	nodeid172	IpWildcardIpSpace{ipWildcard=200.0.129.0/24}	sat	19	601	1593.0	1593.0	1593.0	1.593	1.593	1.593	1229.0	GigabitEthernet0/0	20745.0	31250.0
lyon	dijon	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	sat	109	2008	2186.0	2186.0	2186.0	2.186	2.186	2.186	1230.0	GigabitEthernet0/0	20745.0	31250.0
toronto	sofia	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	sat	44	1147	1725.0	1725.0	1725.0	1.724	1.724	1.724	1374.0	GigabitEthernet0/0	20745.0	31250.0
krakow	charlotte	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	18	631	1642.0	1642.0	1642.0	1.641	1.641	1.641	1366.0	GigabitEthernet0/0	20745.0	31250.0
monterrey	greensboro	IpWildcardIpSpace{ipWildcard=200.0.65.0/24}	sat	12	549	1536.0	1536.0	1536.0	1.535	1.535	1.535	1279.0	GigabitEthernet0/0	20745.0	31250.0
jacksonville	detroit	IpWildcardIpSpace{ipWildcard=200.0.47.0/24}	sat	1342	15535	5861.0	5861.0	5861.0	5.861	5.861	5.861	1202.0	GigabitEthernet0/0	20745.0	31250.0
herndon	oslo	IpWildcardIpSpace{ipWildcard=200.0.141.0/24}	sat	33	881	1643.0	1643.0	1643.0	1.642	1.642	1.642	1289.0	GigabitEthernet0/0	20745.0	31250.0
santtdiego	genoa	IpWildcardIpSpace{ipWildcard=200.0.61.0/24}	sat	20	418	1520.0	1520.0	1520.0	1.519	1.519	1.519	1306.0	GigabitEthernet0/0	20745.0	31250.0
rotterdam	murcia	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	sat	19	431	1576.0	1576.0	1576.0	1.575	1.575	1.575	1209.0	GigabitEthernet0/0	20745.0	31250.0
worcester	sofia	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	sat	43	1132	1784.0	1784.0	1784.0	1.784	1.784	1.784	1223.0	GigabitEthernet0/0	20745.0	31250.0
florence	santattclara	IpWildcardIpSpace{ipWildcard=200.0.163.0/24}	sat	78	2735	2203.0	2203.0	2203.0	2.202	2.202	2.202	1306.0	GigabitEthernet0/0	20745.0	31250.0
logrono	chicago	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	sat	34	1664	1726.0	1726.0	1726.0	1.725	1.725	1.725	1269.0	GigabitEthernet0/0	20745.0	31250.0
worcester	bratislava	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	50	1291	1835.0	1835.0	1835.0	1.835	1.835	1.835	1233.0	GigabitEthernet0/0	20745.0	31250.0
dortmund	oslo	IpWildcardIpSpace{ipWildcard=200.0.141.0/24}	sat	30	581	1622.0	1622.0	1622.0	1.621	1.621	1.621	1259.0	GigabitEthernet0/0	20745.0	31250.0
avila	nodeid150	IpWildcardIpSpace{ipWildcard=200.0.127.0/24}	sat	11	358	1543.0	1543.0	1543.0	1.542	1.542	1.542	1275.0	GigabitEthernet0/0	20745.0	31250.0
bordeaux	washington	IpWildcardIpSpace{ipWildcard=200.0.192.0/24}	sat	12	346	1499.0	1499.0	1499.0	1.499	1.499	1.499	1265.0	GigabitEthernet0/0	20745.0	31250.0
boston	bilbao	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	162	2650	1968.0	1968.0	1968.0	1.967	1.967	1.967	1360.0	GigabitEthernet0/0	20745.0	31250.0
nodeid144	losttangeles	IpWildcardIpSpace{ipWildcard=200.0.92.0/24}	sat	112	2825	2287.0	2287.0	2287.0	2.287	2.287	2.287	1359.0	GigabitEthernet0/0	20745.0	31250.0
granada	zagreb	IpWildcardIpSpace{ipWildcard=200.0.195.0/24}	sat	2082	11882	5417.0	5417.0	5417.0	5.416	5.416	5.416	1278.0	GigabitEthernet0/0	20745.0	31250.0
santtfrancisco	timisoara	IpWildcardIpSpace{ipWildcard=200.0.181.0/24}	sat	45	1235	1819.0	1819.0	1819.0	1.819	1.819	1.819	1274.0	GigabitEthernet0/0	20745.0	31250.0
santander	elttpaso	IpWildcardIpSpace{ipWildcard=200.0.54.0/24}	sat	175	3090	2454.0	2454.0	2454.0	2.453	2.453	2.453	1288.0	GigabitEthernet0/0	20745.0	31250.0
newttyork	zagreb	IpWildcardIpSpace{ipWildcard=200.0.195.0/24}	sat	135	1103	1812.0	1812.0	1812.0	1.811	1.811	1.811	1378.0	GigabitEthernet0/0	20745.0	31250.0
toronto	krakow	IpWildcardIpSpace{ipWildcard=200.0.81.0/24}	sat	44	1241	1753.0	1753.0	1753.0	1.752	1.752	1.752	1373.0	GigabitEthernet0/0	20745.0	31250.0
mainzdashwiesbaden	santtdiego	IpWildcardIpSpace{ipWildcard=200.0.165.0/24}	sat	407	5466	2813.0	2813.0	2813.0	2.813	2.813	2.813	1261.0	GigabitEthernet0/0	20745.0	31250.0
hamburg	jackson	IpWildcardIpSpace{ipWildcard=200.0.75.0/24}	sat	373	5989	2454.0	2454.0	2454.0	2.454	2.454	2.454	1259.0	GigabitEthernet0/0	20745.0	31250.0
berlin	logrono	IpWildcardIpSpace{ipWildcard=200.0.90.0/24}	sat	16	527	1589.0	1589.0	1589.0	1.588	1.588	1.588	1338.0	GigabitEthernet0/0	20745.0	31250.0
milwaukee	rome	IpWildcardIpSpace{ipWildcard=200.0.157.0/24}	sat	16	399	1562.0	1562.0	1562.0	1.561	1.561	1.561	1328.0	GigabitEthernet0/0	20745.0	31250.0
porto	portland	IpWildcardIpSpace{ipWildcard=200.0.149.0/24}	sat	150	3875	2239.0	2239.0	2239.0	2.238	2.238	2.238	1341.0	GigabitEthernet0/0	20745.0	31250.0
minneapolis	kapitanttandreevo	IpWildcardIpSpace{ipWildcard=200.0.78.0/24}	sat	36	1041	1805.0	1805.0	1805.0	1.804	1.804	1.804	1358.0	GigabitEthernet0/0	20745.0	31250.0
nodeid149	atlanta	IpWildcardIpSpace{ipWildcard=200.0.6.0/24}	sat	12	349	1572.0	1572.0	1572.0	1.571	1.571	1.571	1343.0	GigabitEthernet0/0	20745.0	31250.0
avila	vigo	IpWildcardIpSpace{ipWildcard=200.0.190.0/24}	sat	21	842	1912.0	1912.0	1912.0	1.911	1.911	1.911	1285.0	GigabitEthernet0/0	20745.0	31250.0
dallas	nuremberg	IpWildcardIpSpace{ipWildcard=200.0.134.0/24}	sat	40	945	1853.0	1853.0	1853.0	1.853	1.853	1.853	1293.0	GigabitEthernet0/0	20745.0	31250.0
coimbra	mainzdashwiesbaden	IpWildcardIpSpace{ipWildcard=200.0.97.0/24}	sat	24	655	1832.0	1832.0	1832.0	1.831	1.831	1.831	1213.0	GigabitEthernet0/0	20745.0	31250.0
frankfurt	rennes	IpWildcardIpSpace{ipWildcard=200.0.156.0/24}	sat	30	1255	1734.0	1734.0	1734.0	1.733	1.733	1.733	1397.0	GigabitEthernet0/0	20745.0	31250.0
coimbra	bologna	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	15	529	1612.0	1612.0	1612.0	1.611	1.611	1.611	1493.0	GigabitEthernet0/0	20745.0	31250.0
nodeid173	zaragoza	IpWildcardIpSpace{ipWildcard=200.0.196.0/24}	sat	114	1280	1903.0	1903.0	1903.0	1.902	1.902	1.902	1187.0	GigabitEthernet0/0	20745.0	31250.0
philadelphia	antwerp	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	sat	14	526	1652.0	1652.0	1652.0	1.651	1.651	1.651	1315.0	GigabitEthernet0/0	20745.0	31250.0
varna	stamford	IpWildcardIpSpace{ipWildcard=200.0.174.0/24}	sat	10	365	1582.0	1582.0	1582.0	1.581	1.581	1.581	1283.0	GigabitEthernet0/0	20745.0	31250.0
bordeaux	montreal	IpWildcardIpSpace{ipWildcard=200.0.112.0/24}	sat	33	1671	1779.0	1779.0	1779.0	1.778	1.778	1.778	1303.0	GigabitEthernet0/0	20745.0	31250.0
constanta	lille	IpWildcardIpSpace{ipWildcard=200.0.86.0/24}	sat	16	403	1809.0	1809.0	1809.0	1.808	1.808	1.808	1227.0	GigabitEthernet0/0	20745.0	31250.0
edinburgh	nodeid173	IpWildcardIpSpace{ipWildcard=200.0.130.0/24}	sat	15	376	1808.0	1808.0	1808.0	1.807	1.807	1.807	1218.0	GigabitEthernet0/0	20745.0	31250.0
bratislava	zurich	IpWildcardIpSpace{ipWildcard=200.0.197.0/24}	sat	19	556	1625.0	1625.0	1625.0	1.624	1.624	1.624	1376.0	GigabitEthernet0/0	20745.0	31250.0
rouen	balchik	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	52	1614	2036.0	2036.0	2036.0	2.036	2.036	2.036	1217.0	GigabitEthernet0/0	20745.0	31250.0
