srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
memphis	jackson	IpWildcardIpSpace{ipWildcard=200.0.75.0/24}	sat	8072	42734	12207.0	12207.0	12207.0	12.206	12.206	12.206	1370.0	GigabitEthernet0/0	20745.0	31250.0
orlando	newark	IpWildcardIpSpace{ipWildcard=200.0.118.0/24}	sat	9033	42270	11493.0	11493.0	11493.0	11.491	11.491	11.491	1232.0	GigabitEthernet0/0	20745.0	31250.0
copenhagen	constanta	IpWildcardIpSpace{ipWildcard=200.0.41.0/24}	sat	10884	45202	15798.0	15798.0	15798.0	15.797	15.797	15.797	1334.0	GigabitEthernet0/0	20745.0	31250.0
stamford	minneapolis	IpWildcardIpSpace{ipWildcard=200.0.109.0/24}	sat	9702	45880	13476.0	13476.0	13476.0	13.475	13.475	13.475	1221.0	GigabitEthernet0/0	20745.0	31250.0
caen	dublin	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	sat	8633	41229	10843.0	10843.0	10843.0	10.842	10.842	10.842	1193.0	GigabitEthernet0/0	20745.0	31250.0
vienna	poiters	IpWildcardIpSpace{ipWildcard=200.0.148.0/24}	sat	8018	36253	10372.0	10372.0	10372.0	10.371	10.371	10.371	1234.0	GigabitEthernet0/0	20745.0	31250.0
stockholm	dallas	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	sat	7580	33913	11035.0	11035.0	11035.0	11.034	11.034	11.034	1356.0	GigabitEthernet0/0	20745.0	31250.0
cleveland	nodeid172	IpWildcardIpSpace{ipWildcard=200.0.129.0/24}	sat	10141	40882	14503.0	14503.0	14503.0	14.502	14.502	14.502	1213.0	GigabitEthernet0/0	20745.0	31250.0
lyon	dijon	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	sat	9569	41592	13608.0	13608.0	13608.0	13.608	13.608	13.608	1383.0	GigabitEthernet0/0	20745.0	31250.0
toronto	sofia	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	sat	8369	37753	10592.0	10592.0	10592.0	10.591	10.591	10.591	1368.0	GigabitEthernet0/0	20745.0	31250.0
krakow	charlotte	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	7704	34787	10763.0	10763.0	10763.0	10.763	10.763	10.763	1324.0	GigabitEthernet0/0	20745.0	31250.0
monterrey	greensboro	IpWildcardIpSpace{ipWildcard=200.0.65.0/24}	sat	6778	33287	10712.0	10712.0	10712.0	10.711	10.711	10.711	1269.0	GigabitEthernet0/0	20745.0	31250.0
jacksonville	detroit	IpWildcardIpSpace{ipWildcard=200.0.47.0/24}	sat	7097	34935	11522.0	11522.0	11522.0	11.521	11.521	11.521	1190.0	GigabitEthernet0/0	20745.0	31250.0
herndon	oslo	IpWildcardIpSpace{ipWildcard=200.0.141.0/24}	sat	6368	38888	8761.0	8761.0	8761.0	8.76	8.76	8.76	1278.0	GigabitEthernet0/0	20745.0	31250.0
santtdiego	genoa	IpWildcardIpSpace{ipWildcard=200.0.61.0/24}	sat	8587	36438	12888.0	12888.0	12888.0	12.887	12.887	12.887	1297.0	GigabitEthernet0/0	20745.0	31250.0
rotterdam	murcia	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	sat	8556	41616	11515.0	11515.0	11515.0	11.514	11.514	11.514	1202.0	GigabitEthernet0/0	20745.0	31250.0
worcester	sofia	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	sat	8161	36593	9970.0	9970.0	9970.0	9.969	9.969	9.969	1254.0	GigabitEthernet0/0	20745.0	31250.0
florence	santattclara	IpWildcardIpSpace{ipWildcard=200.0.163.0/24}	sat	9074	40198	12238.0	12238.0	12238.0	12.237	12.237	12.237	1285.0	GigabitEthernet0/0	20745.0	31250.0
