srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
memphis	jackson	IpWildcardIpSpace{ipWildcard=200.0.75.0/24}	sat	33226	316790	49228.0	49228.0	49228.0	49.228	49.228	49.228	1315.0	GigabitEthernet0/0	20745.0	30808.0
orlando	newark	IpWildcardIpSpace{ipWildcard=200.0.118.0/24}	sat	48655	381120	61853.0	61853.0	61853.0	61.853	61.853	61.853	1341.0	GigabitEthernet0/0	20745.0	30808.0
copenhagen	constanta	IpWildcardIpSpace{ipWildcard=200.0.41.0/24}	sat	69820	542887	112694.0	112694.0	112694.0	112.693	112.693	112.693	1201.0	GigabitEthernet0/0	20745.0	30808.0
stamford	minneapolis	IpWildcardIpSpace{ipWildcard=200.0.109.0/24}	sat	73637	550819	103673.0	103673.0	103673.0	103.672	103.672	103.672	1226.0	GigabitEthernet0/0	20745.0	30808.0
caen	dublin	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	sat	46606	386664	66686.0	66686.0	66686.0	66.686	66.686	66.686	1196.0	GigabitEthernet0/0	20745.0	30808.0
vienna	poiters	IpWildcardIpSpace{ipWildcard=200.0.148.0/24}	sat	72292	564139	100242.0	100242.0	100242.0	100.241	100.241	100.241	1235.0	GigabitEthernet0/0	20745.0	30808.0
stockholm	dallas	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	sat	91376	626549	133292.0	133292.0	133292.0	133.291	133.291	133.291	1236.0	GigabitEthernet0/0	20745.0	30808.0
cleveland	nodeid172	IpWildcardIpSpace{ipWildcard=200.0.129.0/24}	sat	49090	410064	72412.0	72412.0	72412.0	72.411	72.411	72.411	1202.0	GigabitEthernet0/0	20745.0	30808.0
lyon	dijon	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	sat	47225	428757	74314.0	74314.0	74314.0	74.314	74.314	74.314	1210.0	GigabitEthernet0/0	20745.0	30808.0
toronto	sofia	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	sat	64668	520428	100679.0	100679.0	100679.0	100.678	100.678	100.678	1372.0	GigabitEthernet0/0	20745.0	30808.0
krakow	charlotte	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	68377	549309	105231.0	105231.0	105231.0	105.23	105.23	105.23	1352.0	GigabitEthernet0/0	20745.0	30808.0
monterrey	greensboro	IpWildcardIpSpace{ipWildcard=200.0.65.0/24}	sat	34792	310822	55077.0	55077.0	55077.0	55.076	55.076	55.076	1286.0	GigabitEthernet0/0	20745.0	30808.0
jacksonville	detroit	IpWildcardIpSpace{ipWildcard=200.0.47.0/24}	sat	49791	430520	78806.0	78806.0	78806.0	78.805	78.805	78.805	1293.0	GigabitEthernet0/0	20745.0	30808.0
herndon	oslo	IpWildcardIpSpace{ipWildcard=200.0.141.0/24}	sat	63085	511874	90189.0	90189.0	90189.0	90.188	90.188	90.188	1293.0	GigabitEthernet0/0	20745.0	30808.0
santtdiego	genoa	IpWildcardIpSpace{ipWildcard=200.0.61.0/24}	sat	53791	438531	81969.0	81969.0	81969.0	81.968	81.968	81.968	1275.0	GigabitEthernet0/0	20745.0	30808.0
rotterdam	murcia	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	sat	81026	617627	126568.0	126568.0	126568.0	126.568	126.568	126.568	1203.0	GigabitEthernet0/0	20745.0	30808.0
worcester	sofia	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	sat	65295	575519	100554.0	100554.0	100554.0	100.553	100.553	100.553	1257.0	GigabitEthernet0/0	20745.0	30808.0
florence	santattclara	IpWildcardIpSpace{ipWildcard=200.0.163.0/24}	sat	94591	661193	146851.0	146851.0	146851.0	146.851	146.851	146.851	1514.0	GigabitEthernet0/0	20745.0	30808.0
logrono	chicago	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	sat	60113	444134	89796.0	89796.0	89796.0	89.796	89.796	89.796	1263.0	GigabitEthernet0/0	20745.0	30808.0
worcester	bratislava	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	60276	445185	91248.0	91248.0	91248.0	91.248	91.248	91.248	1237.0	GigabitEthernet0/0	20745.0	30808.0
dortmund	oslo	IpWildcardIpSpace{ipWildcard=200.0.141.0/24}	sat	52590	428832	80496.0	80496.0	80496.0	80.495	80.495	80.495	1241.0	GigabitEthernet0/0	20745.0	30808.0
avila	nodeid150	IpWildcardIpSpace{ipWildcard=200.0.127.0/24}	sat	61075	526628	93031.0	93031.0	93031.0	93.03	93.03	93.03	1254.0	GigabitEthernet0/0	20745.0	30808.0
bordeaux	washington	IpWildcardIpSpace{ipWildcard=200.0.192.0/24}	sat	75133	537505	100571.0	100571.0	100571.0	100.57	100.57	100.57	1222.0	GigabitEthernet0/0	20745.0	30808.0
boston	bilbao	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	59862	460664	85230.0	85230.0	85230.0	85.228	85.228	85.228	1358.0	GigabitEthernet0/0	20745.0	30808.0
nodeid144	losttangeles	IpWildcardIpSpace{ipWildcard=200.0.92.0/24}	sat	47983	391335	74867.0	74867.0	74867.0	74.867	74.867	74.867	1460.0	GigabitEthernet0/0	20745.0	30808.0
granada	zagreb	IpWildcardIpSpace{ipWildcard=200.0.195.0/24}	sat	78579	604752	138281.0	138281.0	138281.0	138.28	138.28	138.28	1288.0	GigabitEthernet0/0	20745.0	30808.0
santtfrancisco	timisoara	IpWildcardIpSpace{ipWildcard=200.0.181.0/24}	sat	69883	494652	99079.0	99079.0	99079.0	99.078	99.078	99.078	1366.0	GigabitEthernet0/0	20745.0	30808.0
santander	elttpaso	IpWildcardIpSpace{ipWildcard=200.0.54.0/24}	sat	43240	346800	62389.0	62389.0	62389.0	62.388	62.388	62.388	1344.0	GigabitEthernet0/0	20745.0	30808.0
newttyork	zagreb	IpWildcardIpSpace{ipWildcard=200.0.195.0/24}	sat	90127	728636	151510.0	151510.0	151510.0	151.509	151.509	151.509	1383.0	GigabitEthernet0/0	20745.0	30808.0
toronto	krakow	IpWildcardIpSpace{ipWildcard=200.0.81.0/24}	sat	88273	661008	128647.0	128647.0	128647.0	128.645	128.645	128.645	1404.0	GigabitEthernet0/0	20745.0	30808.0
mainzdashwiesbaden	santtdiego	IpWildcardIpSpace{ipWildcard=200.0.165.0/24}	sat	56748	459959	86603.0	86603.0	86603.0	86.602	86.602	86.602	1250.0	GigabitEthernet0/0	20745.0	30808.0
hamburg	jackson	IpWildcardIpSpace{ipWildcard=200.0.75.0/24}	sat	62104	463882	100301.0	100301.0	100301.0	100.3	100.3	100.3	1271.0	GigabitEthernet0/0	20745.0	30808.0
berlin	logrono	IpWildcardIpSpace{ipWildcard=200.0.90.0/24}	sat	68657	485790	96531.0	96531.0	96531.0	96.53	96.53	96.53	1335.0	GigabitEthernet0/0	20745.0	30808.0
milwaukee	rome	IpWildcardIpSpace{ipWildcard=200.0.157.0/24}	sat	84398	625392	128559.0	128559.0	128559.0	128.559	128.559	128.559	1320.0	GigabitEthernet0/0	20745.0	30808.0
porto	portland	IpWildcardIpSpace{ipWildcard=200.0.149.0/24}	sat	80108	562751	122689.0	122689.0	122689.0	122.688	122.688	122.688	1342.0	GigabitEthernet0/0	20745.0	30808.0
minneapolis	kapitanttandreevo	IpWildcardIpSpace{ipWildcard=200.0.78.0/24}	sat	51286	459206	77578.0	77578.0	77578.0	77.577	77.577	77.577	1338.0	GigabitEthernet0/0	20745.0	30808.0
nodeid149	atlanta	IpWildcardIpSpace{ipWildcard=200.0.6.0/24}	sat	48094	393920	69882.0	69882.0	69882.0	69.881	69.881	69.881	1335.0	GigabitEthernet0/0	20745.0	30808.0
avila	vigo	IpWildcardIpSpace{ipWildcard=200.0.190.0/24}	sat	62567	496467	109313.0	109313.0	109313.0	109.313	109.313	109.313	1216.0	GigabitEthernet0/0	20745.0	30808.0
dallas	nuremberg	IpWildcardIpSpace{ipWildcard=200.0.134.0/24}	sat	93028	666069	148781.0	148781.0	148781.0	148.78	148.78	148.78	1379.0	GigabitEthernet0/0	20745.0	30808.0
coimbra	mainzdashwiesbaden	IpWildcardIpSpace{ipWildcard=200.0.97.0/24}	sat	72864	584171	123796.0	123796.0	123796.0	123.795	123.795	123.795	1304.0	GigabitEthernet0/0	20745.0	30808.0
frankfurt	rennes	IpWildcardIpSpace{ipWildcard=200.0.156.0/24}	sat	46688	362606	66043.0	66043.0	66043.0	66.042	66.042	66.042	1400.0	GigabitEthernet0/0	20745.0	30808.0
coimbra	bologna	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	70539	573180	124932.0	124932.0	124932.0	124.931	124.931	124.931	1456.0	GigabitEthernet0/0	20745.0	30808.0
nodeid173	zaragoza	IpWildcardIpSpace{ipWildcard=200.0.196.0/24}	sat	89050	655209	143752.0	143752.0	143752.0	143.751	143.751	143.751	1227.0	GigabitEthernet0/0	20745.0	30808.0
philadelphia	antwerp	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	sat	68155	528297	114511.0	114511.0	114511.0	114.51	114.51	114.51	1303.0	GigabitEthernet0/0	20745.0	30808.0
varna	stamford	IpWildcardIpSpace{ipWildcard=200.0.174.0/24}	sat	70615	482890	95564.0	95564.0	95564.0	95.563	95.563	95.563	1279.0	GigabitEthernet0/0	20745.0	30808.0
bordeaux	montreal	IpWildcardIpSpace{ipWildcard=200.0.112.0/24}	sat	48127	378026	61592.0	61592.0	61592.0	61.591	61.591	61.591	1280.0	GigabitEthernet0/0	20745.0	30808.0
constanta	lille	IpWildcardIpSpace{ipWildcard=200.0.86.0/24}	sat	79849	542852	115637.0	115637.0	115637.0	115.636	115.636	115.636	1300.0	GigabitEthernet0/0	20745.0	30808.0
edinburgh	nodeid173	IpWildcardIpSpace{ipWildcard=200.0.130.0/24}	sat	60301	461389	92586.0	92586.0	92586.0	92.586	92.586	92.586	1324.0	GigabitEthernet0/0	20745.0	30808.0
bratislava	zurich	IpWildcardIpSpace{ipWildcard=200.0.197.0/24}	sat	71691	536561	111557.0	111557.0	111557.0	111.556	111.556	111.556	1276.0	GigabitEthernet0/0	20745.0	30808.0
rouen	balchik	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	58784	504279	100179.0	100179.0	100179.0	100.178	100.178	100.178	1216.0	GigabitEthernet0/0	20745.0	30808.0
