srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
memphis	jackson	IpWildcardIpSpace{ipWildcard=200.0.75.0/24}	unsat	8827	40743	11544.0	11544.0	11544.0	11.544	11.544	11.544	1305.0	GigabitEthernet0/0	20745.0	31250.0
orlando	newark	IpWildcardIpSpace{ipWildcard=200.0.118.0/24}	unsat	8291	38042	11236.0	11236.0	11236.0	11.235	11.235	11.235	1358.0	GigabitEthernet0/0	20745.0	31250.0
copenhagen	constanta	IpWildcardIpSpace{ipWildcard=200.0.41.0/24}	unsat	10336	51228	16679.0	16679.0	16679.0	16.678	16.678	16.678	1316.0	GigabitEthernet0/0	20745.0	31250.0
stamford	minneapolis	IpWildcardIpSpace{ipWildcard=200.0.109.0/24}	unsat	7053	33201	9307.0	9307.0	9307.0	9.306	9.306	9.306	1246.0	GigabitEthernet0/0	20745.0	31250.0
caen	dublin	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	unsat	8836	39806	11567.0	11567.0	11567.0	11.566	11.566	11.566	1304.0	GigabitEthernet0/0	20745.0	31250.0
vienna	poiters	IpWildcardIpSpace{ipWildcard=200.0.148.0/24}	unsat	7710	34839	10263.0	10263.0	10263.0	10.262	10.262	10.262	1228.0	GigabitEthernet0/0	20745.0	31250.0
stockholm	dallas	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	unsat	8271	35398	11405.0	11405.0	11405.0	11.405	11.405	11.405	1407.0	GigabitEthernet0/0	20745.0	31250.0
cleveland	nodeid172	IpWildcardIpSpace{ipWildcard=200.0.129.0/24}	unsat	8363	36477	12659.0	12659.0	12659.0	12.658	12.658	12.658	1388.0	GigabitEthernet0/0	20745.0	31250.0
lyon	dijon	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	unsat	6436	33169	10193.0	10193.0	10193.0	10.192	10.192	10.192	1386.0	GigabitEthernet0/0	20745.0	31250.0
toronto	sofia	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	unsat	9592	46068	13679.0	13679.0	13679.0	13.679	13.679	13.679	1368.0	GigabitEthernet0/0	20745.0	31250.0
