srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
memphis	jackson	IpWildcardIpSpace{ipWildcard=200.0.75.0/24}	sat	681889	2953020	1031304.0	1031304.0	1031304.0	1031.303	1031.303	1031.303	1304.0	GigabitEthernet0/0	20745.0	30808.0
orlando	newark	IpWildcardIpSpace{ipWildcard=200.0.118.0/24}	sat	52326	405471	73576.0	73576.0	73576.0	73.575	73.575	73.575	1208.0	GigabitEthernet0/0	20745.0	30808.0
copenhagen	constanta	IpWildcardIpSpace{ipWildcard=200.0.41.0/24}	sat	134081	852120	212948.0	212948.0	212948.0	212.948	212.948	212.948	1203.0	GigabitEthernet0/0	20745.0	30808.0
stamford	minneapolis	IpWildcardIpSpace{ipWildcard=200.0.109.0/24}	sat	4810	71401	5970.0	5970.0	5970.0	5.97	5.97	5.97	1220.0	GigabitEthernet0/0	20745.0	30808.0
caen	dublin	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	sat	170271	1042756	266877.0	266877.0	266877.0	266.877	266.877	266.877	1216.0	GigabitEthernet0/0	20745.0	30808.0
vienna	poiters	IpWildcardIpSpace{ipWildcard=200.0.148.0/24}	sat	159813	977937	255107.0	255107.0	255107.0	255.107	255.107	255.107	1209.0	GigabitEthernet0/0	20745.0	30808.0
stockholm	dallas	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	sat	156870	945958	262840.0	262840.0	262840.0	262.839	262.839	262.839	1285.0	GigabitEthernet0/0	20745.0	30808.0
cleveland	nodeid172	IpWildcardIpSpace{ipWildcard=200.0.129.0/24}	sat	95265	637373	146365.0	146365.0	146365.0	146.365	146.365	146.365	1221.0	GigabitEthernet0/0	20745.0	30808.0
lyon	dijon	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	sat	12596	164092	17672.0	17672.0	17672.0	17.671	17.671	17.671	1371.0	GigabitEthernet0/0	20745.0	30808.0
toronto	sofia	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	sat	364094	1823173	709877.0	709877.0	709877.0	709.876	709.876	709.876	1315.0	GigabitEthernet0/0	20745.0	30808.0
krakow	charlotte	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	63949	491380	96332.0	96332.0	96332.0	96.331	96.331	96.331	1258.0	GigabitEthernet0/0	20745.0	30808.0
monterrey	greensboro	IpWildcardIpSpace{ipWildcard=200.0.65.0/24}	sat	34713	311735	51372.0	51372.0	51372.0	51.371	51.371	51.371	1307.0	GigabitEthernet0/0	20745.0	30808.0
jacksonville	detroit	IpWildcardIpSpace{ipWildcard=200.0.47.0/24}	sat	70293	527760	115672.0	115672.0	115672.0	115.671	115.671	115.671	1269.0	GigabitEthernet0/0	20745.0	30808.0
herndon	oslo	IpWildcardIpSpace{ipWildcard=200.0.141.0/24}	sat	60111	476224	103114.0	103114.0	103114.0	103.113	103.113	103.113	1293.0	GigabitEthernet0/0	20745.0	30808.0
santtdiego	genoa	IpWildcardIpSpace{ipWildcard=200.0.61.0/24}	sat	8133	116389	13126.0	13126.0	13126.0	13.125	13.125	13.125	1207.0	GigabitEthernet0/0	20745.0	30808.0
rotterdam	murcia	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	sat	102586	727810	191914.0	191914.0	191914.0	191.913	191.913	191.913	1266.0	GigabitEthernet0/0	20745.0	30808.0
worcester	sofia	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	sat	59310	478861	104780.0	104780.0	104780.0	104.779	104.779	104.779	1334.0	GigabitEthernet0/0	20745.0	30808.0
florence	santattclara	IpWildcardIpSpace{ipWildcard=200.0.163.0/24}	sat	165195	958813	295899.0	295899.0	295899.0	295.898	295.898	295.898	1255.0	GigabitEthernet0/0	20745.0	30808.0
logrono	chicago	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	sat	75702	562130	138540.0	138540.0	138540.0	138.54	138.54	138.54	1234.0	GigabitEthernet0/0	20745.0	30808.0
worcester	bratislava	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	196851	1107433	350053.0	350053.0	350053.0	350.052	350.052	350.052	1325.0	GigabitEthernet0/0	20745.0	30808.0
dortmund	oslo	IpWildcardIpSpace{ipWildcard=200.0.141.0/24}	sat	50858	422286	77663.0	77663.0	77663.0	77.663	77.663	77.663	1243.0	GigabitEthernet0/0	20745.0	30808.0
avila	nodeid150	IpWildcardIpSpace{ipWildcard=200.0.127.0/24}	sat	6353	99433	8681.0	8681.0	8681.0	8.68	8.68	8.68	1248.0	GigabitEthernet0/0	20745.0	30808.0
bordeaux	washington	IpWildcardIpSpace{ipWildcard=200.0.192.0/24}	sat	125532	812694	187856.0	187856.0	187856.0	187.855	187.855	187.855	1392.0	GigabitEthernet0/0	20745.0	30808.0
boston	bilbao	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	75722	591226	125658.0	125658.0	125658.0	125.657	125.657	125.657	1368.0	GigabitEthernet0/0	20745.0	30808.0
nodeid144	losttangeles	IpWildcardIpSpace{ipWildcard=200.0.92.0/24}	sat	39023	345452	67117.0	67117.0	67117.0	67.117	67.117	67.117	1375.0	GigabitEthernet0/0	20745.0	30808.0
granada	zagreb	IpWildcardIpSpace{ipWildcard=200.0.195.0/24}	sat	35628	305028	51737.0	51737.0	51737.0	51.736	51.736	51.736	1205.0	GigabitEthernet0/0	20745.0	30808.0
santtfrancisco	timisoara	IpWildcardIpSpace{ipWildcard=200.0.181.0/24}	sat	114755	752273	197503.0	197503.0	197503.0	197.501	197.501	197.501	1191.0	GigabitEthernet0/0	20745.0	30808.0
santander	elttpaso	IpWildcardIpSpace{ipWildcard=200.0.54.0/24}	sat	379520	1928348	728701.0	728701.0	728701.0	728.7	728.7	728.7	1235.0	GigabitEthernet0/0	20745.0	30808.0
newttyork	zagreb	IpWildcardIpSpace{ipWildcard=200.0.195.0/24}	sat	54884	447043	100250.0	100250.0	100250.0	100.249	100.249	100.249	1339.0	GigabitEthernet0/0	20745.0	30808.0
toronto	krakow	IpWildcardIpSpace{ipWildcard=200.0.81.0/24}	sat	14180	178482	23003.0	23003.0	23003.0	23.002	23.002	23.002	1256.0	GigabitEthernet0/0	20745.0	30808.0
mainzdashwiesbaden	santtdiego	IpWildcardIpSpace{ipWildcard=200.0.165.0/24}	sat	288775	1439578	515928.0	515928.0	515928.0	515.928	515.928	515.928	1227.0	GigabitEthernet0/0	20745.0	30808.0
hamburg	jackson	IpWildcardIpSpace{ipWildcard=200.0.75.0/24}	sat	8148	119415	11106.0	11106.0	11106.0	11.104	11.104	11.104	1337.0	GigabitEthernet0/0	20745.0	30808.0
berlin	logrono	IpWildcardIpSpace{ipWildcard=200.0.90.0/24}	sat	60572	479592	104159.0	104159.0	104159.0	104.158	104.158	104.158	1331.0	GigabitEthernet0/0	20745.0	30808.0
milwaukee	rome	IpWildcardIpSpace{ipWildcard=200.0.157.0/24}	sat	107831	794233	179915.0	179915.0	179915.0	179.914	179.914	179.914	1321.0	GigabitEthernet0/0	20745.0	30808.0
porto	portland	IpWildcardIpSpace{ipWildcard=200.0.149.0/24}	sat	207168	1172615	365017.0	365017.0	365017.0	365.017	365.017	365.017	1337.0	GigabitEthernet0/0	20745.0	30808.0
minneapolis	kapitanttandreevo	IpWildcardIpSpace{ipWildcard=200.0.78.0/24}	sat	415572	2048938	747769.0	747769.0	747769.0	747.768	747.768	747.768	1345.0	GigabitEthernet0/0	20745.0	30808.0
nodeid149	atlanta	IpWildcardIpSpace{ipWildcard=200.0.6.0/24}	sat	1469567	5601190	2459184.0	2459184.0	2459184.0	2459.184	2459.184	2459.184	1281.0	GigabitEthernet0/0	20745.0	30808.0
avila	vigo	IpWildcardIpSpace{ipWildcard=200.0.190.0/24}	sat	143026	813020	239515.0	239515.0	239515.0	239.514	239.514	239.514	1217.0	GigabitEthernet0/0	20745.0	30808.0
dallas	nuremberg	IpWildcardIpSpace{ipWildcard=200.0.134.0/24}	sat	227753	1260308	408446.0	408446.0	408446.0	408.445	408.445	408.445	1203.0	GigabitEthernet0/0	20745.0	30808.0
coimbra	mainzdashwiesbaden	IpWildcardIpSpace{ipWildcard=200.0.97.0/24}	sat	58632	475395	95372.0	95372.0	95372.0	95.371	95.371	95.371	1384.0	GigabitEthernet0/0	20745.0	30808.0
frankfurt	rennes	IpWildcardIpSpace{ipWildcard=200.0.156.0/24}	sat	122612	742442	199327.0	199327.0	199327.0	199.326	199.326	199.326	1392.0	GigabitEthernet0/0	20745.0	30808.0
coimbra	bologna	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	83597	599793	142929.0	142929.0	142929.0	142.928	142.928	142.928	1210.0	GigabitEthernet0/0	20745.0	30808.0
nodeid173	zaragoza	IpWildcardIpSpace{ipWildcard=200.0.196.0/24}	sat	63267	500414	107622.0	107622.0	107622.0	107.62	107.62	107.62	1359.0	GigabitEthernet0/0	20745.0	30808.0
philadelphia	antwerp	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	sat	43218	417298	65945.0	65945.0	65945.0	65.943	65.943	65.943	1257.0	GigabitEthernet0/0	20745.0	30808.0
varna	stamford	IpWildcardIpSpace{ipWildcard=200.0.174.0/24}	sat	83674	628279	143535.0	143535.0	143535.0	143.534	143.534	143.534	1295.0	GigabitEthernet0/0	20745.0	30808.0
bordeaux	montreal	IpWildcardIpSpace{ipWildcard=200.0.112.0/24}	sat	656858	3011506	1124394.0	1124394.0	1124394.0	1124.393	1124.393	1124.393	1291.0	GigabitEthernet0/0	20745.0	30808.0
constanta	lille	IpWildcardIpSpace{ipWildcard=200.0.86.0/24}	sat	38713	345039	56197.0	56197.0	56197.0	56.196	56.196	56.196	1276.0	GigabitEthernet0/0	20745.0	30808.0
edinburgh	nodeid173	IpWildcardIpSpace{ipWildcard=200.0.130.0/24}	sat	69020	548986	114106.0	114106.0	114106.0	114.106	114.106	114.106	1408.0	GigabitEthernet0/0	20745.0	30808.0
bratislava	zurich	IpWildcardIpSpace{ipWildcard=200.0.197.0/24}	sat	180974	1082950	330769.0	330769.0	330769.0	330.769	330.769	330.769	1278.0	GigabitEthernet0/0	20745.0	30808.0
rouen	balchik	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	4761	66897	7362.0	7362.0	7362.0	7.361	7.361	7.361	1221.0	GigabitEthernet0/0	20745.0	30808.0
