srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nodeidh89	nodeidh96	IpWildcardIpSpace{ipWildcard=200.0.221.0/24}	sat	25	893	2448.0	2448.0	2448.0	2.447	2.447	2.447	1855.0	GigabitEthernet0/0	19557.0	35882.0
almond	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	sat	23	726	2399.0	2399.0	2399.0	2.399	2.399	2.399	2037.0	GigabitEthernet0/0	19557.0	35882.0
dijon	marseille	IpWildcardIpSpace{ipWildcard=200.0.160.0/24}	sat	40	1466	2366.0	2366.0	2366.0	2.365	2.365	2.365	1768.0	GigabitEthernet0/0	19557.0	35882.0
olean	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	sat	23	726	2546.0	2546.0	2546.0	2.545	2.545	2.545	1695.0	GigabitEthernet0/0	19557.0	35882.0
dusseldorf	nodeidh21	IpWildcardIpSpace{ipWildcard=200.0.209.0/24}	sat	37	816	2672.0	2672.0	2672.0	2.671	2.671	2.671	1710.0	GigabitEthernet0/0	19557.0	35882.0
empiretttelephonettco	brussels	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	sat	36	1290	2565.0	2565.0	2565.0	2.564	2.564	2.564	1678.0	GigabitEthernet0/0	19557.0	35882.0
strasbourg	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	19	466	2207.0	2207.0	2207.0	2.206	2.206	2.206	1927.0	GigabitEthernet0/0	19557.0	35882.0
miami	auburn	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	37	1492	2613.0	2613.0	2613.0	2.612	2.612	2.612	1902.0	GigabitEthernet0/0	19557.0	35882.0
providence	toledo	IpWildcardIpSpace{ipWildcard=200.1.41.0/24}	sat	41	1303	2693.0	2693.0	2693.0	2.693	2.693	2.693	1829.0	GigabitEthernet0/0	19557.0	35882.0
lebanon	pulaski	IpWildcardIpSpace{ipWildcard=200.0.253.0/24}	sat	22	634	2395.0	2395.0	2395.0	2.394	2.394	2.394	1883.0	GigabitEthernet0/0	19557.0	35882.0
nodeidh24	wellsville	IpWildcardIpSpace{ipWildcard=200.1.56.0/24}	sat	22	555	2392.0	2392.0	2392.0	2.391	2.391	2.391	1886.0	GigabitEthernet0/0	19557.0	35882.0
nodeidh96	fredonia	IpWildcardIpSpace{ipWildcard=200.0.98.0/24}	sat	21	434	2330.0	2330.0	2330.0	2.33	2.33	2.33	1770.0	GigabitEthernet0/0	19557.0	35882.0
orangettcounty	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	19	466	2412.0	2412.0	2412.0	2.412	2.412	2.412	1742.0	GigabitEthernet0/0	19557.0	35882.0
newttyorkttcity	manchester	IpWildcardIpSpace{ipWildcard=200.0.156.0/24}	sat	38	1017	2540.0	2540.0	2540.0	2.539	2.539	2.539	1820.0	GigabitEthernet0/0	19557.0	35882.0
avila	nuremberg	IpWildcardIpSpace{ipWildcard=200.0.223.0/24}	sat	22	777	2518.0	2518.0	2518.0	2.517	2.517	2.517	1972.0	GigabitEthernet0/0	19557.0	35882.0
newcastle	saranacttlake	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	sat	24	714	2515.0	2515.0	2515.0	2.515	2.515	2.515	1786.0	GigabitEthernet0/0	19557.0	35882.0
