srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nodeidh89	nodeidh96	IpWildcardIpSpace{ipWildcard=200.0.221.0/24}	sat	28295	132544	69789.0	69789.0	69789.0	69.788	69.788	69.788	1872.0	GigabitEthernet0/0	19557.0	35882.0
almond	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	sat	26181	112887	63305.0	63305.0	63305.0	63.303	63.303	63.303	1716.0	GigabitEthernet0/0	19557.0	35882.0
dijon	marseille	IpWildcardIpSpace{ipWildcard=200.0.160.0/24}	sat	25061	118099	52360.0	52360.0	52360.0	52.359	52.359	52.359	1750.0	GigabitEthernet0/0	19557.0	35882.0
olean	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	sat	26181	112887	62056.0	62056.0	62056.0	62.055	62.055	62.055	1684.0	GigabitEthernet0/0	19557.0	35882.0
dusseldorf	nodeidh21	IpWildcardIpSpace{ipWildcard=200.0.209.0/24}	sat	23782	108532	66463.0	66463.0	66463.0	66.463	66.463	66.463	1672.0	GigabitEthernet0/0	19557.0	35882.0
empiretttelephonettco	brussels	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	sat	37794	146055	78490.0	78490.0	78490.0	78.489	78.489	78.489	1773.0	GigabitEthernet0/0	19557.0	35882.0
strasbourg	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	25655	110920	55155.0	55155.0	55155.0	55.154	55.154	55.154	1975.0	GigabitEthernet0/0	19557.0	35882.0
miami	auburn	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	32050	140515	72990.0	72990.0	72990.0	72.989	72.989	72.989	1936.0	GigabitEthernet0/0	19557.0	35882.0
providence	toledo	IpWildcardIpSpace{ipWildcard=200.1.41.0/24}	sat	38035	143348	81902.0	81902.0	81902.0	81.901	81.901	81.901	1706.0	GigabitEthernet0/0	19557.0	35882.0
lebanon	pulaski	IpWildcardIpSpace{ipWildcard=200.0.253.0/24}	sat	29656	125262	74439.0	74439.0	74439.0	74.439	74.439	74.439	1878.0	GigabitEthernet0/0	19557.0	35882.0
nodeidh24	wellsville	IpWildcardIpSpace{ipWildcard=200.1.56.0/24}	sat	23665	100500	48528.0	48528.0	48528.0	48.527	48.527	48.527	1887.0	GigabitEthernet0/0	19557.0	35882.0
nodeidh96	fredonia	IpWildcardIpSpace{ipWildcard=200.0.98.0/24}	sat	32811	143168	91235.0	91235.0	91235.0	91.234	91.234	91.234	1700.0	GigabitEthernet0/0	19557.0	35882.0
orangettcounty	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	27587	106207	82901.0	82901.0	82901.0	82.9	82.9	82.9	1727.0	GigabitEthernet0/0	19557.0	35882.0
newttyorkttcity	manchester	IpWildcardIpSpace{ipWildcard=200.0.156.0/24}	sat	28335	131924	67491.0	67491.0	67491.0	67.49	67.49	67.49	1821.0	GigabitEthernet0/0	19557.0	35882.0
avila	nuremberg	IpWildcardIpSpace{ipWildcard=200.0.223.0/24}	sat	28159	108729	55892.0	55892.0	55892.0	55.891	55.891	55.891	1933.0	GigabitEthernet0/0	19557.0	35882.0
newcastle	saranacttlake	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	sat	35235	125988	87247.0	87247.0	87247.0	87.246	87.246	87.246	1683.0	GigabitEthernet0/0	19557.0	35882.0
luxembourg	whitesville	IpWildcardIpSpace{ipWildcard=200.1.59.0/24}	sat	33010	136968	73400.0	73400.0	73400.0	73.399	73.399	73.399	2118.0	GigabitEthernet0/0	19557.0	35882.0
canton	valencia	IpWildcardIpSpace{ipWildcard=200.1.47.0/24}	sat	25372	134820	50538.0	50538.0	50538.0	50.537	50.537	50.537	1780.0	GigabitEthernet0/0	19557.0	35882.0
frankfurt	altmar	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	21727	108823	46616.0	46616.0	46616.0	46.615	46.615	46.615	1701.0	GigabitEthernet0/0	19557.0	35882.0
mountpelier	madrid	IpWildcardIpSpace{ipWildcard=200.0.151.0/24}	sat	22251	105607	47328.0	47328.0	47328.0	47.328	47.328	47.328	1699.0	GigabitEthernet0/0	19557.0	35882.0
stttlouis	middleburgh	IpWildcardIpSpace{ipWildcard=200.0.166.0/24}	sat	22567	88456	48554.0	48554.0	48554.0	48.553	48.553	48.553	1780.0	GigabitEthernet0/0	19557.0	35882.0
alfred	nice	IpWildcardIpSpace{ipWildcard=200.0.189.0/24}	sat	30558	127438	78885.0	78885.0	78885.0	78.885	78.885	78.885	1830.0	GigabitEthernet0/0	19557.0	35882.0
amsterdam	santtfrancisco	IpWildcardIpSpace{ipWildcard=200.1.19.0/24}	sat	31185	128850	81612.0	81612.0	81612.0	81.611	81.611	81.611	1684.0	GigabitEthernet0/0	19557.0	35882.0
middleburgh	tampa	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	24737	124321	55037.0	55037.0	55037.0	55.036	55.036	55.036	1674.0	GigabitEthernet0/0	19557.0	35882.0
florence	caen	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	sat	47753	142100	154642.0	154642.0	154642.0	154.641	154.641	154.641	1666.0	GigabitEthernet0/0	19557.0	35882.0
middlebury	tampa	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	24737	124321	55197.0	55197.0	55197.0	55.196	55.196	55.196	1684.0	GigabitEthernet0/0	19557.0	35882.0
nuremberg	varna	IpWildcardIpSpace{ipWildcard=200.1.48.0/24}	sat	21196	102796	55488.0	55488.0	55488.0	55.487	55.487	55.487	1913.0	GigabitEthernet0/0	19557.0	35882.0
nodeidh91	barcelona	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	30530	126137	84589.0	84589.0	84589.0	84.588	84.588	84.588	1709.0	GigabitEthernet0/0	19557.0	35882.0
zaragoza	losttangeles	IpWildcardIpSpace{ipWildcard=200.0.146.0/24}	sat	19693	92992	37219.0	37219.0	37219.0	37.219	37.219	37.219	1769.0	GigabitEthernet0/0	19557.0	35882.0
albanyidh64	london	IpWildcardIpSpace{ipWildcard=200.0.145.0/24}	sat	35796	133479	80118.0	80118.0	80118.0	80.117	80.117	80.117	1722.0	GigabitEthernet0/0	19557.0	35882.0
tallinn	leon	IpWildcardIpSpace{ipWildcard=200.0.139.0/24}	sat	19655	95784	40859.0	40859.0	40859.0	40.858	40.858	40.858	1844.0	GigabitEthernet0/0	19557.0	35882.0
omaha	nodeidh110	IpWildcardIpSpace{ipWildcard=200.0.202.0/24}	sat	23782	129810	75387.0	75387.0	75387.0	75.387	75.387	75.387	1706.0	GigabitEthernet0/0	19557.0	35882.0
charlotte	waterloo	IpWildcardIpSpace{ipWildcard=200.1.54.0/24}	sat	30739	127784	73255.0	73255.0	73255.0	73.254	73.254	73.254	1900.0	GigabitEthernet0/0	19557.0	35882.0
olean	miami	IpWildcardIpSpace{ipWildcard=200.0.165.0/24}	sat	23287	112285	55820.0	55820.0	55820.0	55.819	55.819	55.819	1668.0	GigabitEthernet0/0	19557.0	35882.0
cincinnati	ogdensburg	IpWildcardIpSpace{ipWildcard=200.0.227.0/24}	sat	25067	108920	82479.0	82479.0	82479.0	82.479	82.479	82.479	1685.0	GigabitEthernet0/0	19557.0	35882.0
nodeidh30	salamanca	IpWildcardIpSpace{ipWildcard=200.1.13.0/24}	sat	21215	111962	51981.0	51981.0	51981.0	51.981	51.981	51.981	1780.0	GigabitEthernet0/0	19557.0	35882.0
jamestown	logrono	IpWildcardIpSpace{ipWildcard=200.0.144.0/24}	sat	29332	114863	69655.0	69655.0	69655.0	69.655	69.655	69.655	1722.0	GigabitEthernet0/0	19557.0	35882.0
nodeidh21	bologna	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	43139	135983	94341.0	94341.0	94341.0	94.34	94.34	94.34	1963.0	GigabitEthernet0/0	19557.0	35882.0
stamford	wellsville	IpWildcardIpSpace{ipWildcard=200.1.56.0/24}	sat	23665	100500	56237.0	56237.0	56237.0	56.236	56.236	56.236	1682.0	GigabitEthernet0/0	19557.0	35882.0
stuttgart	malone	IpWildcardIpSpace{ipWildcard=200.0.155.0/24}	sat	24291	110470	60631.0	60631.0	60631.0	60.63	60.63	60.63	1970.0	GigabitEthernet0/0	19557.0	35882.0
orangettcounty	nashville	IpWildcardIpSpace{ipWildcard=200.0.182.0/24}	sat	24778	124856	55905.0	55905.0	55905.0	55.904	55.904	55.904	1681.0	GigabitEthernet0/0	19557.0	35882.0
coxsackie	worcester	IpWildcardIpSpace{ipWildcard=200.1.63.0/24}	sat	31072	118579	61995.0	61995.0	61995.0	61.994	61.994	61.994	1708.0	GigabitEthernet0/0	19557.0	35882.0
nodeidh123	rowland	IpWildcardIpSpace{ipWildcard=200.1.10.0/24}	sat	25154	109541	71158.0	71158.0	71158.0	71.157	71.157	71.157	1831.0	GigabitEthernet0/0	19557.0	35882.0
santtantonio	malone	IpWildcardIpSpace{ipWildcard=200.0.155.0/24}	sat	24291	110470	59267.0	59267.0	59267.0	59.266	59.266	59.266	1918.0	GigabitEthernet0/0	19557.0	35882.0
rowland	essexttjunction	IpWildcardIpSpace{ipWildcard=200.0.93.0/24}	sat	25804	108619	68129.0	68129.0	68129.0	68.128	68.128	68.128	1719.0	GigabitEthernet0/0	19557.0	35882.0
bern	hamilton	IpWildcardIpSpace{ipWildcard=200.0.113.0/24}	sat	24838	120698	52984.0	52984.0	52984.0	52.982	52.982	52.982	1692.0	GigabitEthernet0/0	19557.0	35882.0
barcelona	nodeidh110	IpWildcardIpSpace{ipWildcard=200.0.202.0/24}	sat	23782	129810	69488.0	69488.0	69488.0	69.487	69.487	69.487	1704.0	GigabitEthernet0/0	19557.0	35882.0
bordeaux	buffalo	IpWildcardIpSpace{ipWildcard=200.0.46.0/24}	sat	30626	139140	62946.0	62946.0	62946.0	62.945	62.945	62.945	1777.0	GigabitEthernet0/0	19557.0	35882.0
ingleside	gouveneur	IpWildcardIpSpace{ipWildcard=200.0.107.0/24}	sat	33666	127037	90641.0	90641.0	90641.0	90.64	90.64	90.64	1733.0	GigabitEthernet0/0	19557.0	35882.0
portland	jamestown	IpWildcardIpSpace{ipWildcard=200.0.127.0/24}	sat	25064	116212	54693.0	54693.0	54693.0	54.692	54.692	54.692	1737.0	GigabitEthernet0/0	19557.0	35882.0
