srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nodeidh89	nodeidh96	IpWildcardIpSpace{ipWildcard=200.0.221.0/24}	sat	26672	111289	64328.0	64328.0	64328.0	64.327	64.327	64.327	1879.0	GigabitEthernet0/0	20203.0	37175.0
almond	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	sat	25399	111142	53052.0	53052.0	53052.0	53.052	53.052	53.052	1825.0	GigabitEthernet0/0	20203.0	37175.0
dijon	marseille	IpWildcardIpSpace{ipWildcard=200.0.160.0/24}	sat	22629	105327	44418.0	44418.0	44418.0	44.416	44.416	44.416	1705.0	GigabitEthernet0/0	20203.0	37175.0
olean	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	sat	24762	102668	55813.0	55813.0	55813.0	55.811	55.811	55.811	1784.0	GigabitEthernet0/0	20203.0	37175.0
dusseldorf	nodeidh21	IpWildcardIpSpace{ipWildcard=200.0.209.0/24}	sat	23046	98490	44980.0	44980.0	44980.0	44.979	44.979	44.979	1677.0	GigabitEthernet0/0	20203.0	37175.0
empiretttelephonettco	brussels	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	sat	28214	108597	59943.0	59943.0	59943.0	59.942	59.942	59.942	1878.0	GigabitEthernet0/0	20203.0	37175.0
strasbourg	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	19769	88049	33875.0	33875.0	33875.0	33.875	33.875	33.875	1793.0	GigabitEthernet0/0	20203.0	37175.0
miami	auburn	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	22861	97498	49486.0	49486.0	49486.0	49.485	49.485	49.485	1688.0	GigabitEthernet0/0	20203.0	37175.0
providence	toledo	IpWildcardIpSpace{ipWildcard=200.1.41.0/24}	sat	22554	96694	46823.0	46823.0	46823.0	46.822	46.822	46.822	1732.0	GigabitEthernet0/0	20203.0	37175.0
lebanon	pulaski	IpWildcardIpSpace{ipWildcard=200.0.253.0/24}	sat	32546	134453	91057.0	91057.0	91057.0	91.056	91.056	91.056	1902.0	GigabitEthernet0/0	20203.0	37175.0
nodeidh24	wellsville	IpWildcardIpSpace{ipWildcard=200.1.56.0/24}	sat	21151	93104	42482.0	42482.0	42482.0	42.481	42.481	42.481	1886.0	GigabitEthernet0/0	20203.0	37175.0
nodeidh96	fredonia	IpWildcardIpSpace{ipWildcard=200.0.98.0/24}	sat	25098	109019	51459.0	51459.0	51459.0	51.458	51.458	51.458	1931.0	GigabitEthernet0/0	20203.0	37175.0
orangettcounty	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	27644	124692	63039.0	63039.0	63039.0	63.038	63.038	63.038	1683.0	GigabitEthernet0/0	20203.0	37175.0
newttyorkttcity	manchester	IpWildcardIpSpace{ipWildcard=200.0.156.0/24}	sat	24786	105773	48903.0	48903.0	48903.0	48.902	48.902	48.902	2032.0	GigabitEthernet0/0	20203.0	37175.0
avila	nuremberg	IpWildcardIpSpace{ipWildcard=200.0.223.0/24}	sat	25016	104697	60113.0	60113.0	60113.0	60.112	60.112	60.112	1835.0	GigabitEthernet0/0	20203.0	37175.0
newcastle	saranacttlake	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	sat	25084	108717	55721.0	55721.0	55721.0	55.72	55.72	55.72	1957.0	GigabitEthernet0/0	20203.0	37175.0
luxembourg	whitesville	IpWildcardIpSpace{ipWildcard=200.1.59.0/24}	sat	20231	94452	50920.0	50920.0	50920.0	50.919	50.919	50.919	1759.0	GigabitEthernet0/0	20203.0	37175.0
canton	valencia	IpWildcardIpSpace{ipWildcard=200.1.47.0/24}	sat	24199	107581	46446.0	46446.0	46446.0	46.445	46.445	46.445	1902.0	GigabitEthernet0/0	20203.0	37175.0
frankfurt	altmar	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	27214	108733	53323.0	53323.0	53323.0	53.322	53.322	53.322	1755.0	GigabitEthernet0/0	20203.0	37175.0
mountpelier	madrid	IpWildcardIpSpace{ipWildcard=200.0.151.0/24}	sat	32531	119583	87782.0	87782.0	87782.0	87.782	87.782	87.782	1723.0	GigabitEthernet0/0	20203.0	37175.0
stttlouis	middleburgh	IpWildcardIpSpace{ipWildcard=200.0.166.0/24}	sat	20058	96965	40674.0	40674.0	40674.0	40.673	40.673	40.673	1826.0	GigabitEthernet0/0	20203.0	37175.0
alfred	nice	IpWildcardIpSpace{ipWildcard=200.0.189.0/24}	sat	43176	135450	119100.0	119100.0	119100.0	119.099	119.099	119.099	1730.0	GigabitEthernet0/0	20203.0	37175.0
amsterdam	santtfrancisco	IpWildcardIpSpace{ipWildcard=200.1.19.0/24}	sat	24369	106781	48045.0	48045.0	48045.0	48.044	48.044	48.044	1826.0	GigabitEthernet0/0	20203.0	37175.0
middleburgh	tampa	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	24661	99343	49353.0	49353.0	49353.0	49.352	49.352	49.352	1698.0	GigabitEthernet0/0	20203.0	37175.0
florence	caen	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	sat	21250	89893	59101.0	59101.0	59101.0	59.1	59.1	59.1	2198.0	GigabitEthernet0/0	20203.0	37175.0
middlebury	tampa	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	31106	128089	72356.0	72356.0	72356.0	72.355	72.355	72.355	1870.0	GigabitEthernet0/0	20203.0	37175.0
nuremberg	varna	IpWildcardIpSpace{ipWildcard=200.1.48.0/24}	sat	28124	112099	54266.0	54266.0	54266.0	54.265	54.265	54.265	1832.0	GigabitEthernet0/0	20203.0	37175.0
nodeidh91	barcelona	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	23845	108140	55210.0	55210.0	55210.0	55.209	55.209	55.209	1907.0	GigabitEthernet0/0	20203.0	37175.0
zaragoza	losttangeles	IpWildcardIpSpace{ipWildcard=200.0.146.0/24}	sat	19691	87168	35850.0	35850.0	35850.0	35.849	35.849	35.849	1880.0	GigabitEthernet0/0	20203.0	37175.0
albanyidh64	london	IpWildcardIpSpace{ipWildcard=200.0.145.0/24}	sat	25524	100151	46382.0	46382.0	46382.0	46.381	46.381	46.381	1777.0	GigabitEthernet0/0	20203.0	37175.0
tallinn	leon	IpWildcardIpSpace{ipWildcard=200.0.139.0/24}	sat	27291	115161	56960.0	56960.0	56960.0	56.96	56.96	56.96	1712.0	GigabitEthernet0/0	20203.0	37175.0
omaha	nodeidh110	IpWildcardIpSpace{ipWildcard=200.0.202.0/24}	sat	28526	116539	79913.0	79913.0	79913.0	79.912	79.912	79.912	1823.0	GigabitEthernet0/0	20203.0	37175.0
charlotte	waterloo	IpWildcardIpSpace{ipWildcard=200.1.54.0/24}	sat	25111	115455	70275.0	70275.0	70275.0	70.275	70.275	70.275	1685.0	GigabitEthernet0/0	20203.0	37175.0
olean	miami	IpWildcardIpSpace{ipWildcard=200.0.165.0/24}	sat	20329	93457	42074.0	42074.0	42074.0	42.073	42.073	42.073	1928.0	GigabitEthernet0/0	20203.0	37175.0
cincinnati	ogdensburg	IpWildcardIpSpace{ipWildcard=200.0.227.0/24}	sat	24856	100399	63207.0	63207.0	63207.0	63.206	63.206	63.206	1704.0	GigabitEthernet0/0	20203.0	37175.0
nodeidh30	salamanca	IpWildcardIpSpace{ipWildcard=200.1.13.0/24}	sat	25717	126672	71448.0	71448.0	71448.0	71.447	71.447	71.447	1689.0	GigabitEthernet0/0	20203.0	37175.0
jamestown	logrono	IpWildcardIpSpace{ipWildcard=200.0.144.0/24}	sat	25799	95404	57870.0	57870.0	57870.0	57.87	57.87	57.87	1681.0	GigabitEthernet0/0	20203.0	37175.0
nodeidh21	bologna	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	27393	115706	55529.0	55529.0	55529.0	55.528	55.528	55.528	1713.0	GigabitEthernet0/0	20203.0	37175.0
stamford	wellsville	IpWildcardIpSpace{ipWildcard=200.1.56.0/24}	sat	23150	111818	66733.0	66733.0	66733.0	66.733	66.733	66.733	1952.0	GigabitEthernet0/0	20203.0	37175.0
stuttgart	malone	IpWildcardIpSpace{ipWildcard=200.0.155.0/24}	sat	19535	96655	45106.0	45106.0	45106.0	45.106	45.106	45.106	1709.0	GigabitEthernet0/0	20203.0	37175.0
orangettcounty	nashville	IpWildcardIpSpace{ipWildcard=200.0.182.0/24}	sat	23050	105792	45478.0	45478.0	45478.0	45.477	45.477	45.477	1985.0	GigabitEthernet0/0	20203.0	37175.0
coxsackie	worcester	IpWildcardIpSpace{ipWildcard=200.1.63.0/24}	sat	22058	95304	52901.0	52901.0	52901.0	52.901	52.901	52.901	1737.0	GigabitEthernet0/0	20203.0	37175.0
nodeidh123	rowland	IpWildcardIpSpace{ipWildcard=200.1.10.0/24}	sat	22552	108057	62533.0	62533.0	62533.0	62.532	62.532	62.532	1681.0	GigabitEthernet0/0	20203.0	37175.0
