srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nodeidh89	nodeidh96	IpWildcardIpSpace{ipWildcard=200.0.221.0/24}	unsat	46572	325642	160728.0	160728.0	160728.0	160.725	160.725	160.725	1992.0	GigabitEthernet0/0	20203.0	37175.0
almond	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	unsat	22620	160124	82829.0	82829.0	82829.0	82.829	82.829	82.829	1855.0	GigabitEthernet0/0	20203.0	37175.0
dijon	marseille	IpWildcardIpSpace{ipWildcard=200.0.160.0/24}	unsat	42361	382975	214357.0	214357.0	214357.0	214.356	214.356	214.356	1796.0	GigabitEthernet0/0	20203.0	37175.0
olean	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	unsat	30507	209257	95485.0	95485.0	95485.0	95.484	95.484	95.484	1801.0	GigabitEthernet0/0	20203.0	37175.0
dusseldorf	nodeidh21	IpWildcardIpSpace{ipWildcard=200.0.209.0/24}	unsat	77602	426343	235336.0	235336.0	235336.0	235.335	235.335	235.335	1773.0	GigabitEthernet0/0	20203.0	37175.0
empiretttelephonettco	brussels	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	unsat	45548	307503	149279.0	149279.0	149279.0	149.278	149.278	149.278	1745.0	GigabitEthernet0/0	20203.0	37175.0
strasbourg	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	unsat	38840	367285	155691.0	155691.0	155691.0	155.691	155.691	155.691	1818.0	GigabitEthernet0/0	20203.0	37175.0
miami	auburn	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	81031	444055	197986.0	197986.0	197986.0	197.985	197.985	197.985	1840.0	GigabitEthernet0/0	20203.0	37175.0
providence	toledo	IpWildcardIpSpace{ipWildcard=200.1.41.0/24}	unsat	34145	284585	150876.0	150876.0	150876.0	150.876	150.876	150.876	1724.0	GigabitEthernet0/0	20203.0	37175.0
lebanon	pulaski	IpWildcardIpSpace{ipWildcard=200.0.253.0/24}	unsat	47317	293527	120535.0	120535.0	120535.0	120.534	120.534	120.534	1828.0	GigabitEthernet0/0	20203.0	37175.0
nodeidh24	wellsville	IpWildcardIpSpace{ipWildcard=200.1.56.0/24}	unsat	34610	196480	106411.0	106411.0	106411.0	106.411	106.411	106.411	1780.0	GigabitEthernet0/0	20203.0	37175.0
nodeidh96	fredonia	IpWildcardIpSpace{ipWildcard=200.0.98.0/24}	unsat	23224	177594	75735.0	75735.0	75735.0	75.734	75.734	75.734	1715.0	GigabitEthernet0/0	20203.0	37175.0
orangettcounty	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	unsat	43456	400832	191879.0	191879.0	191879.0	191.879	191.879	191.879	1717.0	GigabitEthernet0/0	20203.0	37175.0
newttyorkttcity	manchester	IpWildcardIpSpace{ipWildcard=200.0.156.0/24}	unsat	96335	572484	322982.0	322982.0	322982.0	322.981	322.981	322.981	1905.0	GigabitEthernet0/0	20203.0	37175.0
avila	nuremberg	IpWildcardIpSpace{ipWildcard=200.0.223.0/24}	unsat	89624	974290	470295.0	470295.0	470295.0	470.294	470.294	470.294	1707.0	GigabitEthernet0/0	20203.0	37175.0
newcastle	saranacttlake	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	unsat	105970	831787	263957.0	263957.0	263957.0	263.956	263.956	263.956	1711.0	GigabitEthernet0/0	20203.0	37175.0
luxembourg	whitesville	IpWildcardIpSpace{ipWildcard=200.1.59.0/24}	unsat	128562	561363	302277.0	302277.0	302277.0	302.277	302.277	302.277	1717.0	GigabitEthernet0/0	20203.0	37175.0
canton	valencia	IpWildcardIpSpace{ipWildcard=200.1.47.0/24}	unsat	84742	570514	275372.0	275372.0	275372.0	275.371	275.371	275.371	1717.0	GigabitEthernet0/0	20203.0	37175.0
frankfurt	altmar	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	59217	401160	163375.0	163375.0	163375.0	163.374	163.374	163.374	1726.0	GigabitEthernet0/0	20203.0	37175.0
mountpelier	madrid	IpWildcardIpSpace{ipWildcard=200.0.151.0/24}	unsat	84603	665289	314552.0	314552.0	314552.0	314.551	314.551	314.551	1788.0	GigabitEthernet0/0	20203.0	37175.0
stttlouis	middleburgh	IpWildcardIpSpace{ipWildcard=200.0.166.0/24}	unsat	136742	1042809	532956.0	532956.0	532956.0	532.955	532.955	532.955	1800.0	GigabitEthernet0/0	20203.0	37175.0
alfred	nice	IpWildcardIpSpace{ipWildcard=200.0.189.0/24}	unsat	54690	475950	230918.0	230918.0	230918.0	230.918	230.918	230.918	1719.0	GigabitEthernet0/0	20203.0	37175.0
amsterdam	santtfrancisco	IpWildcardIpSpace{ipWildcard=200.1.19.0/24}	unsat	61907	329487	206678.0	206678.0	206678.0	206.677	206.677	206.677	1715.0	GigabitEthernet0/0	20203.0	37175.0
middleburgh	tampa	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	unsat	67610	380165	196423.0	196423.0	196423.0	196.422	196.422	196.422	1726.0	GigabitEthernet0/0	20203.0	37175.0
florence	caen	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	unsat	36777	255678	148156.0	148156.0	148156.0	148.155	148.155	148.155	1696.0	GigabitEthernet0/0	20203.0	37175.0
middlebury	tampa	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	unsat	64619	412263	204328.0	204328.0	204328.0	204.327	204.327	204.327	1714.0	GigabitEthernet0/0	20203.0	37175.0
nuremberg	varna	IpWildcardIpSpace{ipWildcard=200.1.48.0/24}	unsat	50281	506212	206300.0	206300.0	206300.0	206.298	206.298	206.298	1714.0	GigabitEthernet0/0	20203.0	37175.0
nodeidh91	barcelona	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	unsat	54488	397014	166109.0	166109.0	166109.0	166.109	166.109	166.109	1718.0	GigabitEthernet0/0	20203.0	37175.0
zaragoza	losttangeles	IpWildcardIpSpace{ipWildcard=200.0.146.0/24}	unsat	46954	222540	160633.0	160633.0	160633.0	160.633	160.633	160.633	1711.0	GigabitEthernet0/0	20203.0	37175.0
albanyidh64	london	IpWildcardIpSpace{ipWildcard=200.0.145.0/24}	unsat	63385	364352	209810.0	209810.0	209810.0	209.809	209.809	209.809	1720.0	GigabitEthernet0/0	20203.0	37175.0
tallinn	leon	IpWildcardIpSpace{ipWildcard=200.0.139.0/24}	unsat	67095	396560	246188.0	246188.0	246188.0	246.187	246.187	246.187	1731.0	GigabitEthernet0/0	20203.0	37175.0
omaha	nodeidh110	IpWildcardIpSpace{ipWildcard=200.0.202.0/24}	unsat	54336	361416	159749.0	159749.0	159749.0	159.748	159.748	159.748	1729.0	GigabitEthernet0/0	20203.0	37175.0
charlotte	waterloo	IpWildcardIpSpace{ipWildcard=200.1.54.0/24}	unsat	83305	476183	206424.0	206424.0	206424.0	206.423	206.423	206.423	1733.0	GigabitEthernet0/0	20203.0	37175.0
olean	miami	IpWildcardIpSpace{ipWildcard=200.0.165.0/24}	unsat	74334	391352	187211.0	187211.0	187211.0	187.209	187.209	187.209	1728.0	GigabitEthernet0/0	20203.0	37175.0
cincinnati	ogdensburg	IpWildcardIpSpace{ipWildcard=200.0.227.0/24}	unsat	78206	434012	195012.0	195012.0	195012.0	195.011	195.011	195.011	1783.0	GigabitEthernet0/0	20203.0	37175.0
nodeidh30	salamanca	IpWildcardIpSpace{ipWildcard=200.1.13.0/24}	unsat	55349	326332	137665.0	137665.0	137665.0	137.664	137.664	137.664	1706.0	GigabitEthernet0/0	20203.0	37175.0
jamestown	logrono	IpWildcardIpSpace{ipWildcard=200.0.144.0/24}	unsat	149282	724303	398246.0	398246.0	398246.0	398.245	398.245	398.245	1694.0	GigabitEthernet0/0	20203.0	37175.0
nodeidh21	bologna	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	unsat	63210	567144	231216.0	231216.0	231216.0	231.214	231.214	231.214	1715.0	GigabitEthernet0/0	20203.0	37175.0
stamford	wellsville	IpWildcardIpSpace{ipWildcard=200.1.56.0/24}	unsat	86123	445638	198825.0	198825.0	198825.0	198.824	198.824	198.824	1716.0	GigabitEthernet0/0	20203.0	37175.0
stuttgart	malone	IpWildcardIpSpace{ipWildcard=200.0.155.0/24}	unsat	52836	375475	167220.0	167220.0	167220.0	167.219	167.219	167.219	1766.0	GigabitEthernet0/0	20203.0	37175.0
orangettcounty	nashville	IpWildcardIpSpace{ipWildcard=200.0.182.0/24}	unsat	68995	404255	264644.0	264644.0	264644.0	264.643	264.643	264.643	1797.0	GigabitEthernet0/0	20203.0	37175.0
