srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nodeidh89	nodeidh96	IpWildcardIpSpace{ipWildcard=200.0.221.0/24}	sat	390	62804	7999.0	7999.0	7999.0	7.998	7.998	7.998	1876.0	GigabitEthernet0/0	20203.0	36460.0
almond	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	sat	62016	808402	237140.0	237140.0	237140.0	237.139	237.139	237.139	1915.0	GigabitEthernet0/0	20203.0	36460.0
dijon	marseille	IpWildcardIpSpace{ipWildcard=200.0.160.0/24}	sat	390	62838	7308.0	7308.0	7308.0	7.307	7.307	7.307	1919.0	GigabitEthernet0/0	20203.0	36460.0
olean	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	sat	8310	212759	51724.0	51724.0	51724.0	51.724	51.724	51.724	1758.0	GigabitEthernet0/0	20203.0	36460.0
dusseldorf	nodeidh21	IpWildcardIpSpace{ipWildcard=200.0.209.0/24}	sat	390	60898	8327.0	8327.0	8327.0	8.327	8.327	8.327	1904.0	GigabitEthernet0/0	20203.0	36460.0
empiretttelephonettco	brussels	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	sat	390	63584	8954.0	8954.0	8954.0	8.953	8.953	8.953	1696.0	GigabitEthernet0/0	20203.0	36460.0
strasbourg	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	390	8653	2568.0	2568.0	2568.0	2.567	2.567	2.567	1861.0	GigabitEthernet0/0	20203.0	36460.0
miami	auburn	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	390	12571	2800.0	2800.0	2800.0	2.799	2.799	2.799	1871.0	GigabitEthernet0/0	20203.0	36460.0
providence	toledo	IpWildcardIpSpace{ipWildcard=200.1.41.0/24}	sat	390	63248	7657.0	7657.0	7657.0	7.657	7.657	7.657	1867.0	GigabitEthernet0/0	20203.0	36460.0
lebanon	pulaski	IpWildcardIpSpace{ipWildcard=200.0.253.0/24}	sat	390	13557	2645.0	2645.0	2645.0	2.644	2.644	2.644	1748.0	GigabitEthernet0/0	20203.0	36460.0
